"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GSBA-502","Management Communication for Leaders","C","3.0 units","Lecture","15510D","390","TBA","TBA","25","9","0","Marion Philadelphia","ONLINE"
"GSBA-520","Business Fundamentals for Non-Business Professionals","M","3.0 units","Lecture","15650D","036","6:30-9:30pm","Tuesday","45","41","0","Merle Hopkins, Dennis Rook, Sriram Dasu , Terance Wolfe</a>","ACC303"
"GSBA-523t","Communication for Accounting and Tax Professionals","M","3.0 units","Lecture","15701D","001","11:00-12:20pm","Tue, Thu","32","29","0","Helen Choi","JKP102"
"","","","","Lecture","15702R","001","2:00-3:20pm","Mon, Wed","25","25","0","James Owens","BRI202"
"","","","","Lecture","15703R","001","3:30-4:50pm","Mon, Wed","25","23","0","James Owens","BRI202"
"GSBA-524","Managerial Statistics","C","2.0-3.0 units","Lecture","15858D","033","3:30-4:50pm","Tue, Thu","40","25","0","Robertas Gabrys","JKP112"
"GSBA-528","Marketing Management","","3.0 units","Lecture","15722D","033","9:00-12:00pm","Saturday","45","37","0","Miriam Burgos","JKP102"
"GSBA-534","Operations Management","","2.0-3.0 units","Lecture","15753D","033","1:00-4:00pm","Friday","40","30","0","Murat Bayiz","BRI202"
"GSBA-548","Corporate Finance","C","3.0 units","Lecture","15894D","001","11:00-12:20pm","Mon, Wed","40","21","0","Duke Bristow","BRI202"
"","","","","Lecture","15900R","036","12:30-1:50pm","Mon, Wed","73","54","0","John Dietrich","JKP112"
"GSBA-595","Internship in Business","MC","0.5-2.0 units, max 9","Lecture","16100D","033","TBA","TBA","20","5","0","Diane Badame","OFFICE"
"","","","","Lecture","16105D","419","TBA","TBA","10","2","0","Diane Badame","OFFICE"
"GSBA-602","Selected Issues in Economic Theory I","","3.0 units","Lecture","16104R","036","12:00-1:20pm","Tue, Thu","16","13","0","Anthony Marino","ACC312"
"GSBA-790","Research","","1.0-12.0 units","Lecture","16125D","036","TBA","TBA","20","3","0","Gareth James","OFFICE"
"","","","","Lecture","16126D","036","TBA","TBA","20","5","0","Thomas Cummings","OFFICE"
"GSBA-794a","Doctoral Dissertation","","2.0 units","Lecture","16130R","036","TBA","TBA","20","3","0","Gareth James","OFFICE"
"GSBA-794b","Doctoral Dissertation","P","2.0 units","Lecture","16131R","036","TBA","TBA","20","7","0","Gareth James","OFFICE"
"GSBA-794c","Doctoral Dissertation","P","2.0 units","Lecture","16132R","036","TBA","TBA","20","5","0","Gareth James","OFFICE"
"GSBA-794d","Doctoral Dissertation","P","2.0 units","Lecture","16133R","036","TBA","TBA","20","8","0","Gareth James","OFFICE"
"GSBA-794z","Doctoral Dissertation","P","0.0 units","Lecture","16134D","036","TBA","TBA","20","6","0","Gareth James","OFFICE"
