"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HBIO-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Mon, Wed","240","235","0","Craig Stanford","SGM123"
"","","","","Lab","38512R","001","8:00-9:50am","Monday","20","20","0","","AHF B10"
"","","","","Lab","38513R","001","8:00-9:50am","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38514R","001","8:00-9:50am","Wednesday","20","20","0","","GFS220"
"","","","","Lab","38515R","001","10:00-11:50am","Monday","20","20","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Wednesday","20","20","0","Stephanie Bogart","GFS220"
"","","","","Lab","38518R","001","12:00-1:50pm","Monday","20","20","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Wednesday","21","21","0","","GFS220"
"","","","","Lab","38537R","001","8:00-9:50am","Friday","20","17","0","Stephanie Bogart","AHF B10"
"","","","","Lab","38538R","001","10:00-11:50am","Friday","20","19","0","","AHF B10"
"","","","","Lab","38539R","001","12:00-1:50pm","Friday","20","18","0","Stephanie Bogart","AHF B10"
"HBIO-202L","Principles of Nutrition and Exercise","","2.0 units","Lecture","38400R","001","11:00-11:50am","Mon, Wed","38","17","0","Bob Girandola","THH119"
"","","","","Lab","38401R","001","TBA","TBA","25","15","0","Gudrun Floyd","OFFICE"
"","","","","Lab","38402R","001","TBA","TBA","25","2","0","Gudrun Floyd","OFFICE"
"HBIO-203L","Individualized Exercise Prescription","","2.0 units","Lecture","38405R","001","1:00-1:50pm","Tue, Thu","9","0","0","",""
"","","","","Lab","38406R","001","8:00-9:50am","Tuesday","3","0","0","Tamara Espinet","PED B15A"
"","","","","Lab","38407R","001","12:00-1:50pm","Wednesday","6","0","0","Tamara Espinet","PED B15A"
"HBIO-205Lxg","The Science of Human Performance","","4.0 units","Lecture","38411R","001","10:00-10:50am","MWF","90","89","0","Bob Girandola","ZHS159"
"","","","","Lab","38412R","001","2:00-3:50pm","Monday","18","18","0","Tamara Espinet","PED B16"
"","","","","Lab","38413R","001","10:00-11:50am","Tuesday","18","18","0","Tamara Espinet","PED B16"
"","","","","Lab","38414R","001","12:00-1:50pm","Tuesday","18","18","0","Tamara Espinet","PED B16"
"","","","","Lab","38415R","001","2:00-3:50pm","Tuesday","18","18","0","Tamara Espinet","PED B16"
"","","","","Lab","38416R","001","2:00-3:50pm","Friday","18","17","0","Gudrun Floyd","PED B16"
"","","","","Lecture","38420R","001","9:00-9:50am","MWF","108","108","0","Bob Girandola","THH202"
"","","","","Lab","38421R","001","8:00-9:50am","Thursday","18","18","0","Gudrun Floyd","PED B16"
"","","","","Lab","38422R","001","10:00-11:50am","Thursday","18","18","0","","PED B16"
"","","","","Lab","38423R","001","10:00-11:50am","Friday","18","18","0","Ricky Hang","PED B16"
"","","","","Lab","38424R","001","12:00-1:50pm","Thursday","18","18","0","","PED B16"
"","","","","Lab","38425R","001","12:00-1:50pm","Friday","18","18","0","Tamara Espinet","PED B16"
"","","","","Lab","38426R","001","2:00-3:50pm","Thursday","18","18","0","","PED B16"
"HBIO-250","Drugs and Ergogenic Aids in Sport and Weight Control","","4.0 units","Lecture-Discussion","38429R","001","8:00-9:20am","Tue, Thu","45","27","0","Bob Girandola","THH114"
"HBIO-300","Evolution, Ecology, and Culture","","4.0 units","Lecture","38529R","001","4:00-6:50pm","Monday","15","15","0","Christopher Boehm","KAP165"
"HBIO-301L","Human Anatomy","","4.0 units","Lecture","38434D","001","8:30-9:50am","Mon, Wed","96","90","0","Erik Kolb","THH102"
"","","","","Lab","38435R","001","5:00-7:50pm","Wednesday","20","19","0","Ricky Hang","PED B16"
"","","","","Lab","38436R","001","5:00-7:50pm","Monday","19","19","0","Ricky Hang","PED B16"
"","","","","Lab","38438R","001","5:00-7:50pm","Thursday","20","20","0","Ricky Hang","PED B16"
"","","","","Lab","38440R","001","12:00-2:50pm","Friday","19","17","0","Ricky Hang","PED B16"
"","","","","Lab","38448R","001","11:00-1:50pm","Wednesday","19","15","0","Ricky Hang","PED B16"
"","","","","Lecture","38439D","001","10:00-11:50am","Mon, Wed","36","36","0","John Callaghan","THH118"
"","","","","Lab","38437R","001","5:00-7:50pm","Tuesday","18","18","0","Ricky Hang","PED B16"
"","","","","Lab","38441R","001","2:00-4:50pm","Monday","18","0","0","Ricky Hang",""
"","","","","Lab","38442R","001","2:00-4:50pm","Monday","18","18","0","Ricky Hang","PED B16"
"HBIO-302L","Nutrition and Metabolism","P","4.0 units","Lecture","38443D","001","9:30-10:50am","Tue, Thu","45","45","0","Lorraine Turcotte","GFS118"
"","","","","Lab","38444R","001","8:00-10:50am","Wednesday","16","16","0","Tamara Espinet","PED B16"
"","","","","Lab","38445R","001","11:00-1:50pm","Thursday","14","14","0","","PED B16"
"","","","","Lab","38446R","001","2:00-4:50pm","Wednesday","15","15","0","","PED B16"
"HBIO-308","Origins and Evolution of Human Behavior","","4.0 units","Lecture","38530R","001","11:00-12:20pm","Tue, Thu","30","27","0","Stephanie Bogart","VHE206"
"HBIO-310","Sociopsychological Aspects of Sport and Physical Activity","","4.0 units","Lecture","38449R","001","9:30-10:50am","Tue, Thu","41","41","0","John Callaghan","THH116"
"HBIO-320L","Muscle Physiology","P","4.0 units","Lecture","38451R","001","11:00-12:20pm","Tue, Thu","60","44","0","Casey Donovan","GFS101"
"","","","","Lab","38452R","001","9:00-11:50am","Friday","15","7","0","Tamara Espinet","PED B16"
"","","","","Lab","38453R","001","11:00-1:50pm","Monday","15","13","0","Gudrun Floyd","PED B16"
"","","","","Lab","38454R","001","5:00-7:50pm","Monday","15","12","0","Tamara Espinet","PED B16"
"","","","","Lab","38455R","001","5:00-7:50pm","Wednesday","15","12","0","Gudrun Floyd","PED B16"
"HBIO-400L","Motor Control and Learning","P","4.0 units","Lecture","38461R","001","10:00-11:50am","Mon, Wed","60","49","0","Erik Kolb","THH210"
"","","","","Lab","38463R","001","11:00-1:50pm","Tuesday","15","9","0","Gudrun Floyd","PED B13"
"","","","","Lab","38464R","001","2:00-4:50pm","Tuesday","15","15","0","Gudrun Floyd","PED B13"
"","","","","Lab","38465R","001","2:00-4:50pm","Wednesday","15","10","0","","PED B13"
"","","","","Lab","38466R","001","5:00-7:50pm","Thursday","15","15","0","","PED B13"
"HBIO-408L","Biomechanics","P","4.0 units","Lecture","38480R","001","2:00-3:20pm","Mon, Wed","45","41","0","Jill McNitt-Gray","VKC102"
"","","","","Lab","38481R","001","2:00-4:50pm","Tuesday","15","15","0","","PED B16"
"","","","","Lab","38482R","001","2:00-4:50pm","Thursday","15","15","0","","PED B16"
"","","","","Lab","38483R","001","5:00-7:50pm","Tuesday","15","11","0","","PED B16"
"HBIO-409","Metabolic Diseases","P","4.0 units","Lecture","38486R","001","2:00-3:20pm","Tue, Thu","15","0","0","Scott Kanoski",""
"HBIO-441L","Prevention of Athletic Injuries","P","4.0 units","Lecture-Lab","38502D","001","12:30-1:50pm","Tue, Thu","45","44","0","Helaine Lopes","JMC210"
