"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HIST-100gm","The American Experience","","4.0 units","Lecture","37000D","001","12:00-1:50pm","Mon, Wed","150","147","0","Nathan Perl-Rosenthal","THH202"
"","","","","Discussion","37001D","001","8:00-8:50am","Friday","25","22","0","Angelica Stoddard","THH108"
"","","","","Discussion","37002D","001","8:00-8:50am","Friday","25","25","0","Jonathan Dentler","THH110"
"","","","","Discussion","37003D","001","9:00-9:50am","Friday","25","25","0","Angelica Stoddard","THH112"
"","","","","Discussion","37004D","001","9:00-9:50am","Friday","25","25","0","Jonathan Dentler","VKC209"
"","","","","Discussion","37005D","001","12:00-12:50pm","Friday","25","25","0","David Wight","THH108"
"","","","","Discussion","37006D","001","1:00-1:50pm","Friday","25","25","0","David Wight","THH108"
"HIST-102gm","Medieval People: Early Europe and its Neighbors, 400-1500","","4.0 units","Lecture","36909D","001","10:00-11:50am","Mon, Wed","100","31","0","Jason Glenn","MRF340"
"","","","","Discussion","36910D","001","8:00-8:50am","Friday","25","4","0","Jessica McNally","THH214"
"","","","","Discussion","36911D","001","8:00-8:50am","Friday","25","0","0","",""
"","","","","Discussion","36912D","001","9:00-9:50am","Friday","25","0","0","",""
"","","","","Discussion","36913D","001","9:00-9:50am","Friday","25","4","0","Jessica McNally","THH214"
"","","","","Discussion","36914D","001","12:00-12:50pm","Friday","25","10","0","Hamish Cameron","THH213"
"","","","","Discussion","36915R","001","1:00-1:50pm","Friday","25","13","0","Hamish Cameron","THH213"
"HIST-103g","The Emergence of Modern Europe","","4.0 units","Lecture","36960D","001","11:00-12:20pm","Tue, Thu","93","91","0","Lindsay O'Neill","SLH102"
"","","","","Discussion","36961R","001","8:00-8:50am","Friday","25","17","0","Ericka Swensson","VKC210"
"","","","","Discussion","36962R","001","9:00-9:50am","Friday","25","24","0","Ericka Swensson","VKC210"
"","","","","Discussion","36963R","001","10:00-10:50am","Friday","25","25","0","Ericka Swensson","WPH206"
"","","","","Discussion","36964R","001","11:00-11:50am","Friday","25","25","0","Ericka Swensson","WPH206"
"HIST-104g","Modern Europe","","4.0 units","Lecture","36930D","001","11:00-12:20pm","Tue, Thu","50","49","0","Accampo Elinor","THH202"
"","","","","Discussion","36931R","001","8:00-8:50am","Friday","25","24","0","Mesrob Vartavarian","THH112"
"","","","","Discussion","36932D","001","8:00-8:50am","Friday","1","0","0","",""
"","","","","Discussion","36933D","001","9:00-9:50am","Friday","25","25","0","Mesrob Vartavarian","THH106"
"","","","","Discussion","36934D","001","9:00-9:50am","Friday","1","0","0","",""
"HIST-105g","The Korean Past","","4.0 units","Lecture","36940D","001","12:30-1:50pm","Tue, Thu","48","41","0","Kyung Hwang","WPH B28"
"","","","","Discussion","36942R","001","9:00-9:50am","Friday","25","17","0","Kevin Wilson","VKC160"
"","","","","Discussion","36943R","001","10:00-10:50am","Friday","25","24","0","Kevin Wilson","VKC252"
"HIST-106g","Chinese Lives: An Introduction to Chinese History","","4.0 units","Lecture","36950D","001","9:30-10:50am","Tue, Thu","1","0","0","Brett Sheehan",""
"HIST-180g","The Middle East","","4.0 units","Lecture","36970D","001","9:30-10:50am","Tue, Thu","50","40","0","Ramzi Rouighi","VKC150"
"","","","","Discussion","36971R","001","9:00-9:50am","Friday","25","20","0","Hamish Cameron","VKC154"
"","","","","Discussion","36972R","001","10:00-10:50am","Friday","25","20","0","Hamish Cameron","VKC154"
"HIST-201","Approaches to History","","4.0 units","Lecture","37052D","001","12:00-1:50pm","Mon, Wed","15","14","0","Jason Glenn","MHP102"
"","","","","Lecture","37053D","001","12:00-1:50pm","Tue, Thu","15","13","0","Philip Ethington","VKC258"
"HIST-225g","Film, Power, and American History","","4.0 units","Lecture","37030D","001","12:00-1:50pm","Mon, Wed","150","128","0","Steve Ross","SGM123"
"","","","","Discussion","37036D","001","10:00-10:50am","Friday","25","22","0","Janny Chang","WPH106"
"","","","","Discussion","37039D","001","8:00-8:50am","Friday","25","21","0","Haven Perez","SOS B41"
"","","","","Discussion","37041D","001","10:00-10:50am","Friday","25","22","0","Haven Perez","WPH101"
"","","","","Discussion","37042D","001","11:00-11:50am","Friday","25","23","0","Haven Perez","WPH101"
"","","","","Discussion","37043D","001","11:00-11:50am","Friday","25","21","0","Janny Chang","WPH106"
"","","","","Discussion","37044D","001","12:00-12:50pm","Friday","25","19","0","Haven Perez","WPH205"
"HIST-240g","The History of California","","4.0 units","Lecture","37040D","001","10:00-11:50am","Mon, Wed","148","111","0","Philip Ethington","THH301"
"","","","","Discussion","37032R","001","8:00-8:50am","Friday","25","18","0","David Wight","VKC151"
"","","","","Discussion","37033R","001","8:00-8:50am","Friday","25","11","0","Heather Daly","VKC157"
"","","","","Discussion","37034R","001","10:00-10:50am","Friday","25","23","0","David-James Gonzales","VKC151"
"","","","","Discussion","37035R","001","10:00-10:50am","Friday","25","18","0","David Wight","VKC157"
"","","","","Discussion","37037R","001","11:00-11:50am","Friday","25","23","0","Heather Daly","VKC151"
"","","","","Discussion","37038R","001","11:00-11:50am","Friday","25","18","0","David-James Gonzales","VKC157"
"HIST-265g","Understanding Race and Sex Historically","","4.0 units","Lecture","36990D","001","9:30-10:50am","Tue, Thu","148","114","0","Diana Williams","THH201"
"","","","","Discussion","36991R","001","9:00-9:50am","Friday","25","20","0","Barbara Soliz","VKC256"
"","","","","Discussion","36992R","001","10:00-10:50am","Friday","25","22","0","Michael Block","VKC256"
"","","","","Discussion","36993R","001","11:00-11:50am","Friday","25","18","0","Michael Block","VKC256"
"","","","","Discussion","36994R","001","11:00-11:50am","Friday","25","18","0","Barbara Soliz","VKC252"
"","","","","Discussion","36995R","001","1:00-1:50pm","Friday","25","19","0","Mesrob Vartavarian","VKC258"
"","","","","Discussion","36996R","001","2:00-2:50pm","Friday","25","17","0","Mesrob Vartavarian","VKC258"
"HIST-266g","Business and East Asian Culture, 1800-Present","","4.0 units","Lecture","36955D","001","9:30-10:50am","Tue, Thu","100","95","0","Brett Sheehan","THH102"
"","","","","Discussion","36956R","001","8:00-8:50am","Friday","25","21","0","Brett Sheehan","VKC206"
"","","","","Discussion","36957R","001","9:00-9:50am","Friday","25","25","0","Brett Sheehan","VKC206"
"","","","","Discussion","36958R","001","10:00-10:50am","Friday","25","25","0","Brett Sheehan","VKC201"
"","","","","Discussion","36959R","001","11:00-11:50am","Friday","25","24","0","Brett Sheehan","VKC201"
"HIST-271g","Early Native American Stories","","4.0 units","Lecture","37135D","001","12:00-1:50pm","Mon, Wed","125","119","0","Peter Mancall","MRF340"
"","","","","Discussion","37138D","001","8:00-8:50am","Friday","2","1","0","",""
"","","","","Discussion","37141R","001","8:00-8:50am","Friday","25","24","0","Michael Block","VKC154"
"","","","","Discussion","37143R","001","9:00-9:50am","Friday","25","23","0","Heather Daly","VKC158"
"","","","","Discussion","37144R","001","9:00-9:50am","Friday","25","23","0","Michael Block","VKC151"
"","","","","Discussion","37145R","001","10:00-10:50am","Friday","25","24","0","Heather Daly","VKC158"
"","","","","Discussion","37147R","001","12:00-12:50pm","Friday","25","24","0","Heather Daly","VKC200"
"HIST-305","From Goddesses to Witches: Women in Premodern Europe","","4.0 units","Lecture","37121D","001","11:00-12:20pm","Tue, Thu","25","12","0","Lisa Bitel","THH119"
"HIST-312","The Age of the French Revolution and Napoleon","","4.0 units","Lecture","36982D","001","2:00-3:20pm","Tue, Thu","25","17","0","Accampo Elinor","VKC109"
"HIST-317gm","North American Indians in American Public Life","","4.0 units","Lecture","10668R","001","12:30-1:50pm","Tue, Thu","104","103","0","Tok Thompson","GFS106"
"","","","","Discussion","10669R","001","9:00-9:50am","Tuesday","26","26","0","","GFS107"
"","","","","Discussion","10670R","001","10:00-10:50am","Tuesday","28","28","0","","GFS107"
"","","","","Discussion","10671R","001","11:00-11:50am","Wednesday","26","24","0","","LVL13"
"","","","","Discussion","10672R","001","2:00-2:50pm","Thursday","25","25","0","","WPH205"
"HIST-324g","Islam in Russia and the Soviet Union","","4.0 units","Lecture","37067D","001","10:00-11:50am","Mon, Wed","27","23","0","Azade-Ayse Rorlich","THH213"
"HIST-327","Twentieth Century Britain","","4.0 units","Lecture","37223D","001","9:30-10:50am","Tue, Thu","25","14","0","Lindsay O'Neill","VKC210"
"HIST-334","History of the Samurai","","4.0 units","Lecture","37072D","001","12:00-1:50pm","Mon, Wed","1","0","0","Joan Piggott",""
"HIST-335","History of Japan to 1550","","4.0 units","Lecture","37073D","001","12:00-1:50pm","Mon, Wed","25","9","0","Joan Piggott","THH215"
"HIST-351","The American Revolution","","4.0 units","Lecture","37091D","001","10:00-11:50am","Mon, Wed","50","33","0","Nathan Perl-Rosenthal","VKC150"
"HIST-355","The African-American Experience","","4.0 units","Lecture","37018D","001","2:00-4:50pm","Tuesday","25","8","0","Francille Wilson","VKC256"
"HIST-358","U.S. Gay and Lesbian History","","4.0 units","Lecture","34938D","001","2:00-3:20pm","Mon, Wed","20","8","0","Allison Miller","WPH206"
"HIST-380","American Popular Culture","","4.0 units","Lecture","37100D","001","9:30-10:50am","Tue, Thu","1","0","0","Glenda Goodman",""
"HIST-384","Popular Culture in the Middle East","","4.0 units","Lecture","37101D","001","2:00-4:50pm","Monday","25","8","0","Sarah Gualtieri","VKC205"
"","","","","Lecture","37118R","001","10:00-11:50am","Mon, Wed","25","0","0","Sarah Gualtieri",""
