"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HP-200","Introduction to Health Promotion and Disease Prevention","","4.0 units","Lecture","40551R","001","9:30-10:50am","Tue, Thu","105","73","0","Ricky Bluthenthal","MRF340"
"HP-230","Nutrition and Health","","4.0 units","Lecture","40552R","001","12:30-1:50pm","Tue, Thu","54","47","0","Fredrick Schumacher","THH116"
"HP-270","Introduction to Global Health","","4.0 units","Lecture","40572R","001","2:00-3:20pm","Mon, Wed","45","42","0","Laura Ferguson","VKC150"
"HP-290","Introduction to Research Apprenticeship","","2.0 units, max 8","Lecture","40557D","001","1:00-2:50pm","Friday","25","4","0","David Glasgow, Elahe Nezami","WPH B27"
"HP-300","Theoretical Principles of Health Behavior","P","4.0 units","Lecture","40558R","001","12:00-1:50pm","Mon, Wed","45","39","0","David Black","VKC100"
"HP-320","Biological and Behavioral Basis of Disease","P","4.0 units","Lecture","40564R","001","3:30-4:50pm","Tue, Thu","76","72","0","Sondos Islam","ZHS352"
"HP-340L","Health Behavior Statistical Methods","","4.0 units","Lecture-Lab","40567R","001","3:30-4:50pm","Mon, Wed","55","52","0","Meredith Franklin","THH116"
"","","","","Lecture-Lab","40574D","001","12:30-1:50pm","Tue, Thu","31","31","0","Elahe Nezami","IRC1016"
"HP-350L","Health Behavior Research Methods","","4.0 units","Lecture-Lab","40569D","001","9:30-10:50am","Tue, Thu","35","0","0","",""
"HP-370","Introduction to Epidemiology: Methods and Applications","","4.0 units","Lecture","40566R","001","3:30-4:50pm","Tue, Thu","20","19","0","Jonathan Samet, Mariana Stern","VKC206"
"HP-400m","Culture, Lifestyle, and Health","","4.0 units","Lecture","40554R","001","11:00-12:20pm","Tue, Thu","48","48","0","Claradina Soto","WPH B28"
"HP-408","Environmental Health in the Community","","4.0 units","Lecture","40570R","001","12:30-1:50pm","Tue, Thu","30","18","0","Edward Avol","VKC203"
"HP-420m","Gender and Minority Health Issues","","4.0 units","Lecture","40571R","001","12:00-1:50pm","Mon, Wed","40","30","0","Nancy Boley Cruz, Fay Jones","VPD106"
"HP-421","Violence as a Public Health Issue","","4.0 units","Lecture","40573R","001","2:00-3:20pm","Tue, Thu","37","24","0","Joel Milam","VKC203"
"HP-422","AIDS in Society","","4.0 units","Lecture","40561R","001","5:00-8:20pm","Tuesday","37","18","0","Joel Milam, Roksana Karim","VKC203"
"HP-430","Obesity and Health","","4.0 units","Lecture","40576R","001","2:00-3:20pm","Tue, Thu","75","36","0","Michael Goran","MHP106"
"HP-432","Clinical Nutrition","P","4.0 units","Lecture","40581R","001","11:00-12:20pm","Tue, Thu","30","19","0","Claudia Avendano","KAP148"
"HP-442","Chronic Disease Epidemiology","","4.0 units","Lecture","40578R","001","5:00-8:30pm","Tuesday","35","22","0","Victoria Cortessis","VKC256"
"HP-443","Communicating Health Messages and Medical Issues","","4.0 units","Lecture","20657D","001","10:00-11:50am","Mon, Wed","43","17","0","Peter Clarke, Susan Evans","ASC G34"
"HP-450","Traditional Eastern Medicine and Modern Health","","4.0 units","Lecture","40584R","001","10:00-11:50am","Mon, Wed","35","26","0","Julia Borovay","VKC256"
"HP-460","Adolescent Health","","4.0 units","Lecture","40586R","001","6:00-8:50pm","Thursday","50","48","0","Panayiota Courelli","ZHS252"
"HP-483","Global Health and Aging","","4.0 units","Lecture","36257R","001","TBA","TBA","20","12","0","Aaron Hagedorn","OFFICE"
"HP-490x","Directed Research","M","1.0-8.0 units, max 12","Lecture","40585D","001","1:00-2:50pm","Friday","85","62","0","David Glasgow, Elahe Nezami","WPH B27"
