"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"IML-102","Digital Studies Studio I","M","4.0 units","Lecture-Lab","37400D","001","2:00-4:50pm","Thursday","20","20","0","Holly Willis","SCI L106"
"IML-104","Introduction to Digital Studies","","2.0 units","Lecture-Lab","37403R","001","11:00-12:50pm","Thursday","20","12","0","David Johnson","SCI L105"
"","","","","Lecture-Lab","37402R","001","4:00-5:50pm","Wednesday","20","17","0","David Johnson","SCI L105"
"IML-140","Workshop in Multimedia Authoring","","2.0 units"
"","Designing the Photo Documentary: Image, Sound and Story","","2.0","Lecture-Lab","37405R","001","2:00-3:50pm","Tuesday","20","8","0","Michael Bodie","SCI L105"
"","Digital Marketing and Social Media","","2.0","Lecture-Lab","37406R","001","4:00-5:50pm","Wednesday","20","18","0","Marc Fernandez","SCI L104"
"","Digital Media for the Entrepreneur","","2.0","Lecture-Lab","37407R","001","6:00-7:50pm","Wednesday","20","11","0","Marc Fernandez","SCI L105"
"","Digital Storytelling and Media Production","","2.0","Lecture-Lab","37408R","001","9:00-10:50am","Wednesday","20","11","0","Michael Bodie","SCI L105"
"","Digital Storytelling and Media Production","","2.0","Lecture-Lab","37409R","001","9:00-10:50am","Thursday","20","2","0","Vicki Callahan","SCI L105"
"","Social Media and Remix Culture","","2.0","Lecture-Lab","37410R","001","4:00-5:50pm","Tuesday","20","7","0","Ashley York","SCI L105"
"","Social Media and Remix Culture","","2.0","Lecture-Lab","37411R","001","11:00-12:50pm","Monday","20","7","0","Ashley York","SCI L105"
"","The Web, Digital Media and Creative Culture","","2.0","Lecture-Lab","37412R","001","4:00-5:50pm","Monday","20","9","0","Evan Hughes","SCI L105"
"IML-295Lm","Race, Class and Gender in Digital Culture","","4.0 units","Lecture-Lab","37418R","001","10:00-12:50pm","Wednesday","35","31","0","David Johnson","SCI L106"
"IML-300","Reading and Writing the Web","","2.0 units","Lecture-Lab","37419R","001","9:00-10:50am","Monday","20","17","0","Evan Hughes","SCI L105"
"","","","","Lecture-Lab","37420R","001","2:00-3:50pm","Wednesday","20","20","0","Evan Hughes","SCI L105"
"IML-309","Integrative Design for Mobile Devices","","4.0 units","Lecture-Lab","37421R","001","6:00-8:50pm","Tuesday","20","16","0","Tatiana Mulry","SCI L105"
"IML-310","Professionalism for Media Arts","PC","2.0 units","Lecture-Lab","37422R","001","2:00-3:50pm","Thursday","20","7","0","James Boyda","SCI L104"
"IML-346","Methods in Digital Research","PC","2.0 units","Lecture-Lab","37424R","001","2:00-3:50pm","Wednesday","20","6","0","Deborah Ramsey","SCI L104"
"IML-400","Creative Coding for the Web","P","4.0 units","Lecture-Lab","37425R","001","6:00-8:50pm","Monday","20","9","0","Raphael Arar","SCI L105"
"IML-404","Tactical Media","","4.0 units","Lecture-Lab","37426R","001","2:00-4:50pm","Monday","20","19","0","Perry Hoberman","SCI L106"
"IML-420m","New Media for Social Change","","4.0 units, max 8","Lecture-Lab","37427R","001","9:00-11:50am","Thursday","35","26","0","Gabriel Peters-Lazaro, Sangita Shresthova","SCI L106"
"IML-466","Digital Studies Symposium","","4.0 units","Lecture-Lab","37432R","001","6:00-8:50pm","Wednesday","35","20","0","Anne Bray","SCI106"
"IML-475","Media Arts Research Lab","","2.0-4.0 units, max 8","Lecture-Lab","37433R","001","2:00-4:50pm","Tuesday","15","0","0","Scott Fisher",""
"IML-490","Directed Research","P","1.0-8.0 units, max 12","Lecture","37437D","001","TBA","TBA","5","1","0","Elizabeth Ramsey","OFFICE"
"","","","","Lecture","37438D","001","TBA","TBA","5","2","0","Vicki Callahan","OFFICE"
"IML-500","Digital Media Tools and Tactics","C","2.0 units, max 4","Lecture-Lab","37440R","037","2:00-3:50pm","Monday","15","0","0","Vicki Callahan",""
"","","","","Lecture-Lab","37441D","037","10:30-12:50pm","Tuesday","15","7","0","Michael Bodie","SCI L104"
"IML-501L","Seminar in Contemporary Digital Media","C","4.0 units","Lecture-Lab","37442R","037","6:00-8:50pm","Thursday","15","6","0","Vicki Callahan","SCI L104"
"IML-535","Tangible Computing in the Humanities and Sciences","","4.0 units","Lecture-Lab","37444R","037","2:00-4:50pm","Tuesday","15","6","0","Jennifer Stein","SCI L106"
"IML-590","Directed Research","","1.0-12.0 units","Lecture","37445D","037","TBA","TBA","5","3","0","Elizabeth Ramsey","OFFICE"
"","","","","Lecture","37446D","037","TBA","TBA","5","0","0","Elizabeth Ramsey","OFFICE"
"IML-599","Special Topics","","2.0-4.0 units, max 8"
"","Imagining Worlds: Narrative Design Across Disciplines","","4.0","Lecture-Lab","37448R","037","9:00-10:50am","Tue, Fri","18","15","0","Alexander McDowell","RZC120"
"","Imagining Worlds: Narrative Design Across Disciplines","","2.0","Lecture-Lab","37449D","037","9:00-10:50am","Tue, Fri","18","0","0","Alexander McDowell",""
