"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"INF-520","Foundations of Information Security","","3.0 units","Lecture","32400D","048","3:30-6:10pm","Thursday","25","11","0","Blaine Burnham","OHE100C"
"","","","","Lecture","32410D","034","3:30-6:10pm","Thursday","20","4","0","Blaine Burnham","DEN@Viterbi"
"INF-521","Application of Cryptography to Information Security Problems","","3.0 units","Lecture","32401D","048","9:30-12:20pm","Thursday","25","6","0","Blaine Burnham","RTH217"
"","","","","Lecture","32411D","034","9:30-12:20pm","Thursday","20","4","0","Blaine Burnham","DEN@Viterbi"
"INF-522","Policy: The Foundation for Successful Information Assurance","","3.0 units","Lecture","32402D","048","12:30-1:50pm","Tue, Thu","25","10","0","Mark Heckman","OHE100B"
"","","","","Lecture","32412D","034","12:30-1:50pm","Tue, Thu","20","2","0","Mark Heckman","DEN@Viterbi"
"INF-523","Assurance in Cyberspace Applied to Information Security","","3.0 units","Lecture","32403D","048","6:40-9:20pm","Wednesday","25","15","0","Mark Heckman","RTH109"
"","","","","Lecture","32413D","034","6:40-9:20pm","Wednesday","25","1","0","Mark Heckman","DEN@Viterbi"
"INF-524","Distributed Systems and Network Security","","3.0 units","Lecture","32404D","048","6:40-9:20pm","Thursday","25","14","0","Blaine Burnham","OHE120"
"","","","","Lecture","32414D","034","6:40-9:20pm","Thursday","15","3","0","Blaine Burnham","DEN@Viterbi"
"INF-525","Trusted System Design, Analysis and Development","","3.0 units","Lecture","32405D","048","2:00-3:20pm","Tue, Thu","25","14","0","Roger Schell","OHE100B"
"","","","","Lecture","32415D","034","2:00-3:20pm","Tue, Thu","25","3","0","Roger Schell","DEN@Viterbi"
"INF-526","Secure Systems Administration","","3.0 units","Lecture","32416D","034","TBA","TBA","25","0","0","","TBA"
"INF-527","Secure Systems Engineering","","3.0 units","Lecture","32407D","048","11:00-12:20pm","Tue, Thu","25","11","0","Roger Schell","KAP163"
"INF-528","Computer and Network Forensics","","3.0 units","Lecture","32408D","048","9:30-10:50am","Tue, Thu","20","9","0","Joseph Greenfield","GFS204"
"INF-550","Overview of Data Informatics in Large Data Environments","","3.0 units","Lecture","32430D","048","5:00-7:50pm","Monday","26","25","0","Seon Kim","KAP113"
"INF-551","Foundations of Data Management","","3.0 units","Lecture","32431D","048","2:00-4:50pm","Monday","39","37","0","Carl Kesselman","VKC157"
"INF-553","Foundations and Applications of Data Mining","","3.0 units","Lecture","32433D","048","2:00-3:20pm","Tue, Thu","25","21","0","Ann Chervenak","KAP147"
"INF-590","Directed Research","M","1.0-12.0 units","Lecture","32449D","048","TBA","TBA","20","3","0","Roger Schell, Blaine Burnham, Jelena Mirkovic, Craig Knoblock</a>","TBA"
