"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"INTD-504","Molecular Biology of Cancer","","4.0 units","Lecture","40657D","046","3:00-4:50pm","Mon, Wed","40","17","0","Joseph Landolph, Gerhard Coetzee, Louis Dubeau, Darryl Shibata, Fredrick Schumacher, Anton Valouev, Wange Lu, Christina Curtis, Judd Rice, Ite Laird, Gangning Liang, James Knowles, Muller Fabbri, Axel Schonthal, Florence Hofman, Baruch Frenkel, Amir Goldkorn, Graham Casey, Wijbe Kast, Young-Kwon Hong, Ruchi Bajpai",""
"INTD-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-11:00am","Tue, Thu","90","52","0","Axel Schonthal, Wei Li, Qilong Ying, Bangyan Stiles, Chengyu Liang, Robert Chow, Ralf Langen, Austin Mircheff, Reymundo Dominguez, Curtis Okamoto, Yves Declerck, Steve Swenson, Randall Widelitz, Cheng-Ming Chuong, Tai-Lan Tuan, Pinghui Feng, Amir Goldkorn","MCH256"
"INTD-537","The Structure of Scientific Revolutions in Molecular Biology","C","1.0 unit","Lecture","40663D","046","TBA","TBA","30","13","0","Zoltan Tokes","TBA"
"INTD-550","Introduction to Pathology","","4.0 units","Lecture","40661D","046","11:00-12:50pm","Tue, Thu","25","13","0","Louis Dubeau","OFFICE"
"INTD-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"INTD-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"INTD-572","Systems Physiology and Disease I","MC","4.0 units","Lecture","40673D","046","1:00-3:00pm","Mon, Thu","46","24","0","Herbert Meiselman, Robert Farley, Ray Matthews, E Schroeder, Harvey Kaslow, Michael Bowdish, Thomas Keens, Janos Peti Peterdi, Jang-Hyun Youn, Beiyun Zhou, John Wood, Michael Fong, Sanjeev Kumar, Laura Perin","MCH256"
"INTD-574","Systems Biology and Disease Seminar","M","1.0 units, max 16","Lecture","40671D","046","11:00-11:50am","Monday","35","19","0","Wijbe Kast","OFFICE"
"INTD-575","Interdisciplinary Research Presentations","C","1.0 units, max 12","Lecture","40665D","046","1:00-1:50pm","Thursday","50","10","0","Gerhard Coetzee, Wei Li","OFFICE"
"INTD-600","Student Research Presentation","C","1.0 units, max 12","Lecture","40667D","046","12:00-12:50pm","Friday","75","7","0","Young-Kwon Hong","MCH256"
"INTD-620","Medical Students Elective Program","","0.0 units","Lecture","40650D","017","TBA","TBA","50","11","0","Steven Mittelman","OFFICE"
"","","","","Lecture","40666D","017","TBA","TBA","50","39","0","Michael Cousineau, Danica Liberman","OFFICE"
"","","","","Lecture","40668D","017","TBA","TBA","25","0","0","Donna Elliott, Teresa Cook","OFFICE"
"","","","","Lecture","40669D","017","TBA","TBA","150","124","0","David Zarazua","OFFICE"
"INTD-621a","Introduction to Clinical Medicine (ICM) for HTE.","M","3.0 units","Lecture","40679D","017","TBA","TBA","12","3","0","","OFFICE"
"INTD-622","Pre-clinical System Block for Health, Technology &amp; Engineeri","M","4.0-9.0 units","Lecture","40652D","001","8:00-12:00pm","MTuWThF","12","3","0","George Tolomiczenko",""
"INTD-790","Research","C","1.0-12.0 units","Lecture","40675D","046","TBA","TBA","30","26","0","Ite Laird","OFFICE"
