"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"IR-101xg","International Relations","","4.0 units","Lecture","37710R","001","9:30-10:50am","Tue, Thu","149","149","0","Wayne Sandholtz","THH301"
"","","","","Discussion","37711R","001","9:00-9:50am","Monday","25","24","0","Jihyun Shin","VKC210"
"","","","","Discussion","37712R","001","11:00-11:50am","Wednesday","25","25","0","Nicolas De Zamaroczy","VKC210"
"","","","","Discussion","37713R","001","10:00-10:50am","Monday","26","26","0","Jihyun Shin","VKC210"
"","","","","Discussion","37714R","001","10:00-10:50am","Wednesday","25","25","0","Nicolas De Zamaroczy","VKC210"
"","","","","Discussion","37715R","001","11:00-11:50am","Tuesday","25","25","0","Thomas Jamieson","SOS B41"
"","","","","Discussion","37717R","001","12:00-12:50pm","Tuesday","25","24","0","Thomas Jamieson","VKC109"
"","","","","Discussion","37716R","001","9:00-9:50am","Tuesday","1","0","0","",""
"IR-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","10:00-11:50am","Mon, Wed","100","99","0","Ekaterina Svyatets","SGM101"
"","","","","Discussion","33006R","001","1:00-1:50pm","Monday","25","24","0","Ekaterina Svyatets","VKC151"
"","","","","Discussion","33007R","001","4:00-4:50pm","Tuesday","25","23","0","Ekaterina Svyatets","VKC157"
"","","","","Discussion","33008R","001","1:00-1:50pm","Wednesday","25","25","0","Ekaterina Svyatets","VKC151"
"","","","","Discussion","33009R","001","4:00-4:50pm","Thursday","1","0","0","",""
"","","","","Discussion","33010D","001","1:00-1:50pm","Tuesday","27","27","0","Ekaterina Svyatets","WPH207"
"","","","","Discussion","33011R","001","1:00-1:50pm","Thursday","1","0","0","",""
"IR-210","International Relations: Introductory Analysis","","4.0 units","Lecture","37720R","001","11:00-12:20pm","Tue, Thu","248","223","0","Daniel Lynch","THH201"
"","","","","Discussion","37721R","001","9:00-9:50am","Monday","32","25","0","Ming-Min Yang","WPH103"
"","","","","Discussion","37722R","001","9:00-9:50am","Wednesday","32","28","0","Mengxiao Tang","WPH103"
"","","","","Discussion","37723R","001","12:00-12:50pm","Monday","30","27","0","Xinru Ma","SOS B52"
"","","","","Discussion","37724R","001","12:00-12:50pm","Wednesday","30","28","0","Xinru Ma","SOS B52"
"","","","","Discussion","37725R","001","10:00-10:50am","Monday","33","25","0","Hai-Vu Phan","WPH103"
"","","","","Discussion","37726R","001","10:00-10:50am","Wednesday","33","29","0","Mengxiao Tang","WPH103"
"","","","","Discussion","37727R","001","12:00-12:50pm","Monday","33","31","0","Hai-Vu Phan","VKC256"
"","","","","Discussion","37728R","001","12:00-12:50pm","Wednesday","33","30","0","Ming-Min Yang","VKC256"
"IR-211","International Relations: Approaches to Research","P","4.0 units","Lecture","37733R","001","11:00-12:20pm","Tue, Thu","56","34","0","Patrick James","VKC156"
"","","","","Discussion","37734R","001","12:00-12:50pm","Monday","28","16","0","Meredith Shaw","THH112"
"","","","","Discussion","37735R","001","1:00-1:50pm","Wednesday","28","18","0","Meredith Shaw","THH106"
"IR-212","Historical Approaches to International Relations","P","4.0 units","Lecture","37740R","001","12:00-1:50pm","Mon, Wed","75","48","0","Douglas Becker","SOS B46"
"","","","","Discussion","37741R","001","9:00-9:50am","Tuesday","39","37","0","","VKC261"
"","","","","Discussion","37742R","001","9:00-9:50am","Thursday","37","11","0","","VKC261"
"IR-213","The Global Economy","P","4.0 units","Lecture","37747R","001","12:30-1:50pm","Tue, Thu","76","74","0","Benjamin Graham","THH212"
"","","","","Discussion","37748R","001","12:00-12:50pm","Monday","38","36","0","Joshua Tuynman","VKC157"
"","","","","Discussion","37749R","001","10:00-10:50am","Wednesday","38","38","0","Joshua Tuynman","THH119"
"IR-302","International Relations of the Great Powers in the Late 19th and 20th Centuries","","4.0 units","Lecture","37752R","001","3:30-4:50pm","Tue, Thu","12","1","0","Andrew Manning","LVL3Z"
"IR-303","Leadership and Diplomacy","","4.0 units","Lecture","37758D","001","2:00-3:20pm","Tue, Thu","48","33","0","Geoffrey Wiseman","SOS B44"
"","","","","Discussion","37759R","001","12:00-12:50pm","Tuesday","24","6","0","",""
"","","","","Discussion","37760R","001","1:00-1:50pm","Thursday","24","14","0","","THH B9"
"IR-307","Contemporary International Politics","","4.0 units","Lecture","37784R","001","2:00-3:20pm","Mon, Wed","48","46","0","Dollie Davis","SOS B44"
"","","","","Lecture","37785R","001","5:00-6:20pm","Tue, Thu","30","6","0","Andrew Manning","VKC151"
"IR-310","Introduction to Peace and Conflict Studies","","4.0 units","Lecture","37790R","001","5:00-6:20pm","Mon, Wed","48","25","0","Douglas Becker","VKC152"
"IR-311","Research Design and Methods","","4.0 units","Lecture","37793R","001","12:30-1:50pm","Tue, Thu","16","6","0","Nina Rathbun","VKC104"
"IR-316","Gender and Global Issues","","4.0 units","Lecture","37803R","001","5:00-6:20pm","Mon, Wed","49","48","0","Jessica Peet","VKC102"
"IR-318","Conflict Resolution and Peace Research","","4.0 units","Lecture","37808R","001","2:00-3:20pm","Tue, Thu","26","15","0","Andrew Coe","SOS B41"
"IR-323","Politics of Global Environment","","4.0 units","Lecture","37813R","001","2:00-3:20pm","Tue, Thu","20","20","0","Shannon Gibson","VKC152"
"","","","","Lecture","37814R","001","2:00-3:20pm","Tue, Thu","28","27","0","Shannon Gibson","VKC152"
"IR-325","Rich and Poor States in the World Political Economy","","4.0 units","Lecture","37819R","001","9:30-10:50am","Tue, Thu","48","44","0","Dollie Davis","SOS B44"
"IR-328","The Evolving Global Economic Architecture-Capital Mobility","","4.0 units","Lecture","37824R","048","2:00-3:20pm","Mon, Wed","48","0","0","Joshua Aizenman",""
