"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ISE-105","Introduction to Industrial and Systems Engineering","","2.0 units","Lecture","31600R","001","10:00-11:50am","Friday","44","33","0","Shinyi Wu","KAP146"
"ISE-220","Probability Concepts in Engineering","P","3.0 units","Lecture","31601D","001","8:30-9:50am","Mon, Wed","35","18","0","Cesar Acosta-Mejia","KAP148"
"","","","","Lecture","31608D","001","9:30-10:50am","Tue, Thu","35","33","0","Cesar Acosta-Mejia","VPD106"
"ISE-225","Engineering Statistics I","P","3.0 units","Lecture","31602D","001","2:00-4:50pm","Thursday","35","35","0","Detlof Von Winterfeldt","SAL126"
"ISE-232L","Manufacturing Processes","","3.0 units","Lecture-Lab","31603D","001","1:00-1:50pm","MWF","36","35","0","Yong Chen","VKC211"
"","","","","Lecture-Lab","31616D","001","3:30-4:50pm","Mon, Wed","1","0","0","Stephen Lu",""
"ISE-310","Production I: Facilities and Logistics","P","4.0 units","Lecture","31604D","001","12:30-1:50pm","Tue, Thu","35","35","0","Geza Bottlik","KAP148"
"","","","","Lab","31624D","001","2:00-3:20pm","Tuesday","25","25","0","","GER309"
"","","","","Lab","31634R","001","2:00-3:20pm","Thursday","10","10","0","","GER309"
"ISE-330","Introduction to Operations Research: Deterministic Models","P","3.0 units","Lecture","31605D","001","3:30-4:50pm","Mon, Wed","35","30","0","Harshavardhana Gangammanavar","KAP148"
"","","","","Lecture","31609D","001","12:00-1:50pm","Mon, Wed","35","34","0","Suvrajeet Sen","KAP147"
"ISE-331","Introduction to Operations Research: Stochastic Models","P","3.0 units","Lecture","31606D","001","11:00-12:20pm","Tue, Thu","35","0","0","Julia Higle",""
"","","","","Lecture","31620D","001","10:00-11:50am","Mon, Wed","35","28","0","Sheldon Ross","KAP146"
"ISE-370L","Human Factors in Work Design","","4.0 units","Lecture","31607D","001","3:30-4:50pm","Tue, Thu","37","37","0","Naj Meshkati","VPD106"
"","","","","Lecture","31611D","001","8:00-10:50am","Thursday","29","29","0","Suzanne Dawes","GER309"
"","","","","Lab","31637R","001","5:00-7:20pm","Wednesday","26","26","0","","GER309"
"","","","","Lab","31647R","001","2:00-4:20pm","Friday","20","15","0","","GER309"
"","","","","Lab","31657R","001","5:00-7:20pm","Monday","25","25","0","","GER309"
"ISE-382","Database Systems: Concepts, Design and Implementation","","3.0 units","Discussion","31630R","001","11:00-11:50am","Friday","15","13","0","","KAP267"
"","","","","Lecture","31628D","001","5:00-6:20pm","Tue, Thu","45","28","0","Nathan Greenfield","GFS101"
"","","","","Discussion","31629R","001","9:30-10:20am","Friday","15","3","0","","KAP267"
"","","","","Discussion","31631R","001","12:30-1:20pm","Friday","15","12","0","","KAP267"
"ISE-410","Production II: Planning and Scheduling","P","3.0 units","Lecture","31610D","001","10:00-11:50am","Mon, Wed","35","31","0","Maged Dessouky","WPH205"
"ISE-426","Statistical Quality Control","P","3.0 units","Lecture","31612D","001","2:00-3:20pm","Mon, Wed","35","32","0","Qiang Huang","KAP146"
"","","","","Lecture","31622D","001","3:30-4:50pm","Mon, Wed","35","11","0","Kurt Palmer","VKC203"
"ISE-435","Discrete Systems Simulation","P","3.0 units","Lecture","31613D","001","11:00-12:20pm","Tue, Thu","35","22","0","Kurt Palmer","VKC152"
"","","","","Lab","31623R","001","5:00-5:50pm","Thursday","15","6","0","","GER309"
"","","","","Lab","31633R","001","1:00-1:50pm","Thursday","20","16","0","","GER309"
"","","","","Lecture","31625D","001","12:00-1:50pm","Mon, Wed","35","31","0","Berok Khoshnevis","WPH106"
"","","","","Lab","31626D","001","1:00-1:50pm","Tuesday","16","14","0","","GER309"
"","","","","Lab","31627R","001","5:00-5:50pm","Tuesday","19","17","0","","GER309"
