"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ITAL-120","Italian I","","4.0 units","Lecture","34401D","001","8:00-8:50am","MTuWTh","19","17","0","Antonio Idini","VKC111"
"","","","","Lecture","34403D","001","9:00-9:50am","MTuWTh","19","7","0","Antonio Idini","VKC111"
"","","","","Lecture","34405D","001","10:00-10:50am","MTuWTh","19","13","0","Alessio Filippi","VKC111"
"","","","","Lecture","34406D","001","1:00-1:50pm","MTuWTh","19","18","0","Francesca Leardini","VKC111"
"","","","","Lecture","34410D","001","4:00-5:50pm","Tue, Thu","19","19","0","Alessio Filippi","VKC111"
"ITAL-150","Italian II","P","4.0 units","Lecture","34416D","001","10:00-10:50am","MTuWTh","19","10","0","James Fortney","VKC160"
"","","","","Lecture","34418D","001","11:00-11:50am","MTuWTh","19","10","0","James Fortney","VKC160"
"","","","","Lecture","34420D","001","2:00-2:50pm","MTuWTh","19","7","0","Francesca Leardini","VKC160"
"","","","","Lecture","34423D","001","4:00-5:50pm","Mon, Wed","19","14","0","Francesca Leardini","VKC160"
"ITAL-220","Italian III","P","4.0 units","Lecture","34427D","001","11:00-11:50am","MTuWTh","19","15","0","Francesca Italiano","VKC111"
"","","","","Lecture","34429D","001","1:00-1:50pm","MTuWTh","19","10","0","Francesca Italiano","VKC160"
"","","","","Lecture","34431D","001","4:00-5:50pm","Tue, Thu","19","14","0","James Fortney","SOS B41"
"ITAL-224","Italian Composition and Conversation","","4.0 units","Lecture","34435D","001","10:00-10:50am","MTuWTh","16","3","0","Francesca Italiano","THH105"
"ITAL-320","Writing About Italian Literature","P","4.0 units","Lecture","34437D","001","2:00-3:20pm","Tue, Thu","10","3","0","Alessio Filippi","WPH200"
"ITAL-462","The Novella Tradition: Fables and Stories","","4.0 units","Lecture","34440R","001","2:00-3:20pm","Mon, Wed","12","10","0","Margaret Rosenthal","WPH200"
"ITAL-470","Modern and Postmodern Italian Literature","","4.0 units","Lecture","34444D","001","12:30-1:50pm","Tue, Thu","16","5","0","Gian-Maria Annovi","THH109"
"ITAL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34450D","001","TBA","TBA","1","1","0","Margaret Rosenthal","OFFICE"
"ITAL-590","Directed Research","","1.0-12.0 units","Lecture","34455D","001","TBA","TBA","2","0","0","","OFFICE"
"ITAL-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
