"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ITP-090x","Introduction to Adobe Photoshop","","2.0 units","Lecture-Lab","31800R","001","5:00-7:50pm","Monday","30","12","0","Chander Burgos","WPH B36"
"","","","","Lecture-Lab","31885R","001","3:30-6:20pm","Monday","36","16","0","Chander Burgos","SAL126"
"","","","","Lecture-Lab","31802R","001","5:00-7:50pm","Tuesday","29","23","0","Chander Burgos","KOH208"
"ITP-101x","Introduction to Information Technology","","4.0 units","Lecture","32001R","001","12:30-1:50pm","Tue, Thu","80","79","0","Lance Winkel","KAP160"
"","","","","Lab","31805R","001","12:00-12:50pm","Mon, Wed","25","21","0","","OHE542"
"","","","","Lab","31808R","001","1:00-1:50pm","Mon, Wed","25","23","0","","OHE542"
"","","","","Lab","31812R","001","2:00-2:50pm","Tue, Thu","25","24","0","","OHE542"
"","","","","Lab","31813R","001","3:00-3:50pm","Tue, Thu","25","11","0","","OHE542"
"ITP-104Lx","Web Publishing","","2.0 units","Lecture-Lab","31809R","001","5:00-7:50pm","Tuesday","80","80","0","Patrick Dent","KAP160"
"","","","","Lecture-Lab","31806R","001","5:00-7:50pm","Monday","80","55","0","Jennifer Kassar","KAP160"
"","","","","Lecture","32036R","292","9:30-10:50am","Tue, Thu","1","0","0","Jennifer Kassar",""
"","","","","Lab","32037R","292","11:00-12:20pm","Tue, Thu","1","0","0","",""
"","","","","Lecture","32034R","154","9:30-10:50am","Tue, Thu","80","17","0","Patrick Dent","KAP160"
"","","","","Lab","32035R","154","11:00-12:20pm","Tue, Thu","80","17","0","","KAP160"
"ITP-109x","Introduction to Java Programming","","2.0 units","Lecture-Lab","31814R","001","3:30-4:50pm","Mon, Wed","28","23","0","Robert Parke","OHE406"
"","","","","Lecture-Lab","31832R","001","10:00-11:20am","Mon, Wed","27","26","0","Kendra Walther","KAP107"
"","","","","Lecture-Lab","31901R","001","12:30-1:50pm","Tue, Thu","27","27","0","Robert Parke","OHE406"
"ITP-111x","Introduction to Cloud Technologies","","2.0 units","Lecture-Lab","32047R","001","2:00-3:20pm","Mon, Wed","29","20","0","Nathan Greenfield","OHE406"
"ITP-115","Programming in Python","","2.0 units","Lecture-Lab","32023R","001","2:00-3:20pm","Tue, Thu","34","33","0","Robert Parke II","OHE540"
"ITP-125Lx","From Hackers to CEOs: Introduction to Information Security","","2.0 units","Lecture","31836R","001","5:00-6:20pm","Monday","27","27","0","Joseph Greenfield","OHE406"
"","","","","Lab","31837R","001","6:30-7:50pm","Monday","27","26","0","","OHE406"
"","","","","Lecture","31838R","001","9:30-10:50am","Tuesday","27","27","0","Chi So","OHE406"
"","","","","Lab","31839R","001","11:00-12:20pm","Tuesday","27","26","0","","OHE406"
"","","","","Lecture","32039R","001","9:30-10:50am","Thursday","27","22","0","Jennifer Kassar","OHE406"
"","","","","Lab","31842R","001","11:00-12:20pm","Thursday","27","24","0","","OHE406"
"ITP-140","Mobile Application Technologies","","2.0 units","Lecture-Lab","31902R","001","12:30-1:50pm","Tue, Thu","34","32","0","Trina Gregory","OHE540"
"","","","","Lecture-Lab","32024R","001","3:30-4:50pm","Tue, Thu","80","31","0","Trina Gregory","KAP160"
"ITP-165x","Introduction to C++ Programming","","2.0 units","Lecture-Lab","31891R","001","11:00-12:20pm","Tue, Thu","29","26","0","Raymond Kim","KAP267"
"","","","","Lecture-Lab","31900R","001","2:00-3:20pm","Tue, Thu","69","68","0","Nathan Greenfield","KAP160"
"","","","","Lecture-Lab","32038R","001","3:30-4:50pm","Mon, Wed","27","27","0","Raymond Kim","KAP107"
"","","","","Lecture-Lab","32050R","001","12:00-1:20pm","Mon, Wed","27","27","0","Raymond Kim","KAP107"
"","","","","Lecture-Lab","32051R","001","12:30-1:50pm","Tue, Thu","27","27","0","Nathan Greenfield","KAP107"
"","","","","Lecture-Lab","32057R","001","5:00-6:20pm","Tue, Thu","36","34","0","Michael Crowley","OHE540"
"ITP-168","Introduction to MATLAB","","2.0 units","Lecture-Lab","31821R","001","12:30-1:50pm","Tue, Thu","19","17","0","Raymond Kim","OHE542"
"ITP-215x","3D Modeling, Animation, and Special Effects","","2.0 units","Lecture-Lab","31869R","001","3:30-4:50pm","Tue, Thu","34","19","0","Lance Winkel","OHE540"
"ITP-230x","Video Game Quality Assurance","","4.0 units","Lecture-Lab","31858R","001","10:00-11:50am","Mon, Wed","34","16","0","Tom Sloper","OHE540"
"","","","","Lecture-Lab","31856R","001","5:00-8:50pm","Tuesday","17","15","0","Tom Sloper","OHE542"
"ITP-280","Video Game Production","","4.0 units","Lecture","31849R","001","6:00-8:50pm","Wednesday","80","13","0","Anthony Borquez","KAP163"
"","","","","Lab","31853R","001","3:00-4:50pm","Friday","23","2","0","Anthony Borquez","OHE542"
"","","","","Lab","31850R","001","11:00-12:50pm","Friday","23","6","0","Anthony Borquez","OHE542"
"","","","","Lab","31852R","001","1:00-2:50pm","Friday","23","5","0","Anthony Borquez","OHE542"
"ITP-300x","Database Web Development","P","3.0 units","Lecture","32054R","001","3:00-5:50pm","Wednesday","20","14","0","Michael Crowley","KOH208"
"","","","","Lecture-Lab","31908R","001","2:00-4:50pm","Thursday","29","28","0","Yuanbo Wang","KAP267"
"","","","","Lecture-Lab","32031R","001","2:00-4:50pm","Monday","28","28","0","Dung Nguyen","KAP267"
"ITP-302x","Advanced Web Publishing","P","2.0 units","Lecture-Lab","31897R","001","2:00-4:50pm","Tuesday","29","29","0","Patrick Dent","KAP267"
"ITP-310x","Design for User Experience","","3.0 units","Lecture-Lab","32029R","001","5:00-7:50pm","Wednesday","50","40","0","Jennifer Kassar","KAP160"
"ITP-315x","3D Character Animation","P","3.0 units","Lecture-Lab","31860R","001","11:00-12:20pm","Tue, Thu","34","1","0","Lance Winkel",""
"ITP-320x","Enterprise Information Systems","","4.0 units","Lecture","31840R","001","10:00-11:50am","Mon, Wed","61","60","0","Nitin Kale","KAP160"
"","","","","Lecture","31841R","001","6:00-7:50pm","Tue, Thu","30","22","0","Mike Lee","KAP145"
"ITP-325x","Ethical Hacking and Systems Defense","P","3.0 units","Lecture-Lab","32046R","001","5:00-7:50pm","Monday","27","21","0","Chi So","KAP107"
