"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"JOUR-090x","Internships in the Media","M","1.0 units, max 8","Lecture","21000D","001","TBA","TBA","15","0","0","Michael Parks","OFFICE"
"JOUR-201","History of News in Modern America","","4.0 units","Lecture","21012D","001","3:30-4:50pm","Mon, Wed","90","52","0","Mike Ananny","ASC204"
"JOUR-202","Newswriting: Print","","3.0 units","Lecture","21021D","001","9:00-11:40am","Tuesday","15","15","0","Julio Moran","ANN413"
"","","","","Lecture","21022D","001","7:00-9:40pm","Tuesday","15","9","0","Gabrielle Banks","ANN307"
"","","","","Lecture","21023D","001","7:00-9:40pm","Tuesday","15","0","0","",""
"","","","","Lecture","21015D","001","9:00-11:40am","Monday","15","14","0","Ryan Pearson","ANN308"
"","","","","Lecture","21016D","001","9:00-11:40am","Monday","15","14","0","Dan Evans","ANN413"
"","","","","Lecture","21017D","001","12:00-2:40pm","Monday","15","15","0","William Celis","ANN308"
"","","","","Lecture","21018D","001","10:00-12:40pm","Tuesday","15","15","0","Alan Mittelstaedt","ANN408"
"","","","","Lecture","21019D","001","12:00-2:40pm","Tuesday","15","15","0","Julio Moran","ANN413"
"","","","","Lecture","21020D","001","7:00-9:40pm","Monday","15","12","0","Kate Pickert","ANN413"
"JOUR-203","Newswriting: Broadcast","","3.0 units","Lecture","21046D","001","5:00-7:40pm","Wednesday","15","14","0","David Daniel","ANN308"
"","","","","Lecture","21047D","001","2:00-4:40pm","Thursday","15","14","0","Liz McHale","ANN408"
"","","","","Lecture","21048D","001","7:00-9:40pm","Thursday","15","0","0","",""
"","","","","Lecture","21040D","001","9:00-11:40am","Wednesday","15","15","0","Graham Robertson","ANN209"
"","","","","Lecture","21041D","001","12:00-2:40pm","Wednesday","15","15","0","Graham Robertson","ANN209"
"","","","","Lecture","21042D","001","9:00-11:40am","Thursday","15","14","0","Kingsley Smith","ANN307"
"","","","","Lecture","21043D","001","12:00-2:40pm","Wednesday","15","15","0","Lewis Rothbart","ANN413"
"","","","","Lecture","21044D","001","8:00-10:40am","Thursday","15","10","0","Liz McHale","ANN413"
"","","","","Lecture","21045D","001","3:00-5:40pm","Wednesday","15","13","0","Lewis Rothbart","ANN413"
"JOUR-209","Effective Writing for Strategic Public Relations","","4.0 units","Lecture","21070D","001","2:00-5:20pm","Monday","16","16","0","Kathleen Jacobs","ANN307"
"","","","","Lecture","21071D","001","2:00-5:20pm","Tuesday","16","16","0","Jason Booth","ANN308"
"","","","","Lecture","21072D","001","6:00-9:20pm","Tuesday","16","16","0","Jason Booth","ANN308"
"","","","","Lecture","21073D","001","6:00-9:20pm","Thursday","16","11","0","Maegan Carberry","ANN308"
"","","","","Lecture","21074D","001","10:00-1:20pm","Friday","16","15","0","Kathleen Jacobs","ANN308"
"JOUR-210x","Basics of News Production for Non-Majors","M","2.0 units, max 6","Lecture","21080D","001","TBA","TBA","15","2","0","Rebecca Haggerty","OFFICE"
"JOUR-250","Strategic Public Relations: An Introduction","","4.0 units","Lecture","21181D","001","6:00-9:20pm","Monday","18","16","0","Jennifer Musselman","ANN211"
"","","","","Lecture","21184D","001","6:00-9:20pm","Wednesday","18","15","0","Gregory Bishop","ANN210"
"","","","","Lecture","21185D","001","6:00-9:20pm","Wednesday","18","14","0","Aimei Yang","ANN408"
"JOUR-306","Production: Broadcast","P","3.0 units","Lecture","21090D","001","12:00-2:40pm","Wednesday","15","11","0","John Smith","ANN405"
"","","","","Lecture","21091D","001","12:00-2:40pm","Monday","15","13","0","Jeffrey Wald","ANN413"
"","","","","Lecture","21092D","001","7:00-9:40pm","Tuesday","15","14","0","Randy Paige","ANN309"
"JOUR-308","Newspaper Editing and Design","P","3.0 units","Lecture","21100D","001","6:00-8:40pm","Monday","15","16","0","Ann Herold","ASC240"
"","","","","Lecture","21101D","001","10:00-12:40pm","Friday","15","12","0","Bradford Hanson","ANN307"
"JOUR-309","Introduction to Online Media","P","3.0 units","Lecture","21111D","001","12:00-2:40pm","Thursday","13","11","0","Jennifer De La Fuente","ANN307"
"","","","","Lecture","21113D","001","7:00-9:40pm","Thursday","13","9","0","Laura Davis","ANN211"
"","","","","Lecture","21114D","001","9:00-11:40am","Wednesday","13","11","0","Dan Evans","ANN307"
"","","","","Lecture","21115D","001","2:00-4:40pm","Wednesday","14","13","0","Jennifer De La Fuente","ANN307"
"","","","","Lecture","21110D","001","9:00-11:40am","Thursday","13","11","0","Phuong Bui","ANN308"
"","","","","Lecture","21112D","001","4:00-6:40pm","Thursday","13","10","0","Keith Plocek","ANN307"
"JOUR-310","Investigative Reporting","P","4.0 units","Lecture","21121D","001","10:00-11:50am","Wed, Fri","15","14","0","Gary Cohn","ASC230"
"","","","","Lecture","21122D","001","12:00-1:50pm","Wed, Fri","17","14","0","Gary Cohn","ASC230"
"JOUR-330","Photojournalism","","4.0 units","Lecture","21130D","001","10:00-11:50am","Tue, Thu","15","13","0","Myra Turner","ANN209"
"JOUR-340","Introduction to Advertising","","4.0 units","Lecture","21145D","001","6:00-9:20pm","Monday","35","32","0","David Dreyer","ANN406"
"","","","","Lecture","21146D","001","6:00-9:20pm","Tuesday","35","35","0","Laura Shute","ANN406"
"JOUR-341","Advertising Copywriting","P","4.0 units","Lecture","21155D","001","6:00-9:20pm","Thursday","36","16","0","Rick Bursky","ANN L115"
"JOUR-342","Advertising Media and Analysis","P","4.0 units","Lecture","21160D","001","6:00-9:20pm","Monday","40","16","0","Kyle Acquistapace","ASC231"
"JOUR-351a","Strategic Public Relations Media and Content","P","4.0 units","Lecture","21191D","001","2:00-5:20pm","Thursday","13","13","0","Stefan Pollack","ANN413"
"","","","","Lecture","21192D","001","6:00-9:20pm","Tuesday","13","8","0","Darryl Ryan","ANN408"
"","","","","Lecture","21193D","001","6:00-9:20pm","Tuesday","16","0","0","",""
"","","","","Lecture","21190D","001","6:00-9:20pm","Thursday","16","0","0","",""
"JOUR-351b","Strategic Public Relations Media and Content","P","4.0 units","Lecture","21202D","001","6:00-9:20pm","Thursday","16","16","0","Stefan Pollack","ANN413"
"","","","","Lecture","21205D","001","6:00-9:20pm","Wednesday","17","17","0","Darryl Ryan","ANN307"
"","","","","Lecture","21200D","001","6:00-9:20pm","Monday","16","16","0","Bradley Chase","ANN405"
"","","","","Lecture","21201D","001","2:00-5:20pm","Thursday","17","17","0","Jennifer Floto","ANN308"
"","","","","Lecture","21204D","001","6:00-9:20pm","Thursday","16","11","0","Josh Jenisch","ANN210"
