"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"JS-100g","Jewish History","","4.0 units","Lecture","38250R","001","2:00-3:20pm","Mon, Wed","105","105","0","Joshua Garroway, Leah Hochman","MRF340"
"","","","","Discussion","38251R","001","4:00-4:50pm","Wednesday","25","25","0","Joshua Garroway, Leah Hochman","THH213"
"","","","","Discussion","38252R","001","3:30-4:20pm","Monday","26","25","0","Joshua Garroway, Leah Hochman","VKC154"
"","","","","Discussion","38253R","001","4:00-4:50pm","Tuesday","26","26","0","Joshua Garroway, Leah Hochman","VKC207"
"","","","","Discussion","38260R","001","11:00-11:50am","Tuesday","29","29","0","Joshua Garroway, Leah Hochman","VKC158"
"JS-211g","The Holocaust","","4.0 units","Lecture","38255R","001","9:30-10:50am","Tue, Thu","98","96","0","Sharon Gillerman, Leah Hochman","THH202"
"","","","","Discussion","38256R","001","3:00-3:50pm","Tuesday","25","24","0","","VKC157"
"","","","","Discussion","38257R","001","3:00-3:50pm","Wednesday","25","23","0","","SOS B52"
"","","","","Discussion","38258R","001","4:00-4:50pm","Wednesday","26","26","0","","SOS B52"
"","","","","Discussion","38259R","001","3:00-3:50pm","Thursday","25","23","0","","VKC160"
"JS-340","Modern Jewish History","","4.0 units","Lecture","38264R","001","12:30-1:50pm","Tue, Thu","20","0","0","Sharon Gillerman, Leah Hochman","OFFICE"
"JS-362","Terror and Resistance in Literature and the Media","","4.0 units","Lecture","38267D","001","2:00-3:20pm","Mon, Wed","20","0","0","Leah Hochman",""
"JS-378","Jewish Magic in the Ancient World","","4.0 units","Lecture","38263R","001","11:00-12:20pm","Tue, Thu","20","3","0","Kristine Garroway, Leah Hochman","WPH206"
"JS-428","Blacks and Jews: Conflicts and Alliances","","4.0 units","Lecture","38262R","001","2:00-3:20pm","Tue, Thu","20","0","0","Bruce Phillips, Leah Hochman","OFFICE"
"JS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","38265D","001","TBA","TBA","10","1","0","Leah Hochman","OFFICE"
"JS-590","Directed Research","","1.0-12.0 units","Lecture","38266D","001","TBA","TBA","5","0","0","Leah Hochman","OFFICE"
