"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LAW-200x","Law and Society","","4.0 units","Lecture","02600R","001","2:00-3:50pm","Monday","90","52","0","Susan Estrich","MHP106"
"","","","","Discussion","02601R","001","1:00-1:50pm","Monday","40","28","0","Susan Estrich","VHE217"
"","","","","Discussion","02602R","001","4:00-4:50pm","Monday","48","24","0","Susan Estrich","MHP B7B"
"LAW-201x","Law and Politics: Electing a President","","4.0 units","Lecture","02605R","001","4:00-6:50pm","Monday","35","11","0","Susan Estrich","THH106"
"LAW-300","Concepts in American Law","","4.0 units","Lecture","02607D","001","2:00-3:30pm","Tue, Thu","60","24","0","Nomi Stolzenberg","LAW130"
"LAW-402","Psychology and Law","","4.0 units","Lecture","02615R","001","3:30-6:20pm","Wednesday","60","39","0","Stacia Stolzenberg","LAW130"
"LAW-404","Law and Psychology: Examining the Criminal Justice Process","","4.0 units","Lecture","02625R","001","3:30-6:20pm","Monday","40","0","0","Dan Simon",""
"LAW-500o","Overseas Studies","","4.5-15.0 units, max 15"
"","Outbound China/University of Hong Kong/Law","","1.0-15.0","Lecture","08951D","982","TBA","TBA","2","1","0","","OFFICE"
"","Outbound Italy Bocconi/Law","","1.0-15.0","Lecture","08952D","127","TBA","TBA","1","1","0","","OFFICE"
"LAW-502","Procedure I","M","4.0 units","Lecture","03010D","991","10:00-11:50am","Mon, Fri","70","67","0","Dan Klerman","LAW103"
"","","","","Lecture","03014D","991","2:00-3:50pm","Mon, Fri","70","69","0","Dan Klerman","LAW7"
"","","","","Lecture","03019D","991","2:00-3:50pm","Mon, Wed","85","68","0","Daria Roithmayr","LAW1"
"LAW-503","Contracts","M","2.0-4.0 units","Lecture","03020D","991","10:00-11:50am","Tue, Thu","75","69","0","Robert Rasmussen","LAW101"
"","","","","Lecture","03024D","991","10:00-11:50am","Mon, Wed","75","67","0","Jonathan Barnett","LAW1"
"","","","","Lecture","03029D","991","2:00-3:50pm","Tue, Thu","75","68","0","Gillian Hadfield","LAW103"
"LAW-508","Constitutional Law","M","2.0-5.0 units","Lecture","04003D","968","6:00-7:50pm","Thursday","115","53","0","Scott Malzahn, Deborah Call-Bulluck","LAW7"
"LAW-509","Torts I","M","4.0 units","Lecture","03070D","991","2:00-3:50pm","Mon, Wed","70","68","0","Jody Armour","LAW103"
"","","","","Lecture","03074D","991","2:00-3:50pm","Tue, Thu","72","70","0","Jody Armour","LAW101"
"","","","","Lecture","03079D","991","10:00-11:15am","MWF","70","69","0","Greg Keating","LAW101"
"LAW-510","Legal Research","M","0.0-1.0 units","Lecture","04007D","968","11:00-11:50am","Wednesday","18","17","0","Paul Moorman, Karen Skinner, Deborah Call-Bulluck",""
"","","","","Lecture","04008D","968","11:00-11:50am","Wednesday","15","15","0","Pauline Aranas, Paul Moorman, Karen Skinner, Deborah Call-Bulluck",""
"","","","","Lecture","04009D","968","2:00-2:50pm","Wednesday","18","18","0","Pauline Aranas, Paul Moorman, Karen Skinner, Deborah Call-Bulluck",""
"","","","","Lecture","04010D","968","2:00-2:50pm","Wednesday","18","18","0","Brian Raphael, Paul Moorman, Karen Skinner, Deborah Call-Bulluck",""
"","","","","Lecture","04011D","968","1:00-1:50pm","Thursday","18","18","0","Diana Jaque, Michelle Buckley, Steven Benson, Deborah Call-Bulluck, Paul Moorman, Karen Skinner",""
"","","","","Lecture","04012D","968","1:00-1:50pm","Thursday","18","17","0","Cynthia Prado-Guyer, Paul Moorman, Karen Skinner, Michelle Buckley, Steven Benson, Deborah Call-Bulluck",""
"","","","","Lecture","04013D","968","12:00-12:50pm","Friday","16","16","0","Diana Jaque, Michelle Buckley, Steven Benson, Deborah Call-Bulluck, Paul Moorman, Karen Skinner",""
"","","","","Lecture","04014D","968","12:00-12:50pm","Friday","15","15","0","Michelle Buckley, Steven Benson, Deborah Call-Bulluck, Ryan Metheny, Paul Moorman, Karen Skinner",""
"","","","","Lecture","04015D","968","12:00-12:50pm","Friday","15","15","0","Michelle Buckley, Steven Benson, Deborah Call-Bulluck, Cynthia Prado-Guyer, Paul Moorman, Karen Skinner",""
"","","","","Lecture","04016D","968","1:00-1:50pm","Friday","15","15","0","Karen Skinner, Michelle Buckley, Steven Benson, Deborah Call-Bulluck, Paul Moorman",""
"","","","","Lecture","04017D","968","1:00-1:50pm","Friday","14","14","0","Michelle Buckley, Steven Benson, Deborah Call-Bulluck, Ryan Metheny, Paul Moorman, Karen Skinner",""
"","","","","Lecture","04018D","968","1:00-1:50pm","Friday","16","16","0","Paul Moorman, Michelle Buckley, Steven Benson, Deborah Call-Bulluck, Karen Skinner",""
"LAW-511a","Legal Writing","M","1.0-2.0 units","Lecture","04019D","968","11:00-11:50am","Tue, Thu","13","13","0","Daniele Le, Deborah Call-Bulluck","VPD LL101A"
"","","","","Lecture","04020D","968","11:00-11:50am","Tue, Thu","12","12","0","Julie Ryan, Deborah Call-Bulluck","VPD LL101B"
"","","","","Lecture","04021D","968","11:00-11:50am","Tue, Thu","13","13","0","Alan Heppel, Deborah Call-Bulluck","LAW1"
"","","","","Lecture","04022D","968","8:00-8:50am","Tue, Thu","12","11","0","Meehan Rasch, Deborah Call-Bulluck","LAW2"
"","","","","Lecture","04023D","968","8:00-8:50am","Tue, Thu","12","12","0","Helen Choi, Deborah Call-Bulluck","LAW3"
"","","","","Lecture","04024D","968","8:00-8:50am","Tue, Thu","13","11","0","Joo Kim, Deborah Call-Bulluck","LAW12"
"","","","","Lecture","04025D","968","8:00-8:50am","Tue, Thu","12","12","0","Rachel Pressman, Deborah Call-Bulluck","LAW103"
"","","","","Lecture","04026D","968","8:00-8:50am","Tue, Thu","14","12","0","Ruhi Kumar, Deborah Call-Bulluck","LAW106"
"","","","","Lecture","04027D","968","8:00-8:50am","Tue, Thu","12","12","0","Daniel Liffman, Deborah Call-Bulluck","LAW130"
"","","","","Lecture","04028D","968","4:00-4:50pm","Tue, Thu","12","12","0","Corinn Jackson, Deborah Call-Bulluck","LAW7"
"","","","","Lecture","04029D","968","4:00-4:50pm","Tue, Thu","12","12","0","Dina Nam, Deborah Call-Bulluck","LAW101"
"","","","","Lecture","04030D","968","4:00-4:50pm","Tue, Thu","12","11","0","Helen Choi, Deborah Call-Bulluck","LAW114"
"LAW-512","Law, Language, and Values","M","2.0-4.0 units","Lecture","03080D","991","10:00-11:50am","Wednesday","69","67","0","Daria Roithmayr","LAW103"
"","","","","Lecture","03084D","991","8:30-9:20am","Mon, Wed","68","66","0","Ron Garet","LAW101"
"","","","","Lecture","03089D","991","10:00-10:50am","Tue, Thu","70","68","0","Camille Rich","LAW1"
"LAW-515","Legal Research, Writing, and Advocacy I","M","2.0-3.0 units","Lecture","03100D","991","8:00-8:50am","Tue, Thu","15","14","0","Michael Moulton, Elizabeth Carroll, Brian Raphael, Diana Jaque","LAW1"
"","","","","Lecture","03101D","991","8:00-8:50am","Tue, Thu","15","14","0","Paul Zimmerman, Elizabeth Carroll, Brian Raphael, Ryan Metheny","LAW107"
"","","","","Lecture","03102D","991","8:00-8:50am","Tue, Thu","15","14","0","Janine Jones, Elizabeth Carroll, Brian Raphael, Cynthia Prado-Guyer","LAW114"
"","","","","Lecture","03103D","991","8:00-8:50am","Tue, Thu","15","13","0","Elizabeth Carroll, Brian Raphael, Paul Moorman","LAW118"
"","","","","Lecture","03104D","991","8:00-8:50am","Tue, Thu","15","14","0","Rebecca Lonergan, Elizabeth Carroll, Brian Raphael, Paul Moorman","LAW101"
"","","","","Lecture","03105D","991","11:00-11:50am","Tue, Thu","15","13","0","Natalie Kouyoumdjian, Elizabeth Carroll, Brian Raphael, Ryan Metheny","LAW3"
"","","","","Lecture","03106D","991","11:00-11:50am","Tue, Thu","15","13","0","Queena Mewers, Elizabeth Carroll, Brian Raphael, Karen Skinner","LAW7"
"","","","","Lecture","03107D","991","11:00-11:50am","Tue, Thu","15","15","0","Patricia Libby, Elizabeth Carroll, Brian Raphael","LAW12"
"","","","","Lecture","03108D","991","11:00-11:50am","Tue, Thu","15","13","0","Wendy Albers, Elizabeth Carroll, Brian Raphael, Judy Davis","LAW106"
"","","","","Lecture","03109D","991","11:00-11:50am","Tue, Thu","15","14","0","Elizabeth Carroll, Brian Raphael, Pauline Aranas","LAW107"
"","","","","Lecture","03110D","991","4:00-4:50pm","Tue, Thu","15","14","0","Jonathan Libby, Elizabeth Carroll, Brian Raphael, Paul Moorman","LAW1"
"","","","","Lecture","03111D","991","4:00-4:50pm","Tue, Thu","15","13","0","John Lee, Elizabeth Carroll, Brian Raphael","LAW12"
"","","","","Lecture","03112D","991","4:00-4:50pm","Tue, Thu","15","14","0","Thomas Riordan, Elizabeth Carroll, Brian Raphael, Cynthia Prado-Guyer","LAW106"
"","","","","Lecture","03113D","991","4:00-4:50pm","Tue, Thu","15","13","0","Dermot Edmundson, Elizabeth Carroll, Brian Raphael, Judy Davis","LAW107"
"","","","","Lecture","03114D","991","4:00-4:50pm","Tue, Thu","15","14","0","Desmund Wu, Elizabeth Carroll, Brian Raphael, Pauline Aranas","LAW118"
"LAW-520","Introduction to U.S. Legal System","M","2.0 units","Lecture","04001D","968","10:00-11:50am","Friday","150","133","0","John Heilman, Deborah Call-Bulluck","LAW3"
"","","","","Lecture","04002D","968","5:00-6:50pm","Wednesday","85","61","0","Elizabeth White, Deborah Call-Bulluck","LAW1"
"LAW-521","Topics in American Law","M","1.0-4.0 units","Lecture","04006D","968","2:00-4:50pm","Friday","150","111","0","John Heilman, Deborah Call-Bulluck","LAW3"
"LAW-600","Taxation","M","3.0-4.0 units","Lecture","03221D","941","4:00-5:50pm","Mon, Wed","85","66","0","Edward Kleinbard D","LAW7"
"","","","","Lecture","04221D","968","4:00-5:50pm","Mon, Wed","15","6","0","Edward Kleinbard D, Deborah Call-Bulluck","LAW7"
"LAW-602","Criminal Procedure","M","2.0-4.0 units","Lecture","03223D","941","10:00-11:50am","Wed, Fri","94","86","0","Tom Griffith","LAW7"
"","","","","Lecture","04223D","968","10:00-11:50am","Wed, Fri","16","15","0","Tom Griffith, Deborah Call-Bulluck","LAW7"
"LAW-603","Business Organizations","M","3.0-5.0 units","Lecture","03224D","941","2:00-3:50pm","Tue, Thu","50","41","0","Michael Chasalow","LAW1"
"","","","","Lecture","03225D","941","4:00-5:50pm","Tue, Thu","98","98","0","Donald Scotten","LAW3"
"","","","","Lecture","03226D","941","4:00-5:50pm","Mon, Wed","70","6","0","Carolyn Sissoko","LAW3"
"","","","","Lecture","04224D","968","2:00-3:50pm","Tue, Thu","29","26","0","Michael Chasalow, Deborah Call-Bulluck","LAW1"
"","","","","Lecture","04225D","968","4:00-5:50pm","Tue, Thu","61","60","0","Donald Scotten, Deborah Call-Bulluck","LAW3"
"","","","","Lecture","04226D","968","4:00-5:50pm","Mon, Wed","150","47","0","Carolyn Sissoko, Deborah Call-Bulluck","LAW3"
"","","","","Lecture","04236D","122","4:00-5:50pm","Mon, Wed","1","1","0","Carolyn Sissoko, Deborah Call-Bulluck","LAW3"
"","","","","Lecture","04568D","122","2:00-3:50pm","Tue, Thu","1","1","0","Michael Chasalow, Deborah Call-Bulluck","LAW1"
"","","","","Lecture","04571D","996","4:00-5:50pm","Tue, Thu","1","1","0","Deborah Call-Bulluck, Donald Scotten","LAW3"
"LAW-604","Real Estate Transactions Problems","M","1.0 unit","Lecture","03231D","941","TBA","TBA","58","19","0","George Lefcoe","TBA"
