"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LING-110Lg","In a Word","","4.0 units","Lecture","38802R","001","11:00-12:20pm","Tue, Thu","120","119","0","Mary Byram Washburn","ZHS159"
"","","","","Lab","38804R","001","8:30-9:50am","Wednesday","20","20","0","Thomas Borer","SAL109"
"","","","","Lab","38805R","001","8:30-9:50am","Wednesday","20","19","0","","SAL127"
"","","","","Lab","38806R","001","12:00-1:50pm","Wednesday","20","19","0","Thomas Borer","SAL109"
"","","","","Lab","38807R","001","12:00-1:50pm","Wednesday","20","20","0","","SAL126"
"","","","","Lab","38808R","001","2:00-3:20pm","Wednesday","21","21","0","Thomas Borer","SAL109"
"","","","","Lab","38809R","001","2:00-3:20pm","Wednesday","20","20","0","","SAL126"
"LING-115g","Language, Society, and Culture","","4.0 units","Lecture","38812D","001","9:30-10:50am","Tue, Thu","102","99","0","Andrew Simpson","GFS106"
"","","","","Discussion","38813D","001","8:00-8:50am","Friday","26","24","0","Andrew Simpson","GFS105"
"","","","","Discussion","38814D","001","9:00-9:50am","Friday","28","27","0","","GFS105"
"","","","","Discussion","38815R","001","10:00-10:50am","Friday","25","24","0","","GFS105"
"","","","","Discussion","38816R","001","11:00-11:50am","Friday","25","24","0","","GFS105"
"","","","","Lecture","38837D","001","2:00-3:20pm","Tue, Thu","102","101","0","Andrew Simpson","ZHS159"
"","","","","Discussion","38844R","001","9:00-9:50am","Monday","26","26","0","","GFS105"
"","","","","Discussion","38846R","001","10:00-10:50am","Monday","25","25","0","","GFS105"
"","","","","Discussion","38848R","001","8:00-8:50am","Monday","25","24","0","","GFS105"
"","","","","Discussion","38850R","001","11:00-11:50am","Monday","26","26","0","","GFS105"
"LING-210","Introduction to Linguistics","","4.0 units","Lecture","38818R","001","9:30-10:50am","Tue, Thu","30","29","1","Sandra Disner","GFS223"
"LING-275Lg","Language and Mind","","4.0 units","Lecture","38820R","001","2:00-3:20pm","Tue, Thu","120","85","0","Barry Schein, Toby Mintz","SGM124"
"","","","","Lab","38821R","001","8:30-9:50am","Monday","20","12","0","","GFS217"
"","","","","Lab","38822R","001","10:00-11:50am","Monday","20","18","0","","GFS216"
"","","","","Lab","38823R","001","2:00-3:20pm","Monday","20","15","0","","GFS216"
"","","","","Lab","38824R","001","10:00-11:50am","Friday","20","15","0","","GFS216"
"","","","","Lab","38825R","001","10:00-11:50am","Friday","20","11","0","","GFS220"
"","","","","Lab","38826R","001","2:00-3:20pm","Monday","20","14","0","","GFS217"
"","","","","Lecture","38972R","001","11:00-12:20pm","Tue, Thu","120","96","0","Barry Schein, Toby Mintz","MRF340"
"","","","","Lab","38974R","001","8:30-9:50am","Monday","20","18","0","","GFS104"
"","","","","Lab","38976R","001","10:00-11:50am","Friday","20","18","0","","KAP137"
"","","","","Lab","38978R","001","2:00-3:30pm","Friday","20","18","0","","GFS216"
"","","","","Lab","38980R","001","8:30-9:50am","Monday","20","13","0","","GFS216"
"","","","","Lab","38982R","001","8:30-9:50am","Friday","20","11","0","","GFS216"
"","","","","Lab","38984R","001","2:00-3:20pm","Friday","20","18","0","","GFS217"
"LING-302","Introduction to Syntax and Semantics","P","4.0 units","Lecture","38845D","001","10:00-11:50am","Mon, Wed","20","18","0","Maria Zubizarreta","GFS222"
"LING-375","Sociolinguistics","P","4.0 units","Lecture","38847D","001","12:00-1:50pm","Mon, Wed","25","0","0","",""
"LING-380","Languages of the World","","4.0 units","Lecture","38849R","001","2:00-3:20pm","Tue, Thu","20","13","0","Mary Byram Washburn","GFS107"
"LING-405","Child Language Acquisition","","4.0 units","Lecture","38859R","001","12:00-1:50pm","Mon, Wed","25","25","0","Elsi Kaiser","GFS222"
"LING-412","Linguistic Interpretation of the Law","","4.0 units","Lecture","38871R","001","12:30-1:50pm","Tue, Thu","25","19","0","Sandra Disner","GFS223"
"LING-480","Linguistic Structures","","4.0 units","Lecture","38877R","001","10:00-11:50am","Wed, Fri","20","0","0","",""
"LING-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","38882D","001","TBA","TBA","10","0","0","","OFFICE"
"LING-497","Honors Thesis","M","4.0 units","Lecture","38883D","001","TBA","TBA","10","1","0","","OFFICE"
"LING-505a","Seminar in Linguistics","","1.0 unit","Lecture","38891D","001","2:30-4:50pm","Wednesday","20","5","0","Elsi Kaiser","OFFICE"
"LING-505b","Seminar in Linguistics","P","1.0 unit","Lecture","38892D","001","3:30-4:50pm","Monday","40","0","0","","GFS118"
"LING-530","Generative Syntax","","3.0 units","Lecture","38907D","001","12:00-1:50pm","Mon, Wed","15","6","0","Roumyana Pancheva","GFS113"
"LING-531a","Phonology","","3.0 units","Lecture","38908D","001","1:00-3:20pm","Tuesday","25","5","0","Rachel Walker","OFFICE"
"LING-534","Logic and the Theory of Meaning","","3.0 units","Lecture","38915D","001","4:00-5:20pm","Tue, Thu","15","2","0","Barry Schein","GFS212"
"LING-561","Topics and Issues in East Asian Linguistics","","4.0 units, max 12","Lecture","25680D","001","2:00-4:50pm","Tuesday","20","1","0","Namkil Kim","VKC154"
"LING-576","Psycholinguistics","","3.0 units","Lecture","38951D","001","9:00-11:20am","Monday","16","5","0","Elsi Kaiser","OFFICE"
"LING-580","General Phonetics","","3.0 units","Lecture","38955D","001","9:30-11:50am","Wednesday","15","7","0","Louis Goldstein","OFFICE"
"LING-590","Directed Research","","1.0-12.0 units","Lecture","38965D","001","TBA","TBA","25","1","0","","OFFICE"
"","","","","Lecture","38966D","001","TBA","TBA","25","0","0","","OFFICE"
"LING-593x","Practicum in Teaching the Liberal Arts: Linguistics","C","2.0 units","Lecture","38968D","001","4:30-5:50pm","Tuesday","15","4","0","Rachel Walker","OFFICE"
"LING-595","Directed Readings","","1.0-4.0 units","Lecture","38970D","001","TBA","TBA","25","3","0","","OFFICE"
"LING-610","Seminar in Linguistic Theory","","3.0 units, max 12","Lecture","38973D","001","12:00-2:20pm","Monday","20","10","0","Rachel Walker","OFFICE"
"LING-632","Seminar in Phonetics","P","3.0 units, max 12","Lecture","38981D","001","2:00-4:20pm","Wednesday","15","7","0","Louis Goldstein","GFS217"
"LING-635","Seminar in Syntax","","3.0 units, max 12","Lecture","38983D","001","3:00-5:20pm","Wednesday","15","8","0","Maria Zubizarreta","GFS212"
"LING-636","Seminar in Semantics","","3.0 units, max 12","Lecture","38985D","001","11:00-1:20pm","Thursday","15","0","0","James Higginbotham",""
"LING-790","Research","","1.0-12.0 units","Lecture","38993D","001","TBA","TBA","25","2","0","","OFFICE"
"","","","","Lecture","38994D","001","TBA","TBA","23","0","0","","OFFICE"
"LING-794a","Doctoral Dissertation","","2.0 units","Lecture","38995D","001","TBA","TBA","25","6","0","","OFFICE"
"LING-794b","Doctoral Dissertation","P","2.0 units","Lecture","38996D","001","TBA","TBA","25","1","0","","OFFICE"
"LING-794c","Doctoral Dissertation","P","2.0 units","Lecture","38997D","001","TBA","TBA","25","2","0","","OFFICE"
"LING-794d","Doctoral Dissertation","P","2.0 units","Lecture","38998D","001","TBA","TBA","25","0","0","","OFFICE"
"LING-794z","Doctoral Dissertation","PC","0.0 units","Lecture","38999D","001","TBA","TBA","25","2","0","","OFFICE"
