"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MASC-110L","Materials Science","","4.0 units","Lecture","32101R","001","11:00-11:50am","MWF","120","114","0","Ed Goo","ZHS159"
"","","","","Discussion","32102R","001","3:30-4:20pm","Monday","30","28","0","Ed Goo","VHE206"
"","","","","Discussion","32104R","001","3:30-4:20pm","Tuesday","30","27","0","Ed Goo","VHE206"
"","","","","Discussion","32106R","001","3:30-4:20pm","Wednesday","30","30","0","Ed Goo","VHE206"
"","","","","Discussion","32108R","001","3:30-4:20pm","Thursday","30","28","0","Ed Goo","VHE206"
"","","","","Lab","32118R","001","1:00-2:50pm","Wednesday","20","19","0","Ed Goo","PCE103"
"","","","","Lab","32124R","001","1:00-2:50pm","Monday","20","20","0","Ed Goo","PCE103"
"","","","","Lab","32128R","001","1:00-2:50pm","Tuesday","20","19","0","Ed Goo","PCE103"
"","","","","Lab","32130R","001","1:00-2:50pm","Thursday","20","19","0","Ed Goo","PCE103"
"","","","","Lab","32105R","001","10:30-12:20pm","Tuesday","20","19","0","Ed Goo","PCE103"
"","","","","Lab","32107R","001","10:30-12:20pm","Thursday","20","18","0","Ed Goo","PCE103"
"MASC-310","Materials Behavior and Processing","","3.0 units","Lecture","32110D","001","2:00-3:20pm","Tue, Thu","41","41","0","Steve Nutt","ZHS352"
"","","","","Lecture","32113R","001","11:00-12:20pm","Tue, Thu","30","17","0","Steve Nutt","LVL13"
"","","","","Lecture","32131R","001","8:00-9:15am","Tue, Thu","40","40","0","Oliver Franke, Lessa Grunenfelder","SLH102"
"MASC-334lL","Mechanical Behavior of Materials","P","3.0 units","Lecture","29636R","001","3:30-6:10pm","Monday","50","46","0","Sami Masri","KAP156"
"","","","","Lab","29635R","001","1:00-3:50pm","Friday","8","4","0","","KAP B39"
"","","","","Lab","29637D","001","11:00-1:50pm","Thursday","9","9","0","","KAP B39"
"","","","","Lab","29638R","001","11:00-1:50pm","Tuesday","8","8","0","","KAP B39"
"","","","","Lab","29639R","001","2:00-4:50pm","Tuesday","8","8","0","","KAP B39"
"","","","","Lab","29640R","001","2:00-4:50pm","Thursday","8","7","0","","KAP B39"
"","","","","Lab","29641D","001","12:00-2:50pm","Monday","10","10","0","","KAP B39"
"MASC-350L","Nanostructured Materials: Design, Synthesis, and Processing","P","3.0 units","Lecture","32132R","001","8:00-9:20am","Tue, Thu","18","10","0","Andrea Armani","VHE210"
"","","","","Lab","32134R","001","9:00-11:50am","Wednesday","6","3","0","",""
"","","","","Lab","32136R","001","9:30-12:20pm","Thursday","7","7","0","",""
"","","","","Lab","32137R","001","1:00-3:50pm","Thursday","6","0","0","",""
"MASC-471","Applied Quantum Mechanics for Engineers","P","3.0 units","Lecture","30554D","001","8:30-9:50am","Mon, Wed","45","16","0","Martin Gundersen","SSL150"
"MASC-472","Polymer Science and Engineering","","3.0 units","Lecture","29422D","001","5:00-6:20pm","Tue, Thu","35","23","0","Jongseung Yoon","KAP148"
"MASC-502","Advanced Solid State","P","3.0 units","Lecture","32120R","048","6:00-7:20pm","Tue, Thu","20","0","0","Anupam Madhukar",""
"MASC-503","Thermodynamics of Materials","","3.0 units","Lecture","32140D","034","5:00-6:20pm","Tue, Thu","15","5","0","Michael Kassner","DEN@Viterbi"
"","","","","Lecture","32146R","048","5:00-6:20pm","Tue, Thu","56","51","0","Michael Kassner","OHE132"
"MASC-505","Crystals and Anisotropy","","3.0 units","Lecture","32148R","048","2:00-3:15pm","Mon, Wed","48","44","0","Ed Goo","KAP156"
"MASC-506","Semiconductor Physics","","3.0 units","Lecture","30530D","048","9:30-10:50am","Tue, Thu","30","18","0","Dan Dapkus","VHE210"
"MASC-523","Principles of Electrochemical Engineering","","3.0 units","Lecture","32150R","048","8:00-9:20am","Tue, Thu","25","0","0","",""
"","","","","Lecture","32151D","034","8:00-9:20am","Tue, Thu","25","0","0","",""
"MASC-534","Materials Characterization","","3.0 units","Lecture","32177R","048","3:30-4:50pm","Tue, Thu","30","17","0","Anupam Madhukar","VHE217"
"MASC-539","Engineering Quantum Mechanics","","3.0 units","Lecture","30702R","048","9:30-10:50am","Tue, Thu","30","11","0","Tony Levi","KAP158"
"MASC-551","Mechanical Behavior of Engineering Materials","","3.0 units","Lecture","32155D","048","9:30-10:50am","Tue, Thu","40","38","0","Michael Kassner","OHE100B"
"","","","","Lecture","32159D","034","9:30-10:50am","Tue, Thu","21","10","0","Michael Kassner","DEN@Viterbi"
"MASC-575","Basics of Atomistic Simulation of Materials","","3.0 units","Lecture","32114D","034","3:30-4:45pm","Mon, Wed","6","0","0","Priya Vashishta","DEN@Viterbi"
"","","","","Lecture","32157D","048","3:30-4:45pm","Mon, Wed","36","29","0","Priya Vashishta","OHE100C"
"MASC-583","Materials Selection","","3.0 units","Lecture","28945R","048","12:30-1:50pm","Mon, Wed","44","42","0","Michael Hahn","OHE100B"
"","","","","Lecture","29095D","034","12:30-1:50pm","Mon, Wed","33","33","0","Michael Hahn","DEN@Viterbi"
"MASC-590","Directed Research","","1.0-12.0 units","Lecture","32154D","048","TBA","TBA","20","5","0","Richard Roberts","OFFICE"
"MASC-594a","Master's Thesis","C","2.0 units","Lecture","32156D","048","TBA","TBA","10","0","0","","OFFICE"
"MASC-594b","Master's Thesis","PC","2.0 units","Lecture","32158D","048","TBA","TBA","10","0","0","","OFFICE"
"MASC-594z","Master's Thesis","PC","0.0 units","Lecture","32160D","048","TBA","TBA","5","0","0","","OFFICE"
"MASC-598","Materials Science Seminar","","1.0 unit","Lecture","32175R","048","12:30-1:50pm","Thursday","37","28","0","Rajiv Kalia","OFFICE"
"MASC-599","Special Topics","","2.0-4.0 units, max 9"
"","Failure Analysis","","3.0","Lecture","32178R","048","6:00-8:40pm","Monday","45","8","0","Nikhil Kar","ZHS163"
"MASC-690","Directed Research","","1.0-4.0 units, max 8","Lecture","32162D","048","TBA","TBA","20","0","0","Richard Roberts","OFFICE"
"MASC-790","Research","","1.0-12.0 units","Lecture","32164D","048","TBA","TBA","20","16","0","Richard Roberts","OFFICE"
"MASC-794a","Doctoral Dissertation","C","2.0 units","Lecture","32166D","048","TBA","TBA","20","0","0","","OFFICE"
"MASC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32168D","048","TBA","TBA","20","3","0","","OFFICE"
"MASC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32170D","048","TBA","TBA","20","4","0","","OFFICE"
"MASC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32172D","048","TBA","TBA","10","0","0","","OFFICE"
"MASC-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32174D","048","TBA","TBA","15","3","0","","OFFICE"
