"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MATH-040x","Basic Mathematical Skills","","4.0 units","Lecture","39400D","001","9:00-9:50am","MWF","32","18","0","Laffite Lamberto-Egan","KAP147"
"","","","","Discussion","39401D","001","8:00-8:50am","Tue, Thu","16","6","0","","VKC208"
"","","","","Discussion","39402D","001","9:00-9:50am","Tue, Thu","16","12","0","","VKC208"
"MATH-108","Precalculus","P","4.0 units","Lecture","39403D","001","9:00-9:50am","MWF","76","76","0","Paul Sobaje","GFS116"
"","","","","Discussion","39404D","001","8:00-8:50am","Tue, Thu","25","25","0","","VHE206"
"","","","","Discussion","39405D","001","9:00-9:50am","Tue, Thu","26","26","0","","VHE206"
"","","","","Discussion","39406D","001","10:00-10:50am","Tue, Thu","25","25","0","","VHE206"
"MATH-114x","Foundations of Statistics","","4.0 units","Lecture","39407D","001","9:00-9:50am","MWF","49","34","0","Sergey Lototsky","THH114"
"","","","","Discussion","39408D","001","8:00-8:50am","Tue, Thu","16","8","0","","GFS112"
"","","","","Discussion","39409D","001","9:00-9:50am","Tue, Thu","16","13","0","","GFS112"
"","","","","Discussion","39410D","001","10:00-10:50am","Tue, Thu","17","13","0","","GFS112"
"","","","","Lecture","39411D","001","10:00-10:50am","MWF","49","47","0","Jianfeng Zhang","KAP414"
"","","","","Discussion","39412D","001","11:00-11:50am","Tue, Thu","17","15","0","","GFS111"
"","","","","Discussion","39413D","001","12:00-12:50pm","Tue, Thu","16","16","0","","GFS111"
"","","","","Discussion","39414D","001","1:00-1:50pm","Tue, Thu","17","16","0","","GFS111"
"","","","","Lecture","39825D","001","11:00-11:50am","MWF","44","38","0","Tuan Nguyen","GFS207"
"","","","","Discussion","39826D","001","2:00-2:50pm","Tue, Thu","16","13","0","","GFS111"
"","","","","Discussion","39827D","001","3:00-3:50pm","Tue, Thu","16","9","0","","GFS111"
"","","","","Discussion","39828D","001","4:00-4:50pm","Tue, Thu","17","16","0","","GFS111"
"","","","","Lecture","39829D","001","1:00-1:50pm","MWF","49","41","0","Tuan Nguyen","SOS B44"
"","","","","Discussion","39830D","001","11:00-11:50am","Tue, Thu","16","15","0","","GFS112"
"","","","","Discussion","39831D","001","12:00-12:50pm","Tue, Thu","16","12","0","","GFS112"
"","","","","Discussion","39832D","001","1:00-1:50pm","Tue, Thu","17","14","0","","GFS112"
"MATH-116","Mathematics for the Social Sciences","","4.0 units","Lecture","39415D","001","9:00-9:50am","MWF","60","17","0","Gokhan Yildirim","MHP105"
"","","","","Discussion","39416D","001","8:00-8:50am","Tue, Thu","20","9","0","","GFS113"
"","","","","Discussion","39417D","001","9:00-9:50am","Tue, Thu","20","0","0","",""
"","","","","Discussion","39418D","001","10:00-10:50am","Tue, Thu","20","8","0","","GFS113"
"MATH-117","Introduction to Mathematics for Business and Economics","P","4.0 units","Lecture","39419D","001","11:00-11:50am","MWF","75","71","0","Bradley Drew","ZHS352"
"","","","","Discussion","39420D","001","11:00-11:50am","Tue, Thu","24","23","0","","KAP138"
"","","","","Discussion","39421D","001","12:00-12:50pm","Tue, Thu","25","23","0","","KAP138"
"","","","","Discussion","39422D","001","1:00-1:50pm","Tue, Thu","27","25","0","","KAP138"
"MATH-118x","Fundamental Principles of the Calculus","P","4.0 units","Lecture","39423D","001","9:00-9:50am","MWF","49","48","0","Cymra Haskell","VKC102"
"","","","","Discussion","39424D","001","8:00-8:50am","Tue, Thu","17","16","0","","KAP113"
"","","","","Discussion","39425D","001","9:00-9:50am","Tue, Thu","16","16","0","","KAP113"
"","","","","Discussion","39426D","001","10:00-10:50am","Tue, Thu","17","16","0","","KAP113"
"","","","","Lecture","39427D","001","9:00-9:50am","MWF","48","46","0","Tobias Johnson","WPH B28"
"","","","","Discussion","39428D","001","8:00-8:50am","Tue, Thu","16","15","0","","GFS217"
"","","","","Discussion","39429D","001","9:00-9:50am","Tue, Thu","16","16","0","","GFS217"
"","","","","Discussion","39430D","001","10:00-10:50am","Tue, Thu","17","15","0","","GFS217"
"","","","","Lecture","39431D","001","10:00-10:50am","MWF","49","48","0","Cymra Haskell","THH208"
"","","","","Discussion","39432D","001","2:00-2:50pm","Tue, Thu","16","16","0","","GFS202"
"","","","","Discussion","39433D","001","3:00-3:50pm","Tue, Thu","16","16","0","","GFS202"
"","","","","Discussion","39434D","001","4:00-4:50pm","Tue, Thu","17","16","0","","GFS202"
"","","","","Lecture","39435D","001","11:00-11:50am","MWF","49","49","0","Tobias Johnson","ZHS163"
"","","","","Discussion","39436D","001","11:00-11:50am","Tue, Thu","16","16","0","","GFS216"
"","","","","Discussion","39437D","001","12:00-12:50pm","Tue, Thu","16","16","0","","GFS216"
"","","","","Discussion","39438D","001","1:00-1:50pm","Tue, Thu","17","17","0","","GFS216"
"","","","","Lecture","39439D","001","12:00-12:50pm","MWF","49","47","0","James Zhao","SOS B44"
"","","","","Discussion","39440D","001","8:00-8:50am","Tue, Thu","16","15","0","","GFS218"
"","","","","Discussion","39441D","001","9:00-9:50am","Tue, Thu","17","17","0","","GFS218"
"","","","","Discussion","39442D","001","10:00-10:50am","Tue, Thu","17","15","0","","GFS218"
"","","","","Lecture","39443D","001","12:00-12:50pm","MWF","49","47","0","Andrea Appel","ZHS163"
"","","","","Discussion","39444D","001","2:00-2:50pm","Tue, Thu","17","16","0","","KAP113"
"","","","","Discussion","39445D","001","3:00-3:50pm","Tue, Thu","16","16","0","","KAP113"
"","","","","Discussion","39446D","001","4:00-4:50pm","Tue, Thu","17","15","0","","KAP113"
"","","","","Lecture","39447D","001","1:00-1:50pm","MWF","49","47","0","Gokhan Yildirim","WPH B28"
"","","","","Discussion","39448D","001","8:00-8:50am","Tue, Thu","16","15","0","","GFS114"
"","","","","Discussion","39449D","001","9:00-9:50am","Tue, Thu","16","15","0","","GFS114"
"","","","","Discussion","39450D","001","10:00-10:50am","Tue, Thu","17","17","0","","GFS114"
"","","","","Lecture","39451D","001","1:00-1:50pm","MWF","49","49","0","Andrea Appel","GFS118"
"","","","","Discussion","39452D","001","8:00-8:50am","Tue, Thu","16","15","0","","KAP141"
"","","","","Discussion","39453D","001","9:00-9:50am","Tue, Thu","17","17","0","","KAP141"
"","","","","Discussion","39454D","001","10:00-10:50am","Tue, Thu","17","17","0","","KAP141"
"","","","","Lecture","39495D","001","2:00-3:15pm","Mon, Wed","77","75","0","James Zhao","SLH102"
"","","","","Discussion","39496D","001","8:00-8:50am","Tue, Thu","26","25","0","","VHE214"
"","","","","Discussion","39497D","001","9:00-9:50am","Tue, Thu","27","23","0","","VHE214"
"","","","","Discussion","39498D","001","10:00-10:50am","Tue, Thu","28","27","0","","VHE214"
"MATH-125","Calculus I","P","4.0 units","Lecture","39455D","001","9:00-9:50am","MWF","63","63","0","Neelesh Tiruviluamala","THH116"
"","","","","Discussion","39456D","001","8:00-8:50am","Tue, Thu","21","21","0","","GFS202"
"","","","","Discussion","39457D","001","9:00-9:50am","Tue, Thu","21","21","0","","GFS202"
"","","","","Discussion","39458D","001","10:00-10:50am","Tue, Thu","21","21","0","","GFS202"
"","","","","Lecture","39459D","001","10:00-10:50am","MWF","62","62","0","Neelesh Tiruviluamala","VKC100"
"","","","","Discussion","39460D","001","8:00-8:50am","Tue, Thu","16","16","0","","KAP134"
"","","","","Discussion","39461D","001","9:00-9:50am","Tue, Thu","21","21","0","","KAP134"
"","","","","Discussion","39462D","001","10:00-10:50am","Tue, Thu","25","25","0","","KAP134"
"","","","","Lecture","39463D","001","10:00-10:50am","MWF","51","49","0","Guillermo Reyes Souto","SOS B44"
"","","","","Discussion","39464D","001","11:00-11:50am","Tue, Thu","20","19","0","","GFS217"
"","","","","Discussion","39465D","001","12:00-12:50pm","Tue, Thu","16","15","0","","GFS217"
"","","","","Discussion","39466D","001","1:00-1:50pm","Tue, Thu","17","15","0","","GFS217"
"","","","","Lecture","39467D","001","11:00-11:50am","MWF","51","51","0","Ricardo Mancera","MHP105"
"","","","","Discussion","39468D","001","11:00-11:50am","Tue, Thu","22","22","0","","GFS218"
"","","","","Discussion","39469D","001","12:00-12:50pm","Tue, Thu","16","13","0","","GFS218"
"","","","","Discussion","39470D","001","1:00-1:50pm","Tue, Thu","17","16","0","","GFS218"
"","","","","Lecture","39471D","001","11:00-11:50am","MWF","48","39","0","Charles Lanski","WPH B28"
"","","","","Discussion","39472D","001","2:00-2:50pm","Tue, Thu","19","16","0","","GFS218"
"","","","","Discussion","39473D","001","3:00-3:50pm","Tue, Thu","16","8","0","","GFS218"
"","","","","Discussion","39474D","001","4:00-4:50pm","Tue, Thu","19","15","0","","GFS218"
"","","","","Lecture","39475D","001","12:00-12:50pm","MWF","49","48","0","Guillermo Reyes Souto","VKC102"
"","","","","Discussion","39476D","001","11:00-11:50am","Tue, Thu","19","18","0","","GFS114"
"","","","","Discussion","39477D","001","12:00-12:50pm","Tue, Thu","16","15","0","","GFS114"
"","","","","Discussion","39478D","001","1:00-1:50pm","Tue, Thu","17","15","0","","GFS114"
"","","","","Lecture","39479D","001","12:00-12:50pm","MWF","52","52","0","Anthony Suen","WPH B28"
"","","","","Discussion","39480D","001","2:00-2:50pm","Tue, Thu","19","18","0","","GFS201"
"","","","","Discussion","39481D","001","3:00-3:50pm","Tue, Thu","16","16","0","","GFS201"
"","","","","Discussion","39482D","001","4:00-4:50pm","Tue, Thu","19","18","0","","GFS201"
"","","","","Lecture","39483D","001","1:00-1:50pm","MWF","52","52","0","Ricardo Mancera","ZHS163"
"","","","","Discussion","39484D","001","11:00-11:50am","Tue, Thu","20","18","0","","GFS113"
"","","","","Discussion","39485D","001","12:00-12:50pm","Tue, Thu","16","13","0","","GFS113"
"","","","","Discussion","39486D","001","1:00-1:50pm","Tue, Thu","21","21","0","","GFS113"
