"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MDA-100c","Introduction to the Health Professions","","1.0 unit","Lecture-Discussion","42202D","001","2:00-4:00pm","Friday","45","2","0","","VKC100"
"MDA-100d","Introduction to the Health Professions","","1.0 unit","Lecture-Discussion","42203D","001","2:00-4:00pm","Friday","45","11","0","Kenneth Geller","VKC100"
"MDA-110","Contemporary Issues and Cases in Health Care","","2.0 units","Lecture","42205R","001","10:00-11:50am","Friday","50","32","0","Kenneth Geller","THH210"
"MDA-250","Internship for Liberal Arts: Work and Career -- Theory and Practice","","1.0-2.0 units, max 4","Lecture","42289D","001","3:30-5:30pm","Tuesday","45","13","0","Alicia Chavez","VKC261"
"MDA-450","Individual Program of Study","C","4.0-18.0 units, max 18"
"","Tba","","4.0-18.0","Lecture","42250D","001","TBA","TBA","10","0","0","","TBA"
"MDA-460","Collaborative Learning Project","C","4.0-8.0 units, max 8"
"","Tba","","4.0-8.0","Lecture","42260D","001","TBA","TBA","10","0","0","","TBA"
"MDA-490x","Directed Research","","2.0-4.0 units, max 8","Lecture","42270D","001","TBA","TBA","10","2","0","Lawrence Green","TBA"
"MDA-494","Directed Creative Project","C","2.0-4.0 units, max 4","Lecture","42280D","001","TBA","TBA","11","11","0","Lawrence Green","OFFICE"
"MDA-501","Introduction to Visual Studies: Methods and Debates","C","4.0 units","Lecture","42296D","001","2:00-4:50pm","Thursday","20","20","0","Akira Lippit","THH B10"
"MDA-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
