"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MDES-120","Persian I","","4.0 units","Lecture","41501D","001","11:00-11:50am","MTuWTh","19","8","0","Peyman Nojoumian","THH107"
"MDES-122","Arabic I","","4.0 units","Lecture","41505D","001","10:00-10:50am","MTuWThF","19","9","0","Karim Ali","THH109"
"","","","","Lecture","41507D","001","1:00-1:50pm","MTuWThF","19","8","0","Karim Ali","THH107"
"MDES-150","Persian II","P","4.0 units","Lecture","41509R","001","10:00-10:50am","MTuWTh","19","3","0","Peyman Nojoumian","WPH400"
"MDES-152","Arabic II","P","4.0 units","Lecture","41513R","001","11:00-11:50am","MTuWThF","18","5","0","Sozan Wali","WPH200"
"","","","","Lecture","41515R","001","1:00-1:50pm","MTuWThF","19","8","0","Sozan Wali","WPH204"
"MDES-180g","The Middle East","","4.0 units","Lecture","36970D","001","9:30-10:50am","Tue, Thu","50","40","0","Ramzi Rouighi","VKC150"
"","","","","Discussion","36971R","001","9:00-9:50am","Friday","25","20","0","Hamish Cameron","VKC154"
"","","","","Discussion","36972R","001","10:00-10:50am","Friday","25","20","0","Hamish Cameron","VKC154"
"MDES-220","Persian III","P","4.0 units","Lecture","41517R","001","12:00-12:50pm","MTuWTh","19","9","0","Peyman Nojoumian","THH107"
"MDES-222","Arabic III","P","4.0 units","Lecture","41521R","001","10:00-10:50am","MTuWThF","10","0","0","Lina Kholaki",""
"","","","","Lecture","41523R","001","11:00-11:50am","MTuWThF","19","12","0","Lina Kholaki","VKC108"
"MDES-250","Persian IV","P","4.0 units","Lecture","41525R","001","1:00-1:50pm","MTuWTh","19","0","0","Peyman Nojoumian",""
"MDES-252","Arabic IV","P","4.0 units","Lecture","41529R","001","9:00-9:50am","MTuWThF","19","2","0","Karim Ali","THH109"
"MDES-312","Iran in the Middle Ages","","4.0 units","Lecture","41531R","001","9:30-10:50am","Tue, Thu","19","4","0","Hani Khafipour","THH111"
"MDES-313","Modern Iran","","4.0 units","Lecture-Discussion","41532R","001","10:00-11:50am","Mon, Wed","20","4","0","Hani Khafipour","MRF206"
"MDES-320","Advanced Persian I","P","4.0 units","Lecture","41533R","001","9:00-9:50am","MTuWTh","19","2","0","Peyman Nojoumian","VKC103"
"MDES-322","Advanced Arabic I","P","4.0 units","Lecture","41535R","001","9:00-9:50am","MTuWThF","19","0","0","Lina Kholaki",""
"MDES-333","Colloquial Arabic: Regional Dialects","P","4.0 units, max 16","Lecture","41539R","001","1:00-1:50pm","MTuWThF","19","4","0","Lina Kholaki","WPH200"
"MDES-384","Popular Culture in the Middle East","","4.0 units","Lecture","37101D","001","2:00-4:50pm","Monday","25","8","0","Sarah Gualtieri","VKC205"
"","","","","Lecture","37118R","001","10:00-11:50am","Mon, Wed","25","0","0","Sarah Gualtieri",""
"MDES-480","Seminar in Middle East History","","4.0 units","Lecture","37142D","001","12:30-1:50pm","Tue, Thu","15","3","0","Ramzi Rouighi","THH111"
"MDES-490","Directed Research","","1.0-8.0 units, max 12","Lecture","41549D","001","TBA","TBA","3","1","0","Ramzi Rouighi","OFFICE"
