"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MEDS-220","Preparation for the Clinical Experience","","2.0 units","Lecture","41402R","001","12:00-1:50pm","Friday","150","101","0","Stuart Swadron","THH202"
"MEDS-320","Clinical Perspectives on Human Anatomy","P","4.0 units","Lecture","41406D","001","2:00-3:50pm","Tue, Thu","41","40","0","Michael Habib","VKC260"
"MEDS-335","Human Development: From Stem to Sternum","P","2.0 units","Lecture","41444R","001","10:00-11:50am","Friday","30","0","0","Neil Segil",""
"MEDS-350","Drugs and the Brain","P","2.0 units","Lecture","41434R","001","10:00-11:50am","Monday","30","29","0","Sean Nordt, Cyrus Rangan","LVL13"
"MEDS-360","Current Research Approaches to Biomedical Problems","P","2.0 units","Lecture","41412R","001","3:30-5:10pm","Monday","30","18","0","Omid Akbari","WPH106"
"MEDS-370","Organ Failure: Non-Communicable Chronic Disease","P","2.0 units","Lecture","41438R","001","10:00-11:50am","Friday","40","17","0","Stuart Swadron","THH214"
"MEDS-425","Medical Examiner-Coroner: Investigating Death","PC","2.0 units","Lecture","41440R","001","10:00-11:50am","Friday","20","8","0","","VKC110"
"MEDS-460","Emergency Health Care","P","2.0 units","Lecture","41426R","001","12:00-1:50pm","Wednesday","30","11","0","Madhu Hardasmalani","THH111"
"MEDS-490","Directed Research in Biomedical Science","P","1.0-8.0 units, max 12","Lecture","41414D","001","3:00-5:00pm","Friday","30","26","0","Joyce Richey, Stuart Swadron","THH110"
"","","","","Lecture","41416D","001","3:00-6:00pm","Friday","21","19","0","Danica Liberman, Vincent Wang","OFF CAMPUS"
"","","","","Lecture","41436D","001","TBA","TBA","10","0","0","","TBA"
"MEDS-500","Basic Concepts in Global Health","","4.0 units","Lecture","41396D","046","3:00-4:50pm","Tue, Thu","95","92","0","Alejandro Sanchez","MCH256"
"MEDS-503L","Core Principles System I","","4.0 units","Lecture","41394D","046","TBA","TBA","60","0","0","Paul Holtom","TBA"
"","","","","Lecture-Lab","41404D","046","TBA","TBA","75","62","0","Paul Holtom","TBA"
"MEDS-504L","Core Principles System II","P","4.0 units","Lecture","41397D","046","TBA","TBA","60","0","0","Paul Holtom","TBA"
"","","","","Lecture-Lab","41409D","046","TBA","TBA","75","62","0","Paul Holtom","TBA"
"MEDS-511","Global Health Modules, Tuberculosis","","2.0 units","Lecture","41369D","046","1:00-2:50pm","Monday","50","42","0","Paul Holtom","MCH156"
"MEDS-514","Global Health Modules, Tropical Disease","","2.0 units","Lecture","41392D","046","3:00-4:50pm","Friday","45","0","0","Alejandro Sanchez",""
"MEDS-516","Cultural Competence in Health and Medicine","","2.0 units","Lecture","41393D","046","1:00-2:50pm","Tuesday","26","21","0","Donna Elliott","MCH256"
"MEDS-519","Global Oral Health","M","2.0 units","Lecture","41366D","046","10:00-11:50am","Tuesday","40","17","0","Daniel Khorshad","MCH156"
"MEDS-528","Global Health Modules, Sexually Transmitted Infections","","2.0 units","Lecture","41446D","001","9:00-10:50am","Friday","30","19","0","Panayiota Courelli",""
"MEDS-530a","Foundation of Medicine: Anatomy, Physiology, and Pathology","","4.0 units","Lecture","41395D","046","8:00-9:50am","Monday","40","33","0","Monica Ferrini, Jorge Artaza</a>","MCH156, MCH156"
"MEDS-530c","Foundation of Medicine: Anatomy, Physiology, and Pathology","P","4.0 units","Lecture","41449D","001","9:00-10:50am","Monday","40","0","0","Jorge Artaza","MCH149, HASTINGS"
"MEDS-590","Directed Research","","1.0-12.0 units, max 12","Lecture","41398D","046","TBA","TBA","10","6","0","Elahe Nezami","TBA"
"MEDS-597a","Health Technology Internship","","1.0 unit","Lecture","41427D","001","TBA","TBA","5","2","0","Elahe Nezami","TBA"
"MEDS-599","Special Topics","","2.0-4.0 units, max 8"
"","Future Medicine","","2.0","Lecture","41380D","046","10:00-11:50am","Wednesday","35","0","0","","MCH156"
