"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MICB-502","Molecular and Cellular Immunology","P","2.0 units, max 8","Lecture","40702D","001","1:00-2:50pm","Wednesday","30","8","0","Randy Depaolo",""
"MICB-504","Molecular Biology of Cancer","","4.0 units","Lecture","40657D","046","3:00-4:50pm","Mon, Wed","40","17","0","Joseph Landolph, Gerhard Coetzee, Louis Dubeau, Darryl Shibata, Fredrick Schumacher, Anton Valouev, Wange Lu, Christina Curtis, Judd Rice, Ite Laird, Gangning Liang, James Knowles, Muller Fabbri, Axel Schonthal, Florence Hofman, Baruch Frenkel, Amir Goldkorn, Graham Casey, Wijbe Kast, Young-Kwon Hong, Ruchi Bajpai",""
"MICB-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-11:00am","Tue, Thu","90","52","0","Axel Schonthal, Wei Li, Qilong Ying, Bangyan Stiles, Chengyu Liang, Robert Chow, Ralf Langen, Austin Mircheff, Reymundo Dominguez, Curtis Okamoto, Yves Declerck, Steve Swenson, Randall Widelitz, Cheng-Ming Chuong, Tai-Lan Tuan, Pinghui Feng, Amir Goldkorn","MCH256"
"MICB-560","Recent Advances in Microbiology","","1.0 units, max 6","Lecture","40715D","046","11:00-11:50am","Wednesday","50","0","0","Axel Schonthal","OFFICE"
"MICB-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"MICB-570","Microbiology Research Seminar","MC","1.0 units, max 10","Lecture","40736D","046","TBA","TBA","25","15","0","Axel Schonthal","OFFICE"
"","","","","Lecture","40742D","046","TBA","TBA","25","0","0","Axel Schonthal","OFFICE"
"MICB-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"MICB-572","Systems Physiology and Disease I","MC","4.0 units","Lecture","40673D","046","1:00-3:00pm","Mon, Thu","46","24","0","Herbert Meiselman, Robert Farley, Ray Matthews, E Schroeder, Harvey Kaslow, Michael Bowdish, Thomas Keens, Janos Peti Peterdi, Jang-Hyun Youn, Beiyun Zhou, John Wood, Michael Fong, Sanjeev Kumar, Laura Perin","MCH256"
"MICB-590","Directed Research","","1.0-12.0 units","Lecture","40800D","046","TBA","TBA","50","7","0","Axel Schonthal","OFFICE"
"MICB-594a","Master's Thesis","C","2.0 units","Lecture","40803D","046","TBA","TBA","50","9","0","Axel Schonthal, Jae Jung","OFFICE"
"MICB-594b","Master's Thesis","PC","2.0 units","Lecture","40810D","046","TBA","TBA","50","1","0","Axel Schonthal, Jae Jung","OFFICE"
"MICB-594z","Master's Thesis","PC","0.0 units","Lecture","40815D","046","TBA","TBA","50","2","0","Axel Schonthal, Jae Jung","OFFICE"
