"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MKT-402","Research Skills for Marketing Insights","P","4.0 units","Lecture","16508R","001","10:00-11:50am","Tue, Thu","35","32","0","Valerie Folkes","HOH421"
"","","","","Lecture","16510R","001","2:00-3:50pm","Tue, Thu","40","23","0","Valerie Folkes","HOH421"
"MKT-405","Advertising and Promotion Management","PC","4.0 units","Lecture","16470R","001","12:00-1:50pm","Mon, Wed","48","44","0","Lisa Cavanaugh","HOH303"
"","","","","Lecture","16472R","001","2:00-3:50pm","Mon, Wed","48","45","0","Lisa Cavanaugh","HOH303"
"","","","","Lecture","16474D","001","4:00-5:50pm","Mon, Wed","47","45","0","Hank Wasiak","HOH304"
"MKT-410","Professional Selling","PC","4.0 units","Lecture","16476R","001","12:00-1:50pm","Tue, Thu","45","43","0","Gary Hankins","HOH421"
"MKT-425","Direct Response and Internet Marketing","P","4.0 units","Lecture","16480R","001","12:00-1:50pm","Tue, Thu","40","40","0","Dina Mayzlin","HOH304"
"MKT-440","Marketing Analysis and Strategy","PC","4.0 units","Lecture","16488R","001","8:00-9:50am","Mon, Wed","1","0","0","Gary Frazier",""
"MKT-445","New Product Development and Branding","P","4.0 units","Lecture","16492R","001","2:00-3:50pm","Tue, Thu","40","38","0","Therese Wilbur","HOH305"
"","","","","Lecture","16494R","001","10:00-11:50am","Mon, Wed","45","44","0","Therese Wilbur","HOH304"
"","","","","Lecture","16496R","001","12:00-1:50pm","Tue, Thu","40","39","0","Therese Wilbur","BRI5"
"MKT-450","Consumer Behavior and Marketing","","4.0 units","Lecture","16498R","001","12:00-1:50pm","Mon, Wed","47","47","0","Kristin Diehl","ACC201"
"","","","","Lecture","16500R","001","2:00-3:50pm","Mon, Wed","47","46","0","Kristin Diehl","ACC201"
"","","","","Lecture","16502R","001","6:00-7:50pm","Tue, Thu","47","47","0","Gene Delvecchio","ACC310"
"MKT-465","Global Marketing Management","PC","4.0 units","Lecture","16504R","001","12:00-1:50pm","Mon, Wed","40","39","0","Dennis Schorr","BRI5"
"","","","","Lecture","16506R","001","4:00-5:50pm","Mon, Wed","30","30","0","Dennis Schorr","HOH415"
"MKT-512","Marketing and Consumer Research","PC","3.0 units","Lecture","16522R","033","3:30-4:50pm","Tue, Thu","54","15","0","Dina Mayzlin","JKP210"
"MKT-525","Consumer Behavior","PC","3.0 units","Lecture","16524R","033","6:30-9:30pm","Tuesday","54","34","0","Kristin Diehl","JKP212"
"","","","","Lecture","16525R","033","12:30-1:50pm","Tue, Thu","56","56","0","Dennis Rook","JKP212"
"MKT-526","Advertising and Promotion Strategy","PC","3.0 units","Lecture","16526R","033","3:30-4:50pm","Mon, Wed","54","33","1","Gerard Tellis","JKP210"
"MKT-528","Sales Management: The Art and Science of Sales","PC","3.0 units","Lecture","16528R","033","6:30-9:30pm","Thursday","54","48","0","Steven Martin","JKP104"
"MKT-530","New Product Development","PC","3.0 units","Lecture","16530R","033","6:30-9:30pm","Wednesday","54","42","0","Dennis Rook","JKP104"
"","","","","Lecture","16531R","033","5:00-6:20pm","Tue, Thu","52","15","0","Dennis Rook","JKP102"
"MKT-536","Pricing Strategies","PC","3.0 units","Lecture","16534D","033","6:30-9:30pm","Monday","48","35","0","Shantanu Dutta","ACC310"
"MKT-556","Internet Marketing","P","3.0 units","Lecture","16543R","033","12:30-1:50pm","Mon, Wed","54","33","0","Hank Wasiak","JKP104"
"MKT-590","Directed Research","","1.0-12.0 units","Lecture","16554D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-592","Field Research in Marketing","C","0.5-4.0 units, max 12","Lecture","16555D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-593","Independent Research in Marketing","C","0.5-4.0 units, max 12","Lecture","16556D","033","TBA","TBA","10","1","0","Gary Frazier, Dina Mayzlin","OFFICE"
"MKT-595","Internship in Marketing","MC","0.5-2.0 units, max 9","Lecture","16557D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-596","Research Practicum in Marketing","C","0.5-2.0 units, max 8","Lecture","16559D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-597","Consulting Project in Marketing","C","0.5-5.0 units, max 12","Lecture","16558D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-613","Marketing Models in Consumer and Business-to-Business Markets","MC","3.0 units","Lecture","16574R","036","1:00-3:50pm","Wednesday","15","8","0","Anthony Dukes, Shantanu Dutta","HOH706"
