"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MOR-252","The Art of Case Analysis and Presentation","","2.0 units","Lecture","15155R","001","10:00-11:50am","Friday","32","24","0","Michael Coombs","HOH302"
"MOR-461","Design of Effective Organizations","P","4.0 units","Lecture","16666R","001","12:00-1:50pm","Tue, Thu","32","29","0","Robert Turrill","ACC236"
"MOR-462","Management Consulting","","4.0 units","Lecture","16668R","001","2:00-3:50pm","Tue, Thu","40","38","0","Terance Wolfe","BRI5"
"","","","","Lecture","16669R","001","6:00-7:50pm","Mon, Wed","43","42","0","Michael Mische","HOH304"
"MOR-469","Negotiation and Persuasion","","4.0 units","Lecture","16671R","001","2:00-3:50pm","Tue, Thu","48","43","0","Michael Coombs","HOH303"
"","","","","Lecture","16672R","001","4:00-5:50pm","Tue, Thu","48","41","0","Michael Coombs","HOH303"
"MOR-470","Global Leadership","","4.0 units","Lecture","16673R","001","4:00-5:50pm","Mon, Wed","40","39","0","Quentin Fleming","BRI5"
"MOR-471","Managing and Developing People","","4.0 units","Lecture","16674R","001","12:00-1:50pm","Mon, Wed","39","32","0","Michael Coombs","ACC236"
"MOR-472","Power, Politics and Influence","","4.0 units","Lecture","16675R","001","4:00-5:50pm","Mon, Wed","35","29","0","Robert Turrill","ACC236"
"MOR-492","Global Strategy","","4.0 units","Lecture","16677R","001","2:00-3:50pm","Mon, Wed","55","51","0","Carl Voigt","JKP104"
"","","","","Lecture","16678R","001","4:00-5:50pm","Mon, Wed","55","42","0","Carl Voigt","JKP104"
"MOR-542","Strategic Issues for Global Business","MC","3.0 units","Lecture","16692R","033","5:00-6:20pm","Tue, Thu","54","21","0","Terance Wolfe","JKP202"
"MOR-554","Leading Innovation and Change","MC","3.0 units","Lecture","16700R","033","12:30-1:50pm","Mon, Wed","48","28","0","Terance Wolfe","JKP212"
"MOR-557","Strategy and Organization Consulting","MC","3.0 units","Lecture","16694R","033","6:30-9:30pm","Wednesday","52","45","0","Timothy Clark","HOH1"
"MOR-559","Strategic Renewal and Transformation","MC","3.0 units","Lecture","16696R","033","6:30-9:30pm","Tuesday","44","40","0","Michael Mische","JKP204"
"MOR-561","Strategies in High-Tech Businesses","MC","3.0 units","Lecture","16698R","033","6:30-9:30pm","Wednesday","54","26","0","Robert Goren","JKP204"
"MOR-562","Strategic Choice and Valuation Analysis","MC","3.0 units","Lecture","16704R","033","6:30-9:30pm","Monday","46","44","0","Carl Voigt","JKP104"
"MOR-569","Negotiation and Deal-Making","MC","3.0 units","Lecture","16701D","033","9:00-12:00pm","Friday","54","16","0","Peter Kim","JKP202"
"","","","","Lecture","16703R","033","6:30-9:30pm","Tuesday","52","35","0","Michael Coombs","JKP110"
"","","","","Lecture","16705R","033","6:30-9:30pm","Thursday","54","46","1","Peter Kim","JKP112"
"MOR-571","Leadership and Executive Development","MC","3.0 units","Lecture","16706R","033","6:30-9:30pm","Monday","54","52","1","Morgan Mc Call","JKP204"
"","","","","Lecture","16707R","033","2:00-3:20pm","Mon, Wed","56","54","2","Morgan Mc Call","JKP210"
"MOR-572","Leadership and Self-Management","MC","3.0 units","Lecture","16716R","033","6:30-9:30pm","Wednesday","52","49","0","Chris Bresnahan","JKP102"
"MOR-579","The Business of Sports Entertainment","MC","3.0 units","Lecture","16708R","033","6:30-9:30pm","Thursday","46","29","0","David Carter","JKP102"
"MOR-590","Directed Research","","1.0-12.0 units","Lecture","16710D","033","TBA","TBA","10","0","0","Thomas Cummings","OFFICE"
"MOR-592","Field Research in Management and Organization","C","0.5-4.0 units, max 12","Lecture","16733D","476","TBA","TBA","40","20","0","Carl Voigt","OFFICE"
"","","","","Lecture","16734D","476","TBA","TBA","40","38","0","Carl Voigt","OFFICE"
"","","","","Lecture","16735D","033","TBA","TBA","15","0","0","Thomas Cummings","OFFICE"
"MOR-593","Independent Research in Management and Organization","C","1.0-0.5 units, max 12","Lecture","16736D","033","TBA","TBA","15","1","0","Thomas Cummings, Michael Mische","OFFICE"
"MOR-595","Internship in Management and Organization","MC","0.5-2.0 units, max 9","Lecture","16737D","033","TBA","TBA","15","0","0","Thomas Cummings","OFFICE"
"MOR-596","Research Practicum in Management and Organization","C","0.5-2.0 units, max 8","Lecture","16738D","033","TBA","TBA","15","0","0","Thomas Cummings","OFFICE"
"MOR-597","Consulting Project in Management and Organization","C","1.5-5.0 units, max 12","Lecture","16712D","033","TBA","TBA","15","0","0","Thomas Cummings","OFFICE"
"","","","","Lecture","16715D","033","TBA","TBA","20","11","0","Thomas Cummings","OFFICE"
"MOR-599","Special Topics","MC","1.0-3.0 units, max 9"
"","Corporate Governance","","3.0","Lecture","16726R","033","3:30-4:50pm","Tue, Thu","36","14","0","Judith Blumenthal","JKP102"
"MOR-601","Seminar in Organizational Behavior","MC","3.0 units","Lecture","16792D","036","2:00-4:50pm","Friday","12","12","0","Peter Kim","HOH506"
"MOR-602","Seminar in Organization Theory","MC","3.0 units","Lecture","16793R","036","1:30-4:20pm","Tuesday","12","12","0","Peer Fiss","HOH706"
