"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPTX-502","Pharmacology","","4.0 units","Lecture","48902D","005","TBA","Monday","30","18","0","Enrique Cadenas, Bogdan Olenyuk","OFFICE, OFFICE"
"MPTX-511","Introduction to Medical Product Regulation","","3.0 units","Lecture","48811D","695","TBA","TBA","50","31","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"MPTX-513","Regulation of Medical Devices and Diagnostics","","3.0 units","Lecture","48813D","695","TBA","TBA","50","44","0","Frances Richmond, Eunjoo Pacifici, Enid Rokaw-Carsey, Michael Jamieson","OFFICE"
"MPTX-515","Quality Systems and Standards","","3.0 units","Lecture","48814D","892","TBA","TBA","50","20","0","Frances Richmond, Eunjoo Pacifici, Enid Rokaw-Carsey, Michael Jamieson","OFFICE"
"","","","","Lecture","48815D","695","TBA","TBA","50","3","0","Frances Richmond, Eunjoo Pacifici, Enid Rokaw-Carsey, Michael Jamieson","OFFICE"
"MPTX-516","Medical Products and the Law","","3.0 units","Lecture","48816D","695","TBA","TBA","50","34","0","Frances Richmond, Eunjoo Pacifici, Kellie Moore, Michael Jamieson","OFFICE"
"MPTX-517","Structure and Management of Clinical Trials","","4.0 units","Lecture","48817D","695","TBA","TBA","50","26","0","Frances Richmond, Eunjoo Pacifici, Nancy Pire-Smerkanich, Michael Jamieson","OFFICE"
"MPTX-518","Writing Regulatory Drug Submissions","","3.0 units","Lecture","48818D","892","TBA","TBA","50","10","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson, Nancy Pire-Smerkanich","OFFICE"
"MPTX-526","Chemistry Manufacturing and Controls","","3.0 units","Lecture","48826D","679","TBA","TBA","50","24","0","Frances Richmond, Eunjoo Pacifici, Roger Clemens","OFFICE"
"MPTX-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-11:00am","Tue, Thu","90","52","0","Axel Schonthal, Wei Li, Qilong Ying, Bangyan Stiles, Chengyu Liang, Robert Chow, Ralf Langen, Austin Mircheff, Reymundo Dominguez, Curtis Okamoto, Yves Declerck, Steve Swenson, Randall Widelitz, Cheng-Ming Chuong, Tai-Lan Tuan, Pinghui Feng, Amir Goldkorn","MCH256"
"MPTX-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"MPTX-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"MPTX-572","Systems Physiology and Disease I","MC","4.0 units","Lecture","40673D","046","1:00-3:00pm","Mon, Thu","46","24","0","Herbert Meiselman, Robert Farley, Ray Matthews, E Schroeder, Harvey Kaslow, Michael Bowdish, Thomas Keens, Janos Peti Peterdi, Jang-Hyun Youn, Beiyun Zhou, John Wood, Michael Fong, Sanjeev Kumar, Laura Perin","MCH256"
"MPTX-590","Directed Research","","1.0-12.0 units","Lecture","48900D","005","TBA","TBA","25","0","0","Curtis Okamoto","OFFICE"
"MPTX-594a","Master's Thesis","","2.0 units","Lecture","48904D","005","TBA","TBA","20","3","0","Curtis Okamoto","OFFICE"
"MPTX-594b","Master's Thesis","P","2.0 units","Lecture","48906D","005","TBA","TBA","20","0","0","Curtis Okamoto","OFFICE"
"MPTX-594z","Master's Thesis","P","0.0 units","Lecture","48908D","005","TBA","TBA","20","0","0","Curtis Okamoto","OFFICE"
"MPTX-630","Directed Field-Research Project","M","6.0 units","Lecture","48830D","695","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici","OFFICE"
"MPTX-700","Seminar in Molecular Pharmacology and Toxicology","","1.0 units, max 8","Lecture","48920D","005","12:00-12:50pm","Friday","30","10","0","Roger Duncan, Curtis Okamoto","OFFICE"
"MPTX-790","Research","","1.0-12.0 units","Lecture","48922D","005","TBA","TBA","30","10","0","Curtis Okamoto","OFFICE"
"MPTX-794a","Doctoral Dissertation","C","2.0 units","Lecture","48924D","005","TBA","TBA","20","1","0","Curtis Okamoto","OFFICE"
"MPTX-794b","Doctoral Dissertation","PC","2.0 units","Lecture","48926D","005","TBA","TBA","20","3","0","Curtis Okamoto","OFFICE"
"MPTX-794c","Doctoral Dissertation","PC","2.0 units","Lecture","48928D","005","TBA","TBA","30","4","0","Curtis Okamoto","OFFICE"
"MPTX-794d","Doctoral Dissertation","PC","2.0 units","Lecture","48930D","005","TBA","TBA","20","0","0","Curtis Okamoto","OFFICE"
"MPTX-794z","Doctoral Dissertation","PC","0.0 units","Lecture","48932D","005","TBA","TBA","20","1","0","Curtis Okamoto","OFFICE"
