"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPVA-141","Class Voice","","2.0 units, max 4","Lecture","46300R","001","2:00-3:50pm","Monday","20","14","0","Ken Cazan","MUS213"
"","","","","Lecture","46305R","001","2:00-3:50pm","Tuesday","20","13","0","Ken Cazan","MUS213"
"","","","","Lecture","46310R","001","2:00-3:50pm","Wednesday","20","11","0","Ken Cazan","MUS213"
"","","","","Lecture","46315R","001","2:00-3:50pm","Friday","20","13","0","Ken Cazan","MUS213"
"MPVA-153","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46320D","001","TBA","TBA","25","6","0","Ken Cazan","RHM112"
"MPVA-203a","Acting for Singers","","2.0 units","Lecture","46325D","001","12:00-1:50pm","Monday","20","4","0","Ken Cazan","BMH100"
"MPVA-241","Intermediate Class Voice","P","2.0 units, max 4","Lecture","46335R","001","2:00-3:50pm","Wednesday","12","2","0","Ken Cazan","MUS204"
"MPVA-253","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46340D","001","TBA","TBA","25","5","0","Ken Cazan","RHM112"
"MPVA-300x","Non-Major Individual Instruction","","1.0-2.0 units, max 16"
"","Voice","","1.0-2.0","Lecture","46346D","001","TBA","TBA","65","55","0","Ken Cazan","RHM112"
"MPVA-301","Individual Instruction","M","1.0-2.0 units, max 16"
"","Vocal Coaching","","1.0-2.0","Lecture","46350D","001","TBA","TBA","20","10","0","Ken Cazan","RHM112"
"","Voice","","1.0-2.0","Lecture","46351D","001","TBA","TBA","50","24","0","Ken Cazan","RHM112"
"","Choral","","1.0-2.0","Lecture","46353D","001","TBA","TBA","30","17","0","Jo-Michael Scheibe","MUS416"
"MPVA-353","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46355D","001","TBA","TBA","20","5","0","Ken Cazan","RHM112"
"MPVA-402","Musical Theatre Workshop","","2.0 units, max 8","Lecture","46375D","001","2:00-3:50pm","Tue, Thu","20","8","0","Parmer Fuller","RHM112"
"","","","","Lecture","46376D","001","2:00-3:50pm","Mon, Wed","20","10","0","Parmer Fuller","RHM112"
"MPVA-403","Acting for Singers II","","2.0 units, max 8","Lecture","46385D","001","12:00-1:50pm","Wednesday","20","12","0","Ken Cazan","BMH100"
"MPVA-404","Word and Music in Opera","","2.0 units, max 8","Lecture","46390D","001","12:00-1:50pm","Wednesday","12","12","0","Brent McMunn","MUS102B"
"MPVA-405","USC Opera","","2.0 units, max 12","Lecture","46395D","001","4:00-10:50pm","MWF","40","15","0","Brent McMunn, Ken Cazan","MUS105, MUS105"
"MPVA-407","Directing for the Operatic Stage","","2.0 units, max 8","Lecture","46405D","001","TBA","TBA","10","0","0","Ken Cazan","RHM112"
"MPVA-438","Vocal Pedagogy","","2.0 units","Lecture","46410D","001","8:00-9:50am","Thursday","20","14","0","Barbara Dyer","UUC B3"
"MPVA-440","Italian and French Diction","","2.0 units","Lecture","46416D","001","12:00-1:50pm","Monday","20","7","0","Lisa Sylvester","MUS204"
"MPVA-442","Introduction to the International Phonetic Alphabet","","2.0 units","Lecture","46420D","001","12:00-1:50pm","Thursday","12","2","0","Lisa Sylvester","UUC B2"
"MPVA-443","Cantata and Oratorio","","2.0 units","Lecture","46425D","001","10:00-11:50am","Friday","12","10","0","Tram Sparks","MUS208"
"MPVA-453","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46435D","001","TBA","TBA","20","10","0","Ken Cazan","RHM112"
"MPVA-479","Song Literature","","2.0 units, max 4","Lecture","46440D","001","10:00-11:50am","Friday","19","13","0","Lisa Sylvester","MUS319"
"MPVA-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","46445D","001","TBA","TBA","10","0","0","Ken Cazan","RHM112"
"MPVA-501","Individual Instruction","","1.0-2.0 units, max 8"
"","Vocal Coaching","","1.0-2.0","Lecture","46455D","001","TBA","TBA","20","5","0","Ken Cazan","RHM112"
"","Voice","","1.0-2.0","Lecture","46460D","001","TBA","TBA","30","1","0","Ken Cazan","RHM112"
"","Choral","","1.0-2.0","Lecture","46462D","001","TBA","TBA","25","17","0","Jo-Michael Scheibe","MUS416"
"MPVA-553","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46485D","001","TBA","TBA","40","22","0","Ken Cazan","RHM112"
"MPVA-554","Graduate Certificate Performance","","4.0 units, max 16","Lecture","46487D","001","TBA","TBA","20","3","0","Ken Cazan","RHM112"
"MPVA-590","Directed Research","","1.0-12.0 units","Lecture","46490D","001","TBA","TBA","20","0","0","Ken Cazan","RHM112"
"MPVA-599","Special Topics","","2.0-4.0 units, max 8"
"","Italian Diction","","2.0","Lecture","46498D","001","10:00-11:50am","Thursday","25","10","0","David Wilkinson","MUS213"
"MPVA-653","Individual Instruction","","1.0-2.0 units, max 12"
"","Voice","","1.0-2.0","Lecture","46505D","001","TBA","TBA","20","6","0","Ken Cazan","RHM112"
"MPVA-790","Research","","1.0-12.0 units","Lecture","46520D","001","TBA","TBA","10","3","0","Ken Cazan","RHM112"
