"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPW-512","Writer's Marketplace","","3.0 units","Lecture","39204D","001","7:00-9:40pm","Monday","10","3","0","Gina Nahai","WPH200"
"MPW-526","Writing the Review","","1.0 units, max 3","Lecture","39210D","239","4:00-6:15pm","Thursday","6","6","0","Dinah Lenney","WPH200"
"MPW-527","Mash-Ups: New Ways to Tell Stories","","1.0 units, max 3"
"","Writing the City","","1.0","Lecture","39211D","240","4:00-6:15pm","Tuesday","6","5","0","David Ulin","OFFICE"
"MPW-537","Fiction Writing Workshop","","3.0 units, max 9"
"","The Novel","","3.0","Lecture","39213D","001","7:00-9:40pm","Tuesday","8","7","0","Gina Nahai","WPH200"
"","The Narrative Engine","","3.0","Lecture","39214D","001","4:00-6:40pm","Wednesday","8","8","0","Richard Rayner","WPH200"
"MPW-538","Approaches to Writing the Novel","","1.0 units, max 3","Lecture","39219D","242","4:00-6:15pm","Thursday","6","3","0","M Lord","WPH200"
"MPW-545","Memoir Writing","","3.0 units, max 6","Lecture","39225D","001","7:00-9:40pm","Thursday","8","6","0","Dinah Lenney","WPH200"
"MPW-546","The Personal Essay","","3.0 units, max 6","Lecture","39226D","001","4:00-6:40pm","Tuesday","8","8","0","M Lord","WPH200"
"MPW-554","Poetry Hybrids","","3.0 units, max 6"
"","Poets and Their Influences","","3.0","Lecture","39229D","001","7:00-9:40pm","Wednesday","6","6","0","Brighde Mullins","THH105"
"MPW-561","Writing for Stage and Screen","","3.0 units, max 6","Lecture","39232D","001","7:00-9:40pm","Tuesday","8","8","0","Prince Gomolvilas","THH211"
"MPW-567","Screenplay Workshop","","3.0 units, max 6","Lecture","39235D","001","4:00-6:40pm","Monday","8","8","0","Tim Kirkman","WPH200"
"MPW-585","Seminar in Professional Writing","","1.0-3.0 units, max 6"
"","Screenplay as Memoir","","1.0","Lecture","39245D","362","7:00-9:15pm","Monday","7","7","0","Tim Kirkman","WPH400"
"MPW-589","Internship: Writers in the Field","","1.0-3.0 units, max 3","Lecture","39240D","001","TBA","TBA","5","0","0","M Lord","OFFICE"
"","","","","Lecture","39241D","001","TBA","TBA","5","1","0","M Lord","OFFICE"
"","","","","Lecture","39242D","001","TBA","TBA","5","1","0","Prince Gomolvilas","OFFICE"
"MPW-590","Directed Research","","1.0-3.0 units, max 9","Lecture","39243D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39244D","001","TBA","TBA","3","0","0","","OFFICE"
"MPW-592a","Professional Writing Project","","3.0 units","Lecture","39246D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39247D","001","TBA","TBA","3","2","0","Prince Gomolvilas","OFFICE"
"","","","","Lecture","39248D","001","TBA","TBA","3","2","0","Tim Kirkman","OFFICE"
"","","","","Lecture","39249D","001","TBA","TBA","3","2","0","Dinah Lenney","OFFICE"
"","","","","Lecture","39250D","001","TBA","TBA","3","1","0","M Lord","OFFICE"
"","","","","Lecture","39251D","001","TBA","TBA","3","1","0","Brighde Mullins","OFFICE"
"","","","","Lecture","39252D","001","TBA","TBA","3","1","0","Gina Nahai","OFFICE"
"","","","","Lecture","39253D","001","TBA","TBA","7","6","0","Richard Rayner","OFFICE"
"","","","","Lecture","39254D","001","TBA","TBA","3","3","0","David Ulin","OFFICE"
"","","","","Lecture","39255D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39256D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39257D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39258D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39259D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39260D","001","TBA","TBA","3","0","0","","OFFICE"
"MPW-592b","Professional Writing Project","P","3.0 units","Lecture","39261D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39262D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39263D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39264D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39265D","001","TBA","TBA","3","1","0","Dana Goodyear","OFFICE"
"","","","","Lecture","39266D","001","TBA","TBA","3","0","0","Prince Gomolvilas","OFFICE"
"","","","","Lecture","39267D","001","TBA","TBA","3","0","0","Tim Kirkman","OFFICE"
"","","","","Lecture","39268D","001","TBA","TBA","3","1","0","Dinah Lenney","OFFICE"
"","","","","Lecture","39269D","001","TBA","TBA","3","0","0","M Lord","OFFICE"
"","","","","Lecture","39270D","001","TBA","TBA","3","1","0","Brighde Mullins","OFFICE"
"","","","","Lecture","39271D","001","TBA","TBA","3","1","0","Gina Nahai","OFFICE"
"","","","","Lecture","39272D","001","TBA","TBA","3","2","0","Richard Rayner","OFFICE"
"","","","","Lecture","39273D","001","TBA","TBA","3","1","0","David Ulin","OFFICE"
"","","","","Lecture","39274D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39275D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39276D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39277D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39278D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39279D","001","TBA","TBA","3","0","0","","OFFICE"
"MPW-592z","Professional Writing Project","P","0.0 units","Lecture","39284D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39285D","001","TBA","TBA","3","0","0","Prince Gomolvilas","OFFICE"
"","","","","Lecture","39286D","001","TBA","TBA","3","1","0","Tim Kirkman","OFFICE"
"","","","","Lecture","39287D","001","TBA","TBA","3","0","0","Dinah Lenney","OFFICE"
"","","","","Lecture","39288D","001","TBA","TBA","3","0","0","M Lord","OFFICE"
"","","","","Lecture","39289D","001","TBA","TBA","3","0","0","Brighde Mullins","OFFICE"
"","","","","Lecture","39290D","001","TBA","TBA","3","1","0","Gina Nahai","OFFICE"
"","","","","Lecture","39291D","001","TBA","TBA","3","0","0","Richard Rayner","OFFICE"
"","","","","Lecture","39292D","001","TBA","TBA","3","0","0","David Ulin","OFFICE"
"","","","","Lecture","39293D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39294D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39295D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39296D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39297D","001","TBA","TBA","3","0","0","","OFFICE"
"","","","","Lecture","39298D","001","TBA","TBA","3","0","0","","OFFICE"
