"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MS-101","Foundations of Officership","","1.0 unit","Lecture","41810R","001","10:00-10:50am","Wednesday","20","11","0","Paul Badillo, Nadir Numan","GFS113"
"","","","","Lab","41812D","001","8:00-9:50am","Friday","90","8","0","Nadir Numan","THH102"
"MS-102","Basic Leadership","","1.0 unit","Lecture","41809R","001","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","41814R","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lab","41813D","001","8:00-9:50am","Friday","50","0","0","","THH102"
"MS-201","Individual Leadership Studies","","2.0 units","Lecture","41821D","001","1:00-1:50pm","Mon, Wed","20","7","0","Nadir Numan","GFS228"
"","","","","Lab","41822D","001","8:00-9:50am","Friday","50","7","0","Nadir Numan","THH102"
"MS-202","Leadership and Teamwork","","2.0 units","Lecture","41823D","001","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lab","41824D","001","8:00-9:50am","Friday","10","0","0","","THH102"
"MS-301","Leadership and Problem Solving","","3.0 units","Lecture","41830D","001","8:30-9:50am","Mon, Wed","20","11","0","David Phillips, Nadir Numan","GFS113"
"","","","","Lab","41835D","001","8:00-9:50am","Friday","40","11","0","Nadir Numan","THH102"
"MS-401","Leadership and Management","","3.0 units","Lecture","41840D","001","8:30-9:50am","Mon, Wed","20","14","0","Justin Chezem, Nadir Numan","GFS221"
"","","","","Lab","41845D","001","8:00-9:50am","Friday","30","14","0","Nadir Numan","THH102"
