"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MTEC-275a","Recording Arts Workshop","M","4.0 units","Lecture-Lab","43400D","001","12:00-1:50pm","Mon, Wed","45","34","0","Richard Mc Ilvery","UUC B2"
"","","","","Lecture-Lab","43401D","001","10:00-11:50am","Mon, Wed","18","17","0","Richard Mc Ilvery","MUS103"
"MTEC-275b","Recording Arts Workshop","PM","4.0 units","Lecture","43405D","001","10:00-11:50am","Tuesday","25","19","0","Andrew Garver","UUC B3"
"","","","","Lab","43406D","001","10:00-11:50am","Thursday","13","11","0","Andrew Garver","MUS103"
"","","","","Lab","43407D","001","12:00-1:50pm","Thursday","12","8","0","Andrew Garver","MUS103"
"MTEC-277x","Introduction to Music Technology","","4.0 units","Lecture","43410R","001","4:00-5:50pm","Tue, Thu","58","41","0","Charles Gutierrez","TMC G156"
"MTEC-301","Individual Instruction","","1.0-2.0 units, max 16","Lecture","43418D","001","TBA","TBA","10","3","0","Isaac Schankler","MUS308"
"","","","","Lecture","43419D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-310","Computer Recording for the Performing Musician","M","2.0 units","Lecture","43425D","001","12:00-1:50pm","Wednesday","20","10","0","Charles Gutierrez","TMC G147"
"","","","","Lecture","43426D","001","12:00-1:50pm","Tuesday","20","18","10","Charles Gutierrez","TMC G147"
"MTEC-311","MIDI Music Production for the Performing Musician","M","2.0 units","Lecture","43427D","001","10:00-11:50am","Thursday","20","8","0","Steve Cunningham","TMC G147"
"MTEC-444","Non-Linear MIDI Sequencing","","2.0 units","Lecture","43458D","001","2:00-3:50pm","Tuesday","20","13","0","Rick Schmunk","TMC G147"
"MTEC-446a","Computer Assisted Recording and Editing","","2.0 units","Lecture","43430D","001","10:00-11:50am","Tuesday","22","21","0","Rick Schmunk","TMC G147"
"","","","","Lecture","43431R","001","2:00-3:50pm","Thursday","21","16","0","Steve Cunningham","TMC G147"
"","","","","Lecture","43432D","001","2:00-3:50pm","Wednesday","22","20","0","Charles Gutierrez","TMC G147"
"MTEC-446b","Computer Assisted Recording and Editing","P","2.0 units","Lecture","43434D","001","4:00-5:50pm","Tuesday","20","18","7","Rick Schmunk","TMC G147"
"MTEC-474a","Electronic Synthesizer Techniques","","2.0-4.0 units","Lecture","43437D","001","12:00-1:50pm","Monday","22","22","3","Steve Cunningham","TMC G147"
"MTEC-477","Remote Recording Techniques","P","2.0 units","Lecture","43459D","001","4:00-5:50pm","Monday","18","0","0","Ted Ancona",""
"MTEC-478","Advanced Multichannel Remix","P","2.0 units","Lecture","43461D","001","7:00-8:50pm","Thursday","18","18","0","Andrew Garver","MUS103"
"MTEC-479","Audio Mastering","P","2.0 units","Lecture","43462D","001","4:00-5:50pm","Thursday","18","17","8","Andrew Garver","MUS103"
"MTEC-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","43460D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-493","Audio Signal Processing Equipment","P","2.0 units","Lecture","43464D","001","7:00-8:50pm","Tuesday","18","12","0","Andrew Garver","MUS103"
"MTEC-501","Individual Instruction","","1.0-2.0 units, max 8","Lecture","43473D","001","TBA","TBA","10","2","0","Isaac Schankler","MUS308"
"","","","","Lecture","43474D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-590","Directed Research","","1.0-12.0 units","Lecture","43482D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-790","Research","","1.0-12.0 units","Lecture","43490D","001","TBA","TBA","10","2","0","Rick Schmunk","TMC118"
