"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUCM-440","Choral Development","","2.0 units","Lecture","42507D","001","11:30-1:20pm","Tuesday","19","10","0","Mike Scheibe","MUS319"
"MUCM-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","42510D","001","TBA","TBA","10","0","0","Jo-Michael Scheibe","MUS416"
"MUCM-541","Choral Literature I","","2.0 units","Lecture","42525D","001","9:30-10:50am","Tue, Thu","15","10","0","Nick Strimple","MUS319"
"MUCM-590","Directed Research","","1.0-12.0 units","Lecture","42540D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"","","","","Lecture","42541D","001","TBA","TBA","10","0","0","Nick Strimple","MUS416"
"","","","","Lecture","42542D","001","TBA","TBA","10","0","0","Cristian Grases","MUS416"
"MUCM-641","Choral Literature III","P","2.0 units","Lecture","42545D","001","9:00-10:50am","Friday","20","7","0","Cristian Grases","TMC G156"
"MUCM-694","Treatise","","2.0 units, max 4","Lecture","42555D","001","TBA","TBA","5","0","0","Mike Scheibe","MUS416"
"MUCM-790","Research","","1.0-12.0 units","Lecture","42560D","001","TBA","TBA","5","0","0","Mike Scheibe","MUS416"
"MUCM-794a","Doctoral Dissertation","","2.0 units","Lecture","42565D","001","TBA","TBA","10","2","0","Mike Scheibe","MUS416"
"MUCM-794b","Doctoral Dissertation","P","2.0 units","Lecture","42569D","001","TBA","TBA","10","3","0","Mike Scheibe","MUS416"
"MUCM-794c","Doctoral Dissertation","P","2.0 units","Lecture","42573D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MUCM-794d","Doctoral Dissertation","P","2.0 units","Lecture","42577D","001","TBA","TBA","10","1","0","Mike Scheibe","MUS416"
"MUCM-794z","Doctoral Dissertation","P","0.0 units","Lecture","42581D","001","TBA","TBA","10","4","0","Mike Scheibe","MUS416"
