"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUCO-101x","Fundamentals of Music Theory","","2.0 units","Lecture","42700R","001","8:00-8:50am","Tue, Thu","25","21","0","Michael Lee","UUC B2"
"MUCO-130ax","Basics of Music Theory","","3.0 units","Lecture","42705D","001","2:00-3:20pm","Mon, Wed","25","21","0","Mark Weiser","MUS102B"
"MUCO-131a","Harmony in Popular Music","P","2.0 units","Lecture","42710D","001","11:00-11:50am","Tue, Thu","28","24","0","Jonathan Patterson","TMC G128"
"MUCO-132a","Aural Skills I","","2.0 units","Lecture","42712D","001","10:00-10:50am","Mon, Wed","24","18","0","Mark Weiser","MUS102B"
"","","","","Lab","42713D","001","10:00-10:50am","Friday","12","8","0","Mark Weiser","MUS102B"
"","","","","Lab","42714D","001","1:00-1:50pm","Friday","12","10","0","Mark Weiser","MUS102B"
"","","","","Lecture","42716D","001","10:00-10:50am","Mon, Wed","24","20","0","Chris Roze","MUS303"
"","","","","Lab","42717D","001","8:00-8:50am","Friday","12","9","0","Chris Roze","MUS102B"
"","","","","Lab","42718D","001","9:00-9:50am","Friday","13","11","0","Chris Roze","MUS102B"
"","","","","Lecture","42720D","001","10:00-10:50am","Mon, Wed","24","21","0","Jeffrey Parola","MUS213"
"","","","","Lab","42721D","001","8:00-8:50am","Friday","12","9","0","Jeffrey Parola","MUS213"
"","","","","Lab","42722D","001","9:00-9:50am","Friday","12","12","0","Jeffrey Parola","MUS213"
"","","","","Lecture","42724D","001","10:00-10:50am","Mon, Wed","24","20","0","Veronika Krausas","MUS204"
"","","","","Lab","42725D","001","10:00-10:50am","Friday","12","11","0","Veronika Krausas","MUS204"
"","","","","Lab","42726D","001","1:00-1:50pm","Friday","12","9","0","Veronika Krausas","MUS204"
"","","","","Lecture","42728D","001","10:00-10:50am","Mon, Wed","24","20","0","Sarah Gibson","TMC G128"
"","","","","Lab","42729D","001","8:00-8:50am","Friday","12","10","0","Sarah Gibson","TMC G128"
"","","","","Lab","42730D","001","9:00-9:50am","Friday","12","10","0","Sarah Gibson","TMC G128"
"MUCO-133a","Theory I","","3.0 units","Lecture","42768D","001","8:00-9:50am","Tue, Thu","24","21","0","Morten Lauridsen","MUS102B"
"","","","","Lecture","42769D","001","8:00-9:50am","Tue, Thu","24","21","0","Jeffrey Parola","MUS213"
"","","","","Lecture","42770D","001","8:00-9:50am","Tue, Thu","26","25","0","Veronika Krausas","MUS204"
"","","","","Lecture","42771D","001","8:00-9:50am","Tue, Thu","24","20","0","Chris Roze","MUS303"
"","","","","Lecture","42772D","001","8:00-9:50am","Tue, Thu","24","22","0","Sarah Gibson","TMC G128"
"MUCO-137a","Introduction to Composition","","2.0 units","Lecture","42789D","001","1:00-1:50pm","Mon, Wed","15","7","0","Edward Hearne","MUS213"
"","","","","Lab","42790D","001","11:00-12:20pm","Friday","15","7","0","Edward Hearne","BMH100"
"MUCO-221ax","Composition for Non-Majors","","2.0 units","Lecture","42796D","001","4:00-5:50pm","Monday","16","8","0","Mark Weiser","MUS213"
"MUCO-232a","Aural Skills II","","2.0 units","Lecture","42801D","001","9:00-9:50am","Mon, Wed","22","20","0","Chris Roze","MUS303"
"","","","","Lab","42802D","001","10:00-10:50am","Friday","11","11","0","Chris Roze","MUS213"
"","","","","Lab","42803D","001","1:00-1:50pm","Friday","11","9","0","Chris Roze","MUS303"
"","","","","Lecture","42805D","001","9:00-9:50am","Mon, Wed","24","22","0","Veronika Krausas","MUS204"
"","","","","Lab","42806D","001","8:00-8:50am","Friday","12","10","0","Veronika Krausas","MUS204"
"","","","","Lab","42807D","001","9:00-9:50am","Friday","12","12","0","Veronika Krausas","MUS204"
"","","","","Lecture","42813D","001","8:00-8:50am","Mon, Wed","14","11","0","Jonathan Patterson","UUC B3"
"","","","","Lab","42814D","001","10:00-10:50am","Friday","7","4","0","Jonathan Patterson","UUC B3"
"","","","","Lab","42815D","001","1:00-1:50pm","Friday","7","7","0","Jonathan Patterson","UUC B3"
"","","","","Lecture","42817D","001","9:00-9:50am","Mon, Wed","14","14","0","Jonathan Patterson","UUC B3"
"","","","","Lab","42818D","001","8:00-8:50am","Friday","7","7","0","Jonathan Patterson","UUC B3"
"","","","","Lab","42819D","001","9:00-9:50am","Friday","7","7","0","Jonathan Patterson","UUC B3"
"MUCO-233a","Theory II","P","3.0 units","Lecture","42854D","001","10:00-11:50am","Tue, Thu","24","23","0","Veronika Krausas","MUS204"
"","","","","Lecture","42856D","001","10:00-11:50am","Tue, Thu","22","20","0","Chris Roze","MUS303"
"MUCO-237a","Composition I","P","4.0 units","Lecture","42880D","001","12:00-1:50pm","Thursday","14","6","0","Andrew Norman","MUS303, MUS308"
"","","","","Lab","42881D","001","11:00-12:20pm","Friday","14","6","0","Andrew Norman","BMH100"
"MUCO-300","Theory Review","","1.0 unit","Lecture","42910D","001","10:00-11:50am","Thursday","25","24","9","Morten Lauridsen","MUS102B"
"MUCO-321","Composition for Non-Majors II","PM","1.0-2.0 units, max 8","Lecture","42916D","001","TBA","TBA","10","1","0","Mark Weiser","MUS308"
"MUCO-333","Aural Skills Review","","1.0 unit","Lecture","42920D","001","10:00-11:50am","Tuesday","20","16","4","Neal Desby","MUS102B"
"","","","","Lecture","42922D","001","4:00-4:50pm","Mon, Wed","17","15","0","Jeffrey Parola","UUC B3"
"MUCO-336a","Orchestration II","P","2.0 units","Lecture","42930D","001","2:00-3:50pm","Thursday","12","11","0","Stephen Hartke","MUS319"
"MUCO-337a","Composition II","P","4.0 units","Lecture","42940D","001","12:00-1:50pm","Wednesday","8","6","0","Frank Ticheli","MUS319, MUS308"
"","","","","Lab","42941D","001","11:00-12:20pm","Friday","8","6","0","Frank Ticheli","BMH100"
"MUCO-338x","Elementary Orchestration","","2.0 units","Lecture","42950D","001","1:00-1:50pm","Tue, Thu","20","13","0","Neal Desby","UUC B3"
"","","","","Lecture","42951D","001","11:00-11:50am","Mon, Wed","20","12","0","Frank Ticheli","MUS102B"
"MUCO-339","Orchestration Review","","1.0 unit","Lecture","42955D","001","5:00-5:50pm","Tue, Thu","20","17","1","Sean Friar","UUC B3"
"MUCO-341","Counterpoint Review","C","1.0 unit","Lecture","42960D","001","3:00-3:50pm","Monday","19","0","0","",""
"MUCO-437a","Composition III","P","2.0 units","Lecture","43015D","001","TBA","TBA","15","11","0","Donald Crockett","MUS308"
"MUCO-437b","Composition III","P","2.0 units","Lecture","43017D","001","TBA","TBA","5","0","0","Donald Crockett","MUS308"
"MUCO-438","Arranging for Marching Band","P","2.0 units","Lecture","43020D","001","TBA","TBA","15","0","0","Anthony Fox","STO B"
"MUCO-440a","Composition for Films and Television","P","2.0 units","Lecture","43030D","001","2:00-3:50pm","Thursday","20","20","0","Jack Smalley","TMC G150"
"MUCO-442a","History of Film Music Scoring","M","2.0 units","Lecture","43040D","001","2:00-3:50pm","Wednesday","20","20","0","Jon Burlingame","TMC G150"
"MUCO-443a","Film Score Analysis and Preparation","","2.0 units","Lecture","43045D","001","10:00-11:50am","Wednesday","20","20","0","Bruce Broughton","TMC G150"
"MUCO-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","43055D","001","TBA","TBA","10","0","0","Donald Crockett","MUS308"
"MUCO-499","Special Topics","","2.0-4.0 units, max 8"
"","Video-Game Music Composition","","2.0","Lecture","43058D","001","10:00-11:50am","Friday","21","19","0","Garry Schyman","TMC G150"
"MUCO-501","Introduction to the Analysis of Tonal Music","","2.0 units","Lecture","43065D","001","12:00-1:50pm","Monday","20","15","0","Mark Weiser","MUS303"
"MUCO-502","Introduction to the Analysis of Post-Tonal Music","","2.0 units","Lecture","43070D","001","4:00-5:50pm","Wednesday","20","17","1","Brian Head","MUS303"
"MUCO-520","Composition Forum","","1.0 units, max 2","Lecture","43077D","001","12:00-1:50pm","Wednesday","20","20","0","Daniel Carlin","TMC G150"
"MUCO-521x","Composition for Non-Majors III","MC","1.0-2.0 units, max 8","Lecture","43079D","001","TBA","TBA","10","9","0","Mark Weiser","MUS308"
"MUCO-522a","Sketching and Scoring for Film and TV","","2.0 units","Lecture","43081D","001","12:00-1:50pm","Tuesday","20","20","0","Eric Schmidt","TMC G150"
"MUCO-523a","Advanced Application of Film Music Technology","","2.0 units","Lecture","43088D","001","12:00-1:50pm","Thursday","20","20","0","Daniel Carlin","TMC G147"
"MUCO-533a","Analytical Approaches to Tonal Music","P","2.0 units","Lecture","43095D","001","10:00-11:50am","Wednesday","19","19","0","Bob Moore","UUC B3"
"","","","","Lecture","43096D","001","12:00-1:50pm","Wednesday","15","12","0","Bob Moore","MUS204"
"MUCO-537","Advanced Composition I","","1.0-2.0 units, max 8","Lecture","43109D","001","TBA","TBA","15","8","0","Donald Crockett","MUS308"
"MUCO-538a","Analytical Approaches to Post-Tonal Music from 1908-1950","P","2.0 units","Lecture","43112D","001","10:00-11:50am","Monday","20","15","0","Bob Moore","UUC B3"
"MUCO-540a","Composing Music for Games","","2.0 units","Lecture","43118D","001","1:00-2:50pm","Friday","20","20","0","Garry Schyman","TMC G150"
"MUCO-545","Individual Instruction in Advanced Film Music Composition","","2.0 units, max 4","Lecture","43120D","001","TBA","TBA","20","20","0","Jack Smalley, Eric Schmidt","TMC118"
"MUCO-560a","Music Editing for Film","","2.0 units","Lecture","43128D","001","4:00-5:50pm","Thursday","20","20","0","Rick Schmunk","TMC G147, TMC G147"
"MUCO-572","Comparative Analytical Studies: 20th/21st Century and Non-Tr","","2.0 units, max 6","Lecture","43132D","001","5:00-6:50pm","Thursday","1","0","0","Stephen Hartke",""
