"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUED-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","43565D","001","TBA","TBA","10","0","0","Susan Helfter","MUS402"
"MUED-500","Research Foundations in Music Education","","3.0 units","Lecture","43572D","001","5:00-7:50pm","Monday","15","5","0","Beatriz Ilari","UUC B3"
"MUED-502","Sociological Foundations of Music","","3.0 units","Lecture","43575D","001","5:00-7:50pm","Tuesday","15","12","0","Beatriz Ilari","MUS319"
"MUED-505","Teaching and Learning Music","","2.0 units","Lecture","43582D","001","10:00-11:50am","Wednesday","15","14","0","Susan Helfter","MUS319"
"MUED-549a","Directed Teaching: Public School Music","","2.0 units","Lecture","43619D","373","TBA","TBA","5","0","0","Susan Helfter","MUS402"
"MUED-549b","Directed Teaching: Public School Music","PM","2.0 units","Lecture","43620D","380","TBA","TBA","5","0","0","Susan Helfter","MUS402"
"MUED-590","Directed Research","","1.0-12.0 units","Lecture","43629D","001","TBA","TBA","10","0","0","Susan Helfter","MUS402"
"MUED-592","Final Project","P","2.0 units","Lecture","43633D","001","TBA","TBA","6","1","0","Susan Helfter","MUS402"
"MUED-594a","Master's Thesis","C","2.0 units","Lecture","43637D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-594b","Master's Thesis","PC","2.0 units","Lecture","43641D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-594z","Master's Thesis","PC","0.0 units","Lecture","43645D","001","TBA","TBA","2","0","0","Susan Helfter","MUS402"
"MUED-606","Internship in Collegiate Music Education","","3.0 units","Lecture","43664D","001","6:00-7:50pm","Wednesday","15","6","0","Vincent Womack","MUS303"
"MUED-610","Pedagogy for Collegiate Teaching","","2.0 units","Lecture","43666D","001","6:00-7:50pm","Wednesday","15","9","0","Susan Helfter","MUS319"
"MUED-790","Research","","1.0-12.0 units","Lecture","43672D","001","TBA","TBA","5","0","0","Susan Helfter","MUS402"
"MUED-792","Quantitative Research in Music Education","P","3.0 units","Lecture","43675D","001","6:00-8:50pm","Thursday","15","6","0","Peter Webster","MUS319"
"MUED-794a","Doctoral Dissertation","C","2.0 units","Lecture","43683D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-794b","Doctoral Dissertation","PC","2.0 units","Lecture","43686D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-794c","Doctoral Dissertation","PC","2.0 units","Lecture","43689D","001","TBA","TBA","6","2","0","Susan Helfter","MUS402"
"MUED-794d","Doctoral Dissertation","PC","2.0 units","Lecture","43692D","001","TBA","TBA","6","1","0","Susan Helfter","MUS402"
"MUED-794z","Doctoral Dissertation","PC","0.0 units","Lecture","43695D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
