"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUHL-231","Music History I","P","3.0 units","Lecture","44011D","001","10:00-11:20am","Mon, Wed","30","24","0","Leah Morrison","TMC G156"
"","","","","Lecture","44012D","001","10:00-11:20am","Mon, Wed","30","30","0","Rotem Gilbert","UUC B2"
"MUHL-315x","Music and Culture","","4.0 units","Lecture","44022R","001","2:00-3:20pm","Mon, Wed","45","25","0","Paul Chaikin","UUC B2"
"MUHL-331","Music History III","P","3.0 units","Lecture","44024D","001","10:00-11:20am","Tue, Thu","30","14","0","Bruce Brown","UUC B2"
"","","","","Lecture","44025D","001","10:00-11:20am","Tue, Thu","31","31","1","Richard Brown","TMC G156"
"MUHL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","44057D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-570","Research Materials and Techniques","","2.0 units","Lecture","44069D","001","12:00-1:50pm","Monday","20","14","0","Bruce Brown","MUS102B"
"","","","","Lecture","44071D","001","12:00-1:50pm","Tuesday","20","18","0","Paul Chaikin","UUC B2"
"","","","","Lecture","44073D","001","12:00-1:50pm","Thursday","20","17","0","Paul Chaikin","MUS102B"
"","","","","Lecture","44075D","001","4:00-5:50pm","Wednesday","20","17","0","Paul Chaikin","UUC B2"
"MUHL-573","Music of the Middle Ages","P","2.0 units","Lecture","44080D","001","6:00-7:50pm","Monday","25","8","0","Leah Morrison","MUS303"
"MUHL-575","Music of the Baroque Era","P","2.0 units","Lecture","44084D","001","12:00-1:50pm","Thursday","19","17","0","Rotem Gilbert","MUS319"
"MUHL-577","Music of the 19th Century","P","2.0 units","Lecture","44088D","001","12:00-1:50pm","Wednesday","25","10","0","Leah Morrison","MUS303"
"MUHL-578","Music Since 1900","P","2.0 units","Lecture","44090D","001","12:00-1:50pm","Wednesday","1","0","0","Bryan Simms",""
"MUHL-588","Special Studies in Music Since 1900","P","2.0 units, max 6","Lecture","44120D","001","12:00-1:50pm","Tuesday","25","23","1","Tim Page","MUS102B"
"MUHL-590","Directed Research","P","1.0-12.0 units","Lecture","44126D","001","TBA","TBA","5","0","0","Joanna Demers","MUS308"
"MUHL-591","Seminar in Baroque Repertories and Performance Practice","","2.0 units","Lecture","44129D","001","10:00-11:50am","Tuesday","17","17","0","Rotem Gilbert","UGW120"
"MUHL-594a","Master's Thesis","C","2.0 units","Lecture","44131D","001","TBA","TBA","5","1","0","Joanna Demers","MUS308"
"MUHL-594b","Master's Thesis","PC","2.0 units","Lecture","44134D","001","TBA","TBA","5","0","0","Joanna Demers","MUS308"
"MUHL-594z","Master's Thesis","PC","0.0 units","Lecture","44137D","001","TBA","TBA","5","1","0","Joanna Demers","MUS308"
"MUHL-599","Special Topics","","2.0-4.0 units, max 8"
"","Words and Music","","2.0","Lecture","44143D","001","2:00-3:50pm","Tuesday","25","7","0","Dana Gioia","MUS303"
"MUHL-681","Studies in Musicology","P","4.0 units, max 16","Lecture","44145D","001","5:00-7:50pm","Tuesday","15","5","0","Adam Gilbert","MUS213"
"MUHL-790","Research","P","1.0-12.0 units","Lecture","44170D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-794a","Doctoral Dissertation","C","2.0 units","Lecture","44175D","001","TBA","TBA","10","1","0","Joanna Demers","MUS308"
"MUHL-794b","Doctoral Dissertation","PC","2.0 units","Lecture","44180D","001","TBA","TBA","10","1","0","Joanna Demers","MUS308"
"MUHL-794c","Doctoral Dissertation","PC","2.0 units","Lecture","44185D","001","TBA","TBA","10","2","0","Joanna Demers","MUS308"
"MUHL-794d","Doctoral Dissertation","PC","2.0 units","Lecture","44190D","001","TBA","TBA","10","1","0","Joanna Demers","MUS308"
"MUHL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","44195D","001","TBA","TBA","10","1","0","Joanna Demers","MUS308"
