"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUIN-270","Introduction to the Music Industry","M","4.0 units","Lecture","44201D","001","12:00-1:50pm","Tue, Thu","60","57","0","Paul Young","TMC G156"
"MUIN-272x","Basics of the Music Industry","","4.0 units","Lecture","44203R","001","2:00-3:50pm","Tue, Thu","60","60","0","Paul Young","TMC G156"
"MUIN-275a","Recording Arts Workshop","M","4.0 units","Lecture-Lab","44205D","001","12:00-1:50pm","Mon, Wed","1","0","0","Richard Mc Ilvery",""
"","","","","Lecture-Lab","44206D","001","10:00-11:50am","Mon, Wed","1","0","0","Richard Mc Ilvery",""
"MUIN-275b","Recording Arts Workshop","M","4.0 units","Lecture","44217D","001","10:00-11:50am","Tuesday","1","0","0","Andrew Garver",""
"","","","","Lab","44218D","001","10:00-11:50am","Thursday","1","0","0","Andrew Garver",""
"","","","","Lab","44219D","001","12:00-1:50pm","Thursday","1","0","0","Andrew Garver",""
"MUIN-277x","Introduction to Music Technology","","4.0 units","Lecture","44222D","001","4:00-5:50pm","Tue, Thu","1","0","0","Gutierrez Charles",""
"MUIN-287","The Business and Economics of the Recording Industry","","2.0 units","Lecture","44235R","001","6:00-7:50pm","Thursday","60","14","0","Dax Kimbrough","UUC B2"
"MUIN-305","MIDI and Computer Music Production","","4.0 units","Lecture","44240D","001","4:00-5:50pm","Mon, Wed","20","18","2","Steve Cunningham","TMC G147"
"MUIN-360","Introduction to Music Law","P","4.0 units","Lecture","44245D","001","6:00-7:50pm","Tue, Thu","45","44","0","Mark Goldstein","TMC G156"
"MUIN-372x","Business and Legal Aspects of the Music Industry","P","4.0 units","Lecture","44254D","001","4:00-5:50pm","Tue, Thu","30","30","0","Paul Young","MUS204"
"MUIN-372ax","The Business and Legal Aspects of the Music Industry","","4.0 units","Lecture","44252D","001","2:00-3:50pm","Tue, Thu","1","0","0","Paul Young",""
"MUIN-372bx","The Business and Legal Aspects of the Music Industry","P","4.0 units","Lecture","44253D","001","4:00-5:50pm","Tue, Thu","1","0","0","Paul Young",""
"MUIN-425","Live Music Production and Promotion","","4.0 units","Lecture","44285D","001","2:00-3:50pm","Tue, Thu","60","51","0","Ken Lopez","CTV136A"
"MUIN-440","Arts Management","","4.0 units","Lecture","44300D","001","7:00-9:50pm","Monday","32","32","0","Stacy Brightman","TMC G156"
"MUIN-445","International Music Industry","P","4.0 units","Lecture","44315D","001","8:00-9:50pm","Tue, Thu","15","11","0","Mark Goldstein","MUS204"
"MUIN-446a","Computer Assisted Recording and Editing","","2.0 units","Lecture","44320D","001","10:00-11:50am","Tuesday","1","0","0","Rick Schmunk",""
"","","","","Lecture","44321D","001","2:00-3:50pm","Thursday","1","0","0","Steve Cunningham",""
"","","","","Lecture","44322D","001","2:00-3:50pm","Wednesday","1","0","0","Gutierrez Charles",""
"MUIN-446b","Computer Assisted Recording and Editing","P","2.0 units","Lecture","44326D","001","4:00-5:50pm","Tuesday","1","0","0","Rick Schmunk",""
"MUIN-450","Practicum in Music Industry Issues (Internship)","PC","2.0-4.0 units, max 8","Lecture","44335D","001","12:00-1:50pm","Friday","60","42","0","Mark Goldstein","TMC G156"
"MUIN-477","Remote Recording Techniques","P","2.0 units","Lecture","44350D","001","4:00-5:50pm","Monday","1","0","0","Ted Ancona",""
"MUIN-478","Advanced Multichannel Remix","P","2.0 units","Lecture","44353D","001","7:00-8:50pm","Thursday","1","0","0","Andrew Garver",""
"MUIN-479","Audio Mastering","P","2.0 units","Lecture","44357D","001","4:00-5:50pm","Thursday","1","0","0","Andrew Garver",""
"MUIN-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","44370D","001","TBA","TBA","30","2","0","Ken Lopez","TMC118"
"MUIN-493","Audio Signal Processing Equipment","P","2.0 units","Lecture","44375D","001","7:00-8:50pm","Tuesday","1","0","0","Andrew Garver",""
"MUIN-495","Web Design for the Music Industry","","4.0 units","Lecture","44383R","001","2:00-3:50pm","Mon, Wed","70","17","0","Steve Cunningham","TMC G156"
"MUIN-496","Music Media Solutions","C","4.0 units","Lecture","44384D","001","10:00-11:50am","Tue, Thu","14","14","0","Ken Lopez","CTV136A"
"MUIN-499","Special Topics","","2.0-4.0 units, max 8"
"","The Recording Console","","4.0","Lecture","44388D","001","2:00-3:50pm","Mon, Wed","18","11","0","Richard Mc Ilvery","MUS103"
"MUIN-570","The Music Industry","","4.0 units","Lecture","44391D","001","7:00-9:50pm","Tuesday","30","0","0","Paul Young",""
"MUIN-590","Directed Research","","1.0-12.0 units","Lecture","44396D","001","TBA","TBA","15","0","0","Ken Lopez","TMC118"
"MUIN-790","Research","","1.0-12.0 units","Lecture","44399D","001","TBA","TBA","10","1","0","Ken Lopez","TMC118"
