"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUSC-255","Songwriting I","","2.0 units","Lecture","47200D","001","7:00-8:50pm","Monday","30","30","0","Christopher Sampson","TMC AUD"
"","","","","Lecture","47201R","001","4:00-5:50pm","Thursday","25","19","0","Andrea Stolpe","TMC AUD"
"","","","","Lecture","47202R","001","4:00-5:50pm","Wednesday","25","12","0","David Poe","TMC AUD"
"","","","","Lecture","47204R","001","4:00-5:50pm","Tuesday","25","25","0","Andrea Stolpe","TMC AUD"
"MUSC-355","Songwriting II","P","2.0 units","Lecture","47210R","001","6:00-7:50pm","Tuesday","25","18","0","Andrea Stolpe","TMC AUD"
"MUSC-400m","The Broadway Musical: Reflection of American Diversity, Issues, and Experiences","","4.0 units","Lecture","47212R","001","4:00-5:50pm","Tue, Thu","90","37","0","Parmer Fuller","THH202"
"MUSC-410","Electronic Dance Music","","4.0 units","Lecture","47215R","001","6:00-9:00pm","Wednesday","125","34","0","Sean Nye","THH202"
"MUSC-420m","Hip-Hop Music and Culture","","4.0 units","Lecture","47218D","001","6:00-8:40pm","Tuesday","100","71","0","Joanna Demers","THH202"
"MUSC-422","The Beatles: Their Music and Their Times","","4.0 units","Lecture","47220R","001","4:00-5:50pm","Mon, Wed","121","121","0","Bill Biersach","THH202"
"MUSC-423","Classic Rock: Popular Music of the Sixties and Seventies","","2.0 units","Lecture","47225R","001","6:00-7:50pm","Monday","120","81","0","Bill Biersach","THH202"
"MUSC-424","Iconic Figures of Popular Music","","2.0 units, max 8"
"","Simon and Garfunkel","","2.0","Lecture","47228R","001","10:00-11:50am","Monday","19","19","0","Bill Biersach","MUS319"
"","The Doors","","2.0","Lecture","47229R","001","12:00-1:50pm","Wednesday","25","24","0","Bill Biersach","UUC B3"
"MUSC-444","American Roots Music: History and Culture","","4.0 units","Lecture","47232R","001","4:00-5:50pm","Tue, Thu","25","13","0","Ken Lopez","MUS102B"
"MUSC-450m","The Music of Black Americans","","4.0 units","Lecture","47236R","001","2:00-3:50pm","Mon, Wed","30","15","0","Ronald Mc Curdy","MUS303"
"MUSC-455","Songwriting III: The Performing Songwriter","P","2.0 units","Lecture","47239D","001","5:00-6:50pm","Monday","15","0","0","Adriana Balic",""
"","","","","Lecture","47240D","001","6:00-7:50pm","Thursday","25","14","0","Sean Holt","TMC AUD"
"MUSC-460","Film Music: History and Function From 1930 to the Present","","4.0 units","Lecture","47241R","001","4:00-5:50pm","Tue, Thu","60","52","0","Jon Burlingame","UUC B2"
"MUSC-496","Careers in Music","C","2.0 units","Lecture","47249D","001","10:00-11:50am","Thursday","25","20","0","Christopher Sampson","UUC B3"
"MUSC-498x","Internship in Music","MC","1.0-4.0 units, max 8","Lecture","47252D","001","TBA","TBA","20","1","0","Brian Head","MUS308"
"MUSC-499","Special Topics","","2.0-4.0 units, max 8"
"","The Music Video-From Popular Music to Film and Digital Media","","4.0","Lecture","47254R","001","2:00-3:20pm","Tue, Thu","60","11","0","Richard Brown","UUC B2"
"MUSC-598","Internship in Music","M","1.0-4.0 units, max 4","Lecture","47266D","001","TBA","TBA","20","4","0","Brian Head","MUS308"
"MUSC-798","Internship in Music","MC","1.0-4.0 units, max 4","Lecture","47283D","001","TBA","TBA","20","6","0","Brian Head","MUS308"
"MUSC-800","Studies for the Qualifying Examination in Music","MC","0.0 units","Lecture","47290D","001","TBA","TBA","30","19","0","Brian Head","MUS308"
