"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"NSC-135","Introduction to Naval Science","","2.0 units","Lecture","41900R","001","10:00-11:50am","Tuesday","45","18","0","Phillip Foster","PED300"
"","","","","Lab","41901R","001","7:00-9:20am","Thursday","45","18","0","","SGM123"
"NSC-251","Seamanship and Ship Operations","","3.0 units","Lecture","41912R","001","10:00-11:20am","Mon, Wed","40","11","0","Luis Alvarez","PED300"
"","","","","Lecture","41917R","523","8:00-9:20am","Mon, Wed","20","3","0","Luis Alvarez",""
"","","","","Lab","41913R","001","7:00-9:20am","Thursday","40","14","0","","SGM123"
"NSC-283","Naval Ships Systems I (Engineering)","","3.0 units","Lecture","41914R","001","2:00-3:20pm","Mon, Wed","35","8","0","Raymond Hill","PED300"
"","","","","Lab","41915R","001","7:00-9:20am","Thursday","40","8","0","","SGM123"
"NSC-343","Evolution of Warfare","","3.0 units","Lecture-Lab","41916R","001","8:00-10:50am","Friday","25","10","0","Mark Burrell","PED300"
"NSC-453","Leadership and Management I","","2.0 units","Lecture","41907R","001","8:00-9:50am","Monday","40","18","0","Antolin Antolin","PED300"
"","","","","Lab","41908R","001","7:00-9:20am","Thursday","45","18","0","","SGM123"
