"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"NSCI-524","Advanced Overview of Neurosciences","PC","4.0 units","Lecture","47654D","001","2:00-3:50pm","Tue, Thu","45","15","0","Huizhong Tao, Pat Levitt","HNB100"
"NSCI-539","Seminar in Neurobiology","C","1.0 unit","Lecture","47659D","001","9:00-10:00am","Thursday","60","32","0","Gregory Field, Daniel Campbell","OFFICE"
"NSCI-599","Special Topics","C","2.0-4.0 units, max 8"
"","Neural Coding for Complex Sounds in Auditory Cortex","","2.0","Lecture","47669D","001","4:00-5:50pm","Tuesday","12","5","0","Sarah Bottjer",""
"NSCI-790","Research","MC","1.0-12.0 units","Lecture","47660D","001","TBA","TBA","100","62","0","Judith Hirsch","OFFICE"
"NSCI-794a","Doctoral Dissertation","MC","2.0 units","Lecture","47670D","001","TBA","TBA","50","5","0","","OFFICE"
"NSCI-794b","Doctoral Dissertation","PMC","2.0 units","Lecture","47671D","001","TBA","TBA","50","6","0","","OFFICE"
"NSCI-794c","Doctoral Dissertation","PMC","2.0 units","Lecture","47672D","001","TBA","TBA","50","5","0","","OFFICE"
"NSCI-794d","Doctoral Dissertation","PMC","2.0 units","Lecture","47673D","001","TBA","TBA","50","5","0","","OFFICE"
"NSCI-794z","Doctoral Dissertation","PMC","0.0 units","Lecture","47674D","001","TBA","TBA","50","1","0","","OFFICE"
