"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"OFPM-702b","Soft Tissue Disease for Dental Residence","P","2.0 units","Lecture","24005D","398","TBA","TBA","25","13","0","Parish Sedghizadeh, Glenn Clark","TBA"
"","","","","Lecture","24013D","315","TBA","TBA","30","5","0","Parish Sedghizadeh, Glenn Clark, Phuu Han","TBA"
"OFPM-706","TMD, Orthopedics, Rheumatology and Physical Therapy for Dental Residents","","2.0 units","Lecture","24004D","398","TBA","TBA","25","13","0","Glenn Clark","TBA"
"OFPM-707","Pharmacology Series for Dental Residents","","2.0 units","Lecture","24003D","398","TBA","TBA","25","13","0","Glenn Clark","TBA"
"","","","","Lecture","24014D","315","TBA","TBA","10","5","0","Glenn Clark, Phuu Han","TBA"
"OFPM-722","Internal Medicine and Systemic Disease for Dental Residents","","2.0 units","Lecture","24015D","315","TBA","TBA","10","5","0","Roseann Mulligan, Phuu Han, Glenn Clark","TBA"
"OFPM-724","Psychological and Psychometric Assessment for Dental Residents","","2.0 units","Lecture","24049D","398","TBA","TBA","30","17","0","Glenn Clark, Tomoko Wada","TBA"
"OFPM-725","Epidemiology, Nutrition and Aging for Dental Residents","","2.0 units","Lecture","24048D","398","TBA","TBA","30","17","0","Roseann Mulligan, Phuu Han","TBA"
"OFPM-726","Immunology and Immunosupression for Dental Residents","","2.0 units","Lecture","24008D","398","TBA","TBA","25","15","0","Saravanan Ram","TBA"
"OFPM-727","Infectious Disease, Oral Microbiology and Virology for Dental Residents","","2.0 units","Lecture","24007D","398","TBA","TBA","25","15","0","Saravanan Ram","TBA"
"OFPM-729b","Capstone Project for OFPOM Residents","PC","0.5 units","Lecture","24047D","398","TBA","TBA","30","17","0","Glenn Clark, Reyes Enciso","TBA"
"OFPM-730a","Case Portfolio Preparation by Online OFPOM Residents","C","0.5 units","Lecture","24006D","398","TBA","TBA","25","13","0","Glenn Clark, Saravanan Ram","TBA"
"OFPM-730c","Case Portfolio Preparation by Online OFPOM Residents","PC","0.5 units","Lecture","24009D","398","TBA","TBA","25","15","0","Glenn Clark, Tomoko Wada","TBA"
