"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"OS-512","Introduction to Chemical and Physical Oceanography","","3.0 units","Lecture","48302R","001","10:00-11:50am","Wed, Fri","20","11","0","Doug Hammond, James Moffett</a>","OFFICE"
"OS-582","Advanced Biological Oceanography","","4.0 units","Lecture","13582D","001","2:00-4:50pm","Thursday","20","2","0","David Hutchins, Dale Kiefer, Sergio Sanudo-Wilhelmy</a>","KAP164"
"OS-590","Directed Research","","1.0-12.0 units","Lecture","48304D","001","TBA","TBA","20","0","0","Doug Hammond","OFFICE"
"OS-594a","Master's Thesis","","2.0 units","Lecture","48306D","001","TBA","TBA","20","0","0","","OFFICE"
"OS-594b","Master's Thesis","P","2.0 units","Lecture","48308D","001","TBA","TBA","20","0","0","","OFFICE"
"OS-594z","Master's Thesis","P","0.0 units","Lecture","48310D","001","TBA","TBA","20","0","0","","OFFICE"
"OS-790","Research","","1.0-12.0 units","Lecture","48312D","001","TBA","TBA","20","0","0","Doug Hammond","OFFICE"
"OS-794a","Doctoral Dissertation","","2.0 units","Lecture","48314D","001","TBA","TBA","20","1","0","","OFFICE"
"OS-794b","Doctoral Dissertation","","2.0 units","Lecture","48316D","001","TBA","TBA","20","0","0","","OFFICE"
"OS-794c","Doctoral Dissertation","","2.0 units","Lecture","48318D","001","TBA","TBA","20","2","0","","OFFICE"
"OS-794d","Doctoral Dissertation","","2.0 units","Lecture","48320D","001","TBA","TBA","20","0","0","","OFFICE"
"OS-794z","Doctoral Dissertation","","0.0 units","Lecture","48322D","001","TBA","TBA","20","1","0","","OFFICE"
