"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"OT-200L","Medical Terminology for Health Professions","","1.0 unit","Lecture-Lab","47702D","001","6:30-7:20pm","Tuesday","65","45","0","Myka Winder",""
"OT-220","Lifestyle Design: Introduction to Occupational Therapy","","2.0 units","Lecture","47700R","001","12:00-1:50pm","Monday","65","62","0","Kimberly Morris","THH208"
"","","","","Lecture","47701R","001","6:00-7:50pm","Tuesday","55","45","0","Kimberly Morris","THH208"
"OT-250","Introduction to Occupational Science and Occupational Therapy","","4.0 units","Lecture","47703R","001","11:00-12:20pm","Tue, Thu","72","71","0","Kate Crowley","THH212"
"","","","","Lecture","47704R","001","3:30-4:50pm","Tue, Thu","65","61","0","Kate Crowley","THH208"
"OT-251","Across the Lifespan: Occupations, Health and Disability","","4.0 units","Lecture","47710R","001","6:00-8:50pm","Tuesday","34","14","0","Tessa Milman","THH119"
"OT-260","Human Functional Anatomy for Occupational Therapists","","3.0 units","Lecture","47706D","012","1:00-4:50pm","Tuesday","32","19","0","Shawn Roll","CHP109"
"OT-261","Human Physiology for Occupational Therapists","","3.0 units","Lecture","47707D","012","1:00-3:50pm","Monday","30","15","0","E Schroeder","CHP111"
"OT-310","Creativity Workshop","","2.0 units","Lecture","47712R","001","10:00-11:50am","Monday","35","26","0","Kimberly Morris","WPH B30"
"","","","","Lecture","47713R","001","10:00-11:50am","Friday","30","19","0","Kimberly Morris","WPH B30"
"","","","","Lecture","47714R","001","12:00-1:50pm","Wednesday","65","59","0","Kimberly Morris","THH208"
"OT-312","Creating a Sustainable Lifestyle","","2.0 units","Lecture","47717R","001","10:00-11:50am","Wednesday","27","21","0","Camille Dieterle","WPH B30"
"OT-330","Perspectives on the Daily Life of Families","","4.0 units","Lecture","47722R","001","6:00-8:50pm","Wednesday","60","53","0","Kate Crowley","THH116"
"","","","","Lecture","47723R","001","9:30-10:50am","Tue, Thu","48","30","0","Kate Crowley","WPH B28"
"OT-333","Sports Ethics","","4.0 units","Lecture","47711R","001","2:00-3:20pm","Mon, Wed","58","56","0","William Morgan","VKC100"
"OT-360","Creating the Self through Narrative: Acts of Life Story Production","","4.0 units","Lecture","47719R","001","10:00-11:50am","Mon, Wed","25","9","0","Gelya Frank","SOS B52"
"OT-405","Foundations: Occupation","MC","2.0 units","Lecture-Discussion","47941R","012","9:00-11:00am","Tuesday","30","10","0","Myka Winder","CENTER"
"OT-440L","Foundations: Kinesiology","MC","2.0 units","Lecture-Lab","47731R","012","8:30-11:50am","Thursday","30","11","0","Samia Rafeedie","CHP109"
"OT-490x","Directed Research","MC","1.0-8.0 units, max 12","Lecture","47792D","012","TBA","TBA","5","1","0","Kimberly Morris","OFFICE"
