"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PAS-371","Art in the Public Realm: Contemporary Issues","","4.0 units","Lecture","33900D","001","10:00-11:50am","Wednesday","28","24","0","Alexis Disselkoen","WPH B26"
"","","","","Lab","33901D","001","9:00-11:50am","Monday","15","14","0","Alexis Disselkoen","WPH B26"
"","","","","Lab","33902D","001","9:00-11:50am","Monday","15","9","0","Alexis Disselkoen","WPH B26"
"PAS-549","Methodologies of Art Writing","","3.0 units","Lecture","33914D","001","6:00-7:50pm","Thursday","16","8","0","Noura Wedell","IFT109"
"PAS-555b","Curatorial Practicum","P","2.0 units","Lecture","33904D","001","6:00-7:50pm","Tuesday","15","6","0","Rochelle Steiner","IFT109"
"PAS-561","Curatorial/Organizational Models","","2.0 units","Lecture","33916D","001","6:30-8:30pm","Tuesday","15","7","0","Karen Moss","IFT109"
"PAS-571","Histories of Art in the Public Sphere","","3.0 units","Lecture","33917D","001","6:00-8:50pm","Monday","17","8","0","John Tain","IFT109"
"PAS-585","Theorizing the Public Realm","P","3.0 units","Lecture","33918D","001","10:00-12:50pm","Friday","18","5","0","Bruce Hainley","IFT109"
"PAS-590","Directed Research","","1.0-12.0 units","Lecture","33907D","001","TBA","TBA","15","0","0","Amelia Jones","OFFICE"
"","","","","Lecture","33919D","001","TBA","TBA","15","0","0","Amelia Jones","OFFICE"
"PAS-591","Field Internship Experience","","1.0 units, max 2","Lecture","33908D","001","TBA","TBA","15","1","0","Amelia Jones","OFFICE"
"PAS-594a","Master's Thesis","","2.0 units","Lecture","33911D","001","6:00-7:50pm","Wednesday","20","6","0","Amelia Jones","TBA"
"PAS-594z","Master's Thesis","","0.0 units","Lecture","33913D","001","TBA","TBA","10","0","0","Amelia Jones","OFFICE"
