"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PCPA-503","Behavioral Sciences I","M","4.0 units","Lecture","41253R","019","TBA","TBA","60","60","0","Christopher Forest, Mitzi D'Aquila, Desiree Lie, Kevin Lohenry, John Mabee, Darryl Mayo, Janice Tramel, Abdul Waliany, Anne Walsh, Jennifer Wegler, Maria Maldonado, Alberto Vallejo","OFFICE"
"PCPA-509","Behavioral Sciences III","PM","4.0 units","Lecture","41257R","019","TBA","TBA","54","54","0","Kevin Lohenry, Mitzi D'Aquila, Christopher Forest, Desiree Lie, John Mabee, Darryl Mayo, Janice Tramel, Abdul Waliany, Anne Walsh, Jennifer Wegler, Maria Maldonado, Alberto Vallejo","OFFICE"
"PCPA-523","Clinical Skills I","M","4.0 units","Lecture","41260R","019","TBA","TBA","60","60","0","Janice Tramel, Mitzi D'Aquila, Christopher Forest, Desiree Lie, Kevin Lohenry, John Mabee, Darryl Mayo, Abdul Waliany, Anne Walsh, Jennifer Wegler, Maria Maldonado, Alberto Vallejo","OFFICE"
"PCPA-529","Clinical Skills III","PM","6.0 units","Lecture","41265R","019","TBA","TBA","54","54","0","Janice Tramel, Mitzi D'Aquila, Christopher Forest, Desiree Lie, Kevin Lohenry, John Mabee, Darryl Mayo, Abdul Waliany, Anne Walsh, Jennifer Wegler, Maria Maldonado, Alberto Vallejo","OFFICE"
"PCPA-530","Basic Medical Sciences","M","6.0 units","Lecture","41268R","019","TBA","TBA","60","60","0","John Mabee, Alberto Vallejo, Mitzi D'Aquila, Christopher Forest, Desiree Lie, Kevin Lohenry, Darryl Mayo, Janice Tramel, Abdul Waliany, Anne Walsh, Jennifer Wegler, Maria Maldonado","OFFICE"
"PCPA-543","Topics in Medicine I","M","4.0 units","Lecture","41272R","019","TBA","TBA","60","60","0","Maria Maldonado, Mitzi D'Aquila, Christopher Forest, Desiree Lie, Kevin Lohenry, John Mabee, Darryl Mayo, Janice Tramel, Abdul Waliany, Anne Walsh, Jennifer Wegler, Alberto Vallejo, Sarah Ma","OFFICE"
"PCPA-549","Topics in Medicine III","PM","6.0 units","Lecture","41277R","019","TBA","TBA","54","54","0","Jennifer Wegler, Anne Walsh, Alberto Vallejo, Mitzi D'Aquila, Christopher Forest, Kevin Lohenry, John Mabee, Maria Maldonado, Darryl Mayo, Janice Tramel, Abdul Waliany, Desiree Lie, Sarah Ma","OFFICE"
"PCPA-563","Clinical Assignment III","","3.5 units","Lecture","41280R","019","TBA","TBA","55","55","0","Janice Tramel, Mitzi D'Aquila, Christopher Forest, Desiree Lie, Kevin Lohenry, John Mabee, Maria Maldonado, Darryl Mayo, Abdul Waliany, Anne Walsh, Jennifer Wegler, Alberto Vallejo","OFFICE"
"PCPA-566","Clinical Assignment VI","","3.5 units","Lecture","41283R","019","TBA","TBA","55","55","0","Janice Tramel, Mitzi D'Aquila, Darryl Mayo, Christopher Forest, Desiree Lie, Kevin Lohenry, John Mabee, Maria Maldonado, Abdul Waliany, Alberto Vallejo, Anne Walsh, Jennifer Wegler","OFFICE"
"PCPA-567","Clinical Assignment VII","","3.5 units","Lecture","41286R","019","TBA","TBA","55","55","0","Janice Tramel, Mitzi D'Aquila, Darryl Mayo, Abdul Waliany, Jennifer Wegler, Anne Walsh, Maria Maldonado, John Mabee, Kevin Lohenry, Desiree Lie, Christopher Forest, Alberto Vallejo","OFFICE"
"PCPA-568","Clinical Assignment VIII","","3.5 units","Lecture","41289R","019","TBA","TBA","55","55","0","Janice Tramel, Darryl Mayo, Mitzi D'Aquila, Abdul Waliany, Jennifer Wegler, John Mabee, Kevin Lohenry, Desiree Lie, Christopher Forest, Alberto Vallejo, Maria Maldonado, Anne Walsh","OFFICE"
