"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHIL-135g","Legal Controversies and Ethical Principles","","4.0 units","Lecture","49590R","001","11:00-12:15pm","Tue, Thu","148","142","0","Andrei Marmor","MHP101"
"","","","","Discussion","49591R","001","9:00-9:50am","Monday","25","24","0","Renee Bolinger","MHP102"
"","","","","Discussion","49592R","001","8:00-8:50am","Monday","25","21","0","Alexander Dietz","MHP102"
"","","","","Discussion","49593R","001","10:00-10:50am","Monday","25","25","0","Renee Bolinger","MHP102"
"","","","","Discussion","49594R","001","8:00-8:50am","Wednesday","25","24","0","Erik Encarnacion","MHP102"
"","","","","Discussion","49595R","001","9:00-9:50am","Wednesday","25","25","0","Erik Encarnacion","MHP102"
"","","","","Discussion","49596R","001","10:00-10:50am","Wednesday","25","23","0","Alexander Dietz","MHP102"
"PHIL-140g","Contemporary Moral and Social Issues","","4.0 units","Lecture","49314R","001","2:00-3:15pm","Mon, Wed","148","145","0","Jacob Ross","THH202"
"","","","","Discussion","49316R","001","11:00-11:50am","Wednesday","26","26","0","Tatyana Kostochka","MHP102"
"","","","","Discussion","49318R","001","10:00-10:50am","Wednesday","24","23","0","Tatyana Kostochka","VPD107"
"","","","","Discussion","49319R","001","10:00-10:50am","Thursday","25","25","0","Matthew Leonard","VKC158"
"","","","","Discussion","49320R","001","9:00-9:50am","Thursday","25","24","0","Matthew Leonard","VKC158"
"","","","","Discussion","49321R","001","11:00-11:50am","Tuesday","24","24","0","Matthew Lutz","VPD107"
"","","","","Discussion","49322R","001","10:00-10:50am","Tuesday","24","23","0","Matthew Lutz","VKC158"
"PHIL-155g","Modern Philosophy and the Meaning of Life","","4.0 units","Lecture","49344R","001","2:00-3:15pm","Mon, Wed","151","149","0","Edwin McCann","THH301"
"","","","","Discussion","49345R","001","9:00-9:50am","Tuesday","26","26","0","Amanda Gorman","MHP102"
"","","","","Discussion","49346R","001","9:00-9:50am","Thursday","25","24","0","Joe Horton","MHP102"
"","","","","Discussion","49347R","001","10:00-10:50am","Tuesday","25","25","0","Amanda Gorman","MHP102"
"","","","","Discussion","49348R","001","10:00-10:50am","Thursday","25","25","0","Joe Horton","MHP102"
"","","","","Discussion","49349R","001","11:00-11:50am","Tuesday","26","23","0","Lee Killam","MHP102"
"","","","","Discussion","49350R","001","11:00-11:50am","Thursday","26","26","0","Lee Killam","MHP102"
"PHIL-220g","Science, Religion, and the Making of the Modern Mind","","4.0 units","Lecture","49351R","001","10:00-10:50am","MWF","150","134","0","Zlatan Damnjanovic","MHP101"
"","","","","Discussion","49352R","001","9:00-9:50am","Tuesday","25","25","0","Michael Ashfield","KAP140"
"","","","","Discussion","49353R","001","10:00-10:50am","Tuesday","25","23","0","Michael Ashfield","KAP140"
"","","","","Discussion","49354R","001","11:00-11:50am","Tuesday","25","20","0","Nathan Howard","KAP140"
"","","","","Discussion","49355R","001","9:00-9:50am","Thursday","25","20","0","Jonathan Wright","VKC203"
"","","","","Discussion","49356R","001","10:00-10:50am","Thursday","25","22","0","Jonathan Wright","VKC203"
"","","","","Discussion","49357R","001","11:00-11:50am","Thursday","25","24","0","Nathan Howard","SOS B41"
