"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHRD-501","Pharmaceutics I","","4.0 units","Lecture","48501D","004","TBA","TBA","225","201","0","Ian Haworth, Rebecca Romero","TBA"
"PHRD-503","Biological Systems I","M","4.0 units","Lecture","48503D","004","TBA","TBA","225","203","0","Curtis Okamoto, Kathy Besinque","TBA"
"PHRD-506","Self Care and Non-Prescription Therapies","M","5.0 units","Lecture","48582D","004","TBA","TBA","200","180","0","Melissa Durham, Leah Amirian","OFFICE"
"PHRD-507","Health Care Delivery Systems","","2.0 units","Lecture","48505D","004","TBA","TBA","225","199","0","Geoffrey Joyce","TBA"
"PHRD-508","Pharmacy Literature Analysis and Drug Information","M","3.0 units","Lecture","48681D","004","TBA","TBA","200","94","0","Jeff Mc Combs, Rory Ocallaghan","OFFICE"
"PHRD-509","Pharmacy Practice and Experience I","M","4.0 units","Lecture","48507D","004","TBA","TBA","225","200","0","Edith Mirzaian, Melissa Durham","TBA"
"PHRD-551","Immunology","M","3.0 units","Lecture","48575D","004","TBA","TBA","200","180","0","Wei-Chiang Shen, Kathleen Rodgers, Stan Louie","TBA"
"PHRD-555","Biochemical and Molecular Sites of Drug Action","","4.0 units","Lecture","48509D","004","TBA","TBA","225","201","0","Enrique Cadenas","TBA"
"PHRD-557","Therapeutics I","M","4.0 units","Lecture","48596D","004","TBA","TBA","200","181","0","Julie Dopheide, Kathy Besinque, Ian Haworth","OFFICE"
"PHRD-559","Therapeutics II","M","3.0 units","Lecture","48598D","004","TBA","TBA","200","180","0","Paul Beringer, Andrew MacKay, Kathy Besinque","OFFICE"
"PHRD-561","Pharmacy Practice and Experience III","M","3.0 units","Lecture-Lab","48580D","004","TBA","TBA","200","86","0","Melissa Durham, Cynthia Lieu, Kathy Besinque","TBA"
"","","","","Lecture-Lab","48600D","004","TBA","TBA","1","0","0","Cynthia Lieu, Melissa Durham","OFFICE"
"PHRD-601","Therapeutics V","M","6.0 units","Lecture","48599D","515","TBA","TBA","200","178","0","Tien Ng, James Adams, Kathy Besinque","OFFICE"
"PHRD-603","Therapeutics VI","M","3.0 units","Lecture","48601D","516","TBA","TBA","200","179","0","May Mak, Bangyan Stiles, Kathy Besinque","OFFICE"
"PHRD-605","Therapeutics VII","M","4.0 units","Lecture","48603D","517","TBA","TBA","200","178","0","Annie Wong-Beringer, Roger Duncan, Kathy Besinque","OFFICE"
"PHRD-607","Nutrition","M","2.0 units","Lecture","48655D","004","TBA","TBA","200","177","0","Cynthia Lieu","TBA"
"PHRD-651","Community Pharmacy I","MC","3.0 units","Lecture-Lab","48677D","004","TBA","TBA","100","48","0","Raffi Svadjian","TBA"
"PHRD-653","Health Systems Pharmacy I","M","3.0 units","Lecture-Lab","48683D","004","TBA","TBA","100","28","0","Kevin Forrester","TBA"
"PHRD-655","Geriatric Pharmacy I","M","3.0 units","Lecture-Lab","48685D","004","TBA","TBA","100","22","0","Brad Williams","TBA"
"PHRD-657L","Basic Research Design","M","3.0 units, max 6","Lecture-Lab","48687D","004","TBA","TBA","50","4","0","Sarah Hamm-Alvarez","TBA"
"PHRD-663","Pharmaceutical Development","M","3.0 units","Lecture","48680D","004","TBA","TBA","100","60","0","Charles Stark","TBA"
"PHRD-677","Risk Assessment and Management in Pharmacy Practice","M","3.0 units","Lecture","48689D","004","TBA","TBA","25","15","0","Jack Raber","OFFICE"
"PHRD-701","Acute Care Clinical APPE","M","6.0 units","Lecture","48733R","500","TBA","TBA","200","26","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48734R","518","TBA","TBA","200","23","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48735R","519","TBA","TBA","200","31","0","Kathy Besinque","OFFICE"
"PHRD-704","Primary Care APPE","M","6.0 units","Lecture","48743R","500","TBA","TBA","200","26","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48744R","518","TBA","TBA","200","31","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48745R","519","TBA","TBA","200","23","0","Kathy Besinque","OFFICE"
"PHRD-705","Community Pharmacy APPE","M","6.0 units","Lecture","48753R","500","TBA","TBA","200","32","0","Edith Mirzaian","OFFICE"
"","","","","Lecture","48754R","518","TBA","TBA","200","31","0","Edith Mirzaian","OFFICE"
"","","","","Lecture","48755R","519","TBA","TBA","200","30","0","Edith Mirzaian","OFFICE"
"PHRD-714","Nuclear Pharmacy APPE","M","6.0 units","Lecture","48793R","500","TBA","TBA","200","1","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48794R","518","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48795R","519","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
