"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHYS-100Lxg","The Physical World","","4.0 units","Lecture","50310R","001","12:00-1:50pm","Tue, Thu","144","144","0","Werner Dappen","SLH200"
"","","","","Lab","50311R","001","10:00-11:50am","Tuesday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50312R","001","10:00-11:50am","Wednesday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50313R","001","10:00-11:50am","Thursday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50314R","001","2:00-3:50pm","Tuesday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50315R","001","12:00-1:50pm","Wednesday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50316R","001","2:00-3:50pm","Wednesday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50317R","001","4:00-5:50pm","Tuesday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50318R","001","4:00-5:50pm","Wednesday","16","16","0","Joseph Vandiver","SGM300"
"","","","","Lab","50319R","001","4:00-5:50pm","Thursday","16","16","0","Joseph Vandiver","SGM300"
"PHYS-135aL","Physics for the Life Sciences","P","4.0 units","Lecture","50340R","001","10:00-11:50am","Mon, Wed","128","88","0","James Boedicker","SLH200"
"","","","","Lecture","50342R","001","12:00-1:50pm","Tue, Thu","92","88","0","Dennis Nemeschansky","SLH100"
"","","","","Quiz","50343R","001","5:00-6:20pm","Wednesday","218","176","0","","TBA"
"","","","","Lab","50346R","001","8:00-10:50am","Friday","24","12","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50347R","001","11:00-1:50pm","Tuesday","24","11","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50348R","001","11:00-1:50pm","Wednesday","24","8","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50349R","001","11:00-1:50pm","Thursday","24","12","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50350R","001","11:00-1:50pm","Friday","24","13","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50351R","001","2:00-4:50pm","Wednesday","24","20","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50352R","001","2:00-4:50pm","Thursday","24","24","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50353R","001","2:00-4:50pm","Friday","24","19","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50354R","001","5:00-7:50pm","Tuesday","24","24","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"","","","","Lab","50355R","001","2:00-4:50pm","Tuesday","24","21","0","Gokhan Esirgen, Ryan Griffith","KAP B25"
"PHYS-135bL","Physics for the Life Sciences","P","4.0 units","Lecture","50360R","001","10:00-11:50am","Tue, Thu","150","91","0","Dennis Nemeschansky","SLH200"
"","","","","Quiz","50361R","001","5:00-6:20pm","Tuesday","150","91","0","","TBA"
"","","","","Lab","50366R","001","8:00-10:50am","Wednesday","12","9","0","Gokhan Esirgen, Ryan Griffith","KAP B11"
"","","","","Lab","50367R","001","11:00-1:50pm","Wednesday","12","10","0","Gokhan Esirgen, Ryan Griffith","KAP B11"
"","","","","Lab","50368R","001","2:00-4:50pm","Tuesday","12","12","0","Gokhan Esirgen, Ryan Griffith","KAP B11"
"","","","","Lab","50369R","001","2:00-4:50pm","Wednesday","12","12","0","Gokhan Esirgen, Ryan Griffith","KAP B11"
"","","","","Lab","50370R","001","2:00-4:50pm","Thursday","12","12","0","Gokhan Esirgen, Ryan Griffith","KAP B11"
