"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PM-500","Foundations of Health Behavior","","4.0 units","Lecture","41083D","046","12:30-3:30pm","Thursday","10","8","0","Steven Sussman","SSB301"
"PM-501","Foundations in Health Education and Promotion","","4.0 units","Lecture","41086D","046","2:00-5:55pm","Thursday","66","65","0","Nancy Boley Cruz, Kimberly Kisler","SSB115AB"
"PM-508","Health Service Delivery in the U.S.","","4.0 units","Lecture","41089D","046","9:00-12:30pm","Wednesday","52","47","0","Michael Cousineau","SSB115AB"
"PM-509","Comparative Health Care Systems","","4.0 units","Lecture","41090D","046","9:00-12:30pm","Wednesday","40","15","0","Gregory Stevens","SSB114"
"PM-510L","Principles of Biostatistics","","4.0 units","Lecture","41099D","046","2:25-4:25pm","Wednesday","99","56","0","Stanley Azen, Richard Watanabe","CHP G37"
"","","","","Lecture","41200D","407","TBA","TBA","25","17","0","Joshua Millstein","ONLINE"
"","","","","Lecture","41205D","407","TBA","TBA","25","21","0","","ONLINE"
"","","","","Lecture","41209D","407","TBA","TBA","25","11","0","Melissa Wilson","ONLINE"
"","","","","Lecture","41213D","407","TBA","TBA","25","12","0","","ONLINE"
"","","","","Lecture","41217D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41221D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture-Lab","41116D","046","1:25-5:25pm","Wednesday","57","57","0","Richard Watanabe","SSB115AB"
"","","","","Lecture-Lab","41092D","046","2:25-4:30pm","Wednesday","10","0","0","Stanley Azen",""
"","","","","Lab","41095D","046","12:05-2:05pm","Wednesday","60","39","0","Stanley Azen",""
"","","","","Lab","41098D","046","4:35-6:35pm","Wednesday","70","16","0","Stanley Azen",""
"","","","","Lab","41201D","407","TBA","TBA","25","17","0","","ONLINE"
"","","","","Lab","41207D","407","TBA","TBA","25","21","0","","ONLINE"
"","","","","Lab","41211D","407","TBA","TBA","25","11","0","","ONLINE"
"","","","","Lab","41215D","407","TBA","TBA","25","12","0","","ONLINE"
"","","","","Lab","41219D","407","TBA","TBA","25","0","0","","ONLINE"
