"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"POIR-593","Practicum in Teaching Politics and International Relations","C","2.0 units","Lecture","52341D","001","12:00-2:00pm","Friday","15","9","0","Jane Junn","VKC104"
"POIR-599","Special Topics","M","2.0-8.0 units, max 8"
"","Practicum in GOTV Experiments","","2.0","Lecture","52337D","001","10:00-11:50am","Friday","10","2","0","Jane Junn","VKC204"
"","Political Psychology and International Relations","","4.0","Lecture","52339D","001","2:00-4:50pm","Wednesday","8","3","0","Brian Rathbun","WPH603"
"POIR-600","Political Theory","C","4.0 units","Lecture","52300D","001","2:00-4:50pm","Thursday","14","13","0","Ange-Marie Hancock","GFS204"
"POIR-610","Research Design","C","4.0 units","Lecture","52301D","001","2:00-4:50pm","Wednesday","14","11","0","Nicholas Weller","VKC153"
"POIR-620","American Politics and Policy Processes","C","4.0 units","Lecture","52310D","001","2:00-4:50pm","Monday","12","3","0","Ann Crigler","VKC103"
"POIR-640","Comparative Politics","C","4.0 units","Lecture","52316D","001","5:00-7:50pm","Tuesday","14","6","0","Jefferey Sellers","VKC104"
"POIR-650","Comparative Politics of East and Southeast Asia","C","4.0 units","Lecture","52322D","001","2:00-4:50pm","Tuesday","14","5","0","Daniel Lynch","THH107"
"POIR-660","Introduction to International Relations Theory","C","4.0 units","Lecture","52303D","001","2:00-4:50pm","Tuesday","12","7","0","David Kang","WPH603"
"POIR-670","International Political Economy","C","4.0 units","Lecture","52330D","001","5:00-7:50pm","Wednesday","12","0","0","Andrew Coe",""
"POIR-680","International Security and Foreign Policy","C","4.0 units","Lecture","52336D","001","7:00-9:50pm","Wednesday","12","0","0","",""
"POIR-794a","Doctoral Dissertation","","2.0 units","Lecture","52345D","001","TBA","TBA","12","2","0","","OFFICE"
"POIR-794b","Doctoral Dissertation","P","2.0 units","Lecture","52346D","001","TBA","TBA","12","7","0","","OFFICE"
"POIR-794c","Doctoral Dissertation","P","2.0 units","Lecture","52347D","001","TBA","TBA","12","0","0","","OFFICE"
