"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"POSC-100","Theory and Practice of American Democracy","","4.0 units","Lecture","51900R","001","12:30-1:50pm","Tue, Thu","50","41","0","Christian Grose","VKC100"
"","","","","Discussion","51901R","001","11:00-11:50am","Thursday","25","20","0","Jordan Peterson","VKC256"
"","","","","Discussion","51902R","001","2:00-2:50pm","Tuesday","25","21","0","Jordan Peterson","VKC157"
"POSC-120","Comparative Politics","","4.0 units","Lecture-Discussion","51913R","001","2:00-3:20pm","Tue, Thu","44","33","0","Rebecca Oliver","WPH B27"
"POSC-130g","Law, Politics and Public Policy","","4.0 units","Lecture","51920R","001","9:30-10:50am","Tue, Thu","200","187","0","Alison Renteln","THH101"
"","","","","Discussion","51921R","001","10:00-10:50am","Wednesday","25","25","0","Keira Stearns","THH B9"
"","","","","Discussion","51922R","001","10:00-10:50am","Friday","25","24","0","Fabian Borges Herrero","THH B9"
"","","","","Discussion","51923R","001","11:00-11:50am","Tuesday","25","24","0","Sara Sadhwani","VKC256"
"","","","","Discussion","51924R","001","12:00-12:50pm","Wednesday","25","24","0","Keira Stearns","VKC157"
"","","","","Discussion","51925R","001","12:00-12:50pm","Friday","25","21","0","Fabian Borges Herrero","VKC157"
"","","","","Discussion","51926R","001","1:00-1:50pm","Monday","25","21","0","Sara Sadhwani","VKC252"
"","","","","Discussion","51927R","001","2:00-2:50pm","Thursday","25","24","0","Elli Menounou","VKC157"
"","","","","Discussion","51928R","001","3:30-4:20pm","Tuesday","25","24","0","Elli Menounou","VKC252"
"POSC-190a","Politics and Society","MC","4.0 units","Lecture","51935D","001","3:30-6:20pm","Tuesday","15","9","0","Eliz Sanasarian","VKC259"
"POSC-201x","Law and Politics: Electing a President","","4.0 units","Lecture","02605R","001","4:00-6:50pm","Monday","35","11","0","Susan Estrich","THH106"
"POSC-265g","Environmental Challenges","","4.0 units","Lecture","51940R","001","2:00-3:20pm","Mon, Wed","100","98","0","Jefferey Sellers","THH102"
"","","","","Discussion","51941R","001","1:00-1:50pm","Monday","25","25","0","Adam Feldman","THH214"
"","","","","Discussion","51942R","001","1:00-1:50pm","Wednesday","25","25","0","Adam Feldman","THH214"
"","","","","Discussion","51943R","001","3:30-4:20pm","Monday","25","24","0","Scott Wilbur","VKC109"
"","","","","Discussion","51944R","001","3:30-4:20pm","Wednesday","25","24","0","Scott Wilbur","VKC109"
"POSC-300","Principles, Institutions, and Great Issues of American Democracy","","4.0 units","Lecture","51947R","001","2:00-3:20pm","Tue, Thu","40","27","0","Richard Barrett","VKC101"
"POSC-315","Regulation of Elections and Political Finance","","4.0 units","Lecture","51950R","001","7:00-9:50pm","Thursday","40","10","0","Darry Sragow","VKC156"
"POSC-323","Applied Politics","","4.0 units, max 12"
"","Civic Engagement and Leadership","","4.0","Lecture","51958R","001","2:00-4:50pm","Tuesday","15","11","0","Ann Crigler","VKC204"
"","Values Based Political Leadership and Public Policy","","4.0","Lecture","51960R","001","5:00-7:50pm","Tuesday","35","18","0","Anthony Portantino","VKC201"
"","Great Races: From City Hall to the White House","","4.0","Lecture","51962R","001","12:00-1:50pm","Mon, Wed","35","18","0","Robert Shrum","VKC203"
"POSC-345","International Law","","4.0 units","Lecture","52000R","001","12:30-1:50pm","Tue, Thu","120","107","0","Alison Renteln","THH102"
"POSC-351","Middle East Politics","","4.0 units","Lecture","52020R","001","3:30-6:20pm","Wednesday","40","39","0","Fayez Hammad","THH118"
"POSC-352","Politics of Southeast Asia","","4.0 units","Lecture","52050R","001","10:00-11:50am","Mon, Wed","35","6","0","Jinhee Choung","VKC205"
"POSC-355","Politics of East Asia","","4.0 units","Lecture","52055R","001","8:30-9:50am","Mon, Wed","35","24","0","Jinhee Choung","VKC260"
"POSC-370","European Political Thought I","","4.0 units","Lecture","52060R","001","3:30-4:50pm","Mon, Wed","45","44","0","Anthony Kammas","VKC102"
"POSC-380","Political Theories and Social Reform","","2.0-4.0 units","Lecture","52070R","001","10:00-11:50am","Mon, Wed","50","50","0","Anthony Kammas","VKC102"
"POSC-391","Honors I: Undergraduate Seminar","","4.0 units","Lecture","52083D","001","2:00-4:50pm","Wednesday","15","9","0","Dennis Chong","VKC204"
"POSC-395","Directed Governmental and Political Leadership Internship","","2.0-8.0 units, max 8","Lecture","52086D","001","TBA","TBA","70","41","0","Arthur Auerbach","VKC263"
"","","","","Lecture","52088D","001","TBA","TBA","30","15","0","Arthur Auerbach","VKC263"
"POSC-398","Trial Advocacy: Theory and Practice","","1.0-4.0 units, max 8","Lecture","52092D","001","7:00-8:50pm","Tue, Thu","12","7","0","Olu Orange, Hooman Kazemi","VKC153"
"","","","","Lecture","52094D","001","7:00-8:50pm","Tue, Thu","25","3","0","Olu Orange, Hooman Kazemi","VKC154"
"","","","","Lecture","52096D","001","7:00-8:50pm","Tue, Thu","25","4","0","Olu Orange, Hooman Kazemi","VKC152"
