"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PPD-225","Public Policy and Management","","4.0 units","Lecture","51101R","001","10:00-11:50am","Mon, Wed","75","74","0","Nicole Esparza","RGL101"
"","","","","Lecture","51103R","001","2:00-3:50pm","Tue, Thu","45","39","0","Kathleen Doherty","VPD112"
"PPD-227","Urban Planning and Development","","4.0 units","Lecture","51149R","001","10:00-11:50am","Mon, Wed","50","43","0","Alan Kreditor","RGL100"
"PPD-240","Citizenship and Public Ethics","","4.0 units","Lecture","51107R","001","2:00-3:50pm","Tue, Thu","45","44","0","Terry Cooper","RGL101"
"","","","","Lecture","51140R","001","12:00-1:50pm","Tue, Thu","49","48","0","William Resh","RGL100"
"PPD-245","The Urban Context for Policy and Planning","","4.0 units","Lecture","51109R","001","10:00-11:50am","Tue, Thu","45","44","0","Martin Krieger","RGL101"
"","","","","Lecture","51110R","001","2:00-3:50pm","Mon, Wed","45","44","0","Dowell Myers","RGL101"
"PPD-301","PPD Practices: Internship Seminar","","2.0 units","Lecture","51126D","001","6:30-8:20pm","Wednesday","43","42","0","Aggie Afarinesh","VPD116"
"PPD-303","Statistics for Policy, Planning, and Development","","4.0 units","Lecture","51102R","001","6:00-9:20pm","Monday","40","40","0","Mark Velez","RGL100"
"","","","","Lecture","51105R","001","6:00-9:20pm","Thursday","32","31","0","Ray Gonzales","ZHS163"
"PPD-306","Visual Methods in Policy, Management, Planning and Development","","4.0 units","Lecture","51104R","001","4:00-5:50pm","Mon, Wed","32","14","0","Daniel Inloes Jr","LVL13"
"PPD-313","Finance of the Public Sector","P","4.0 units","Lecture","51113R","001","4:00-5:50pm","Tue, Thu","32","8","0","Mark Phillips","VPD112"
"PPD-315","Analytic Foundations for Public Policy","","4.0 units","Lecture","51106R","001","4:00-5:50pm","Mon, Wed","32","20","0","Pamela McCann","RGL101"
"PPD-316","Human Resource Management for Public Organizations","","4.0 units","Lecture","51114R","001","6:00-9:20pm","Monday","32","0","0","Marcella Marlowe",""
"PPD-318","Financial Accounting in Public and Non-Profit Organizations","","4.0 units","Lecture","51115R","001","6:00-9:20pm","Monday","32","27","0","Robert Smythe","VKC210"
"PPD-325","Fundamentals of Health Policy and Management","","4.0 units","Lecture","51108R","001","12:00-1:50pm","Mon, Wed","32","26","0","Dana Goldman, Geoffrey Joyce","VPD110"
"PPD-330","Introduction to Health Care Systems","","4.0 units","Lecture","51117R","001","9:00-12:20pm","Friday","32","17","0","Glenn Melnick","VKC261"
"PPD-342","Crime and Public Policy","","4.0 units","Lecture","51118R","001","6:00-9:20pm","Tuesday","32","28","0","Tomson Ong","VPD112"
"PPD-353","Introduction to Philanthropy and Grant-Writing","","4.0 units","Lecture","51151R","001","6:00-9:20pm","Thursday","32","0","0","Veronica Flores",""
"PPD-357","Government and Business","P","4.0 units","Lecture","51139R","001","10:00-11:50am","Mon, Wed","60","56","0","Michael Thom","VPD112"
"PPD-360","Urban Transportation Planning and Policy","","4.0 units","Lecture","51116R","001","6:00-9:20pm","Tuesday","32","14","0","Michael Kodama","VKC252"
"PPD-362","Real Estate Fundamentals for Planning and Development","","4.0 units","Lecture","51122R","001","6:30-9:50pm","Tuesday","41","41","0","James Osterling","THH114"
"","","","","Lecture","51160R","001","6:00-9:20pm","Thursday","36","36","0","Bret Nielsen","VKC203"
"PPD-371","The Nonprofit Sector and the Public Interest","","4.0 units","Lecture","51123R","001","12:00-1:50pm","Tue, Thu","32","30","0","Veronica Flores","RGL209"
"PPD-373","Public Policy and Planning Analysis","P","4.0 units","Lecture","51112R","001","12:00-1:50pm","Mon, Wed","75","62","0","Jennifer Miller","RGL101"
"PPD-413","Administration of Health Care Organizations","","4.0 units","Lecture","51147R","001","6:00-9:20pm","Thursday","32","17","0","Richard Hagy","RGL215"
"PPD-417","History of Planning and Development","","4.0 units","Lecture","51138R","001","12:00-1:50pm","Mon, Wed","57","56","0","Todd Gish","VPD112"
"PPD-431","Undergraduate Policy, Planning, and Development Studio","C","4.0 units","Lecture","51120D","001","4:00-5:50pm","Tue, Thu","26","26","0","Tomas Duran","VKC156"
"","","","","Lecture","51128D","001","4:00-5:50pm","Mon, Wed","24","20","0","John Loper","GFS213"
"PPD-435","Analyzing Real Estate Markets for Planning and Development","","4.0 units","Lecture","51145R","001","12:00-1:50pm","Tue, Thu","32","31","0","Austin Anderson","RGL219"
"PPD-437","Advanced Finance and Investment for Planning and Development","P","4.0 units","Lecture","51171R","001","6:00-9:20pm","Monday","51","50","0","Ryan Millsap","VKC156"
"PPD-438","Local Economic Development","","4.0 units","Lecture","51121R","001","2:00-5:20pm","Friday","29","12","0","Deepak Bahl","VKC205"
"PPD-439","Housing and Community Development","","4.0 units","Lecture","51132R","001","6:30-9:50pm","Wednesday","47","44","0","Janis Breidenbach","VKC156"
"PPD-461","Sustainable Communities, Policy and Planning","","4.0 units","Lecture","51154R","001","4:00-5:50pm","Tue, Thu","32","28","0","Jovanna Rosen","THH119"
"PPD-485m","U.S. Immigration Policy","","4.0 units","Lecture","51153R","001","6:00-9:20pm","Wednesday","32","16","0","Michelle Carey","VKC258"
"PPD-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","51135D","001","TBA","TBA","10","1","0","Lavonna Lewis","OFFICE"
"","","","","Lecture","51136D","001","TBA","TBA","10","0","0","Lavonna Lewis","OFFICE"
"PPD-497a","Senior Thesis","C","2.0 units","Lecture","51146D","001","TBA","Tuesday","10","2","0","Lavonna Lewis","OFFICE"
"PPD-499","Special Topics","","2.0-4.0 units, max 8"
"","Real Estate Valuation and Transactions","","2.0","Lecture","51175R","001","6:30-8:20pm","Tuesday","30","24","0","Jay Glaubach","VPD106"
"PPD-500","Intersectoral Leadership","","2.0 units","Lecture","51200R","001","12:00-1:50pm","Tuesday","31","31","0","Frank Zerunyan","VPD110"
"","","","","Lecture","51201R","001","10:00-11:50am","Tuesday","30","25","0","Frank Zerunyan","RGL209"
"","","","","Lecture","51202R","001","12:00-1:50pm","Thursday","26","25","0","Diane Yoder","VPD110"
"","","","","Lecture","51203R","001","6:00-7:50pm","Monday","29","29","0","Donald Morgan","VKC154"
"","","","","Lecture","51204R","001","TBA","TBA","26","26","0","Bill Kelly","OFFICE"
"","","","","Lecture","51205R","001","8:00-9:50pm","Monday","26","23","0","Donald Morgan","VKC154"
"","","","","Lecture","51206R","001","6:00-7:50pm","Wednesday","27","22","0","Scott Ochoa","WPH B30"
"","","","","Lecture","51297R","001","6:00-7:50pm","Tuesday","29","29","0","Clifford Graves","THH215"
"","","","","Lecture","51460D","593","TBA","TBA","40","35","0","William Leach, Minzi Su</a>","ONLINE"
"PPD-501a","Economics for Policy, Planning and Development","","2.0 units","Lecture","51300R","595","2:00-5:20pm","Thursday","45","41","0","Dan Wei","RGL100"
"","","","","Lecture","51301R","546","2:00-5:20pm","Wednesday","60","48","0","John Romley","VPD112"
"","","","","Lecture","51302R","595","6:00-9:20pm","Tuesday","60","57","0","Mark Phillips","RGL101"
"","","","","Lecture","51303R","546","6:00-9:20pm","Wednesday","60","39","0","Glenn Daley","RGL101"
"","","","","Lecture","51432D","564","TBA","TBA","27","27","0","Robert Ingenito","SACRAMENTO"
"PPD-501b","Economics for Policy, Planning and Development","P","2.0 units","Lecture","51304R","596","6:00-9:20pm","Tuesday","60","57","0","Mark Phillips","RGL101"
"","","","","Lecture","51305R","547","2:00-5:20pm","Wednesday","60","47","0","John Romley","VPD112"
"","","","","Lecture","51306R","547","6:00-9:20pm","Wednesday","60","28","0","Glenn Daley","RGL101"
"","","","","Lecture","51307R","596","2:00-5:20pm","Thursday","45","40","0","Dan Wei","RGL100"
"","","","","Lecture","51430D","564","TBA","TBA","25","22","0","Robert Ingenito","SACRAMENTO"
"PPD-502x","Statistical Foundations for Public Management and Policy","","2.0 units","Lecture","51285R","001","6:00-7:50pm","Tuesday","34","32","0","Mark Velez","THH116"
"","","","","Lecture","51395D","597","6:00-7:50pm","Thursday","60","41","0","Vi-Nhuan Le","ONLINE"
"","","","","Lecture","51461D","593","TBA","TBA","40","32","0","","ONLINE"
"PPD-508","Health Care Operations Improvement","","3.0 units","Lecture","31508D","048","6:40-9:20pm","Wednesday","35","32","0","David Belson","OHE100D"
