"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PPDE-632","Sustainable Cities","","4.0 units","Lecture","50900R","001","2:00-5:20pm","Monday","25","11","0","Robert Vos","VKC256"
"PPDE-633","Communicating City Design: Positions and Representations","","2.0 units","Lecture","50902R","001","7:00-8:50pm","Wednesday","25","13","0","Vinayak Bharne","VKC257"
"PPDE-634","Methodology, Methods and Tools for Urban Sustainability","","2.0-4.0 units","Lecture","50903D","001","9:00-12:20pm","Monday","32","17","0","Hilda Blanco","RGL215"
"","","","","Lecture","50906D","001","12:00-1:50pm","Monday","32","9","0","Monica Gilchrist","RGL209"
"PPDE-635","Housing and Land Use in Rapidly Urbanizing Regions","","4.0 units","Lecture","50907R","001","2:00-5:20pm","Tuesday","32","12","0","Annette Kim","RGL215"
"PPDE-646","Grant Writing Practicum","","2.0 units","Lecture","50905R","001","TBA","TBA","24","17","0","Kimberly Tso","OFFICE"
"PPDE-648","Performance Management","","2.0 units","Lecture","51072D","593","TBA","TBA","45","36","0","Tara Blanc, Minzi Su</a>","ONLINE"
"PPDE-649","International Development NGOs: Theory, Policy and Manageme","","4.0 units","Lecture","50904R","001","6:00-9:20pm","Tuesday","32","11","0","Rym Kaki","VKC210"
"PPDE-661","Methods for Equity Analysis","P","4.0 units","Lecture","50910R","001","2:00-5:20pm","Monday","30","28","0","Julie Zissimopoulos","VPD110"
"PPDE-662","China from a US Policy Perspective","","4.0 units","Lecture","50911R","001","9:00-12:20pm","Wednesday","32","12","0","Eric Heikkila","RGL215"
