"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PSCI-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-11:00am","Tue, Thu","90","52","0","Axel Schonthal, Wei Li, Qilong Ying, Bangyan Stiles, Chengyu Liang, Robert Chow, Ralf Langen, Austin Mircheff, Reymundo Dominguez, Curtis Okamoto, Yves Declerck, Steve Swenson, Randall Widelitz, Cheng-Ming Chuong, Tai-Lan Tuan, Pinghui Feng, Amir Goldkorn","MCH256"
"PSCI-556","Principal Research Approaches in PPSI","","2.0 units","Lecture","49056D","005","10:00-11:50am","Wednesday","25","8","0","Bangyan Stiles","OFFICE"
"PSCI-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"PSCI-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"PSCI-590","Directed Research","","1.0-12.0 units","Lecture","49020D","005","TBA","TBA","30","0","0","Curtis Okamoto","OFFICE"
"PSCI-594a","Master's Thesis","","2.0 units","Lecture","49024D","005","TBA","TBA","30","2","0","Curtis Okamoto","OFFICE"
"PSCI-594b","Master's Thesis","P","2.0 units","Lecture","49025D","005","TBA","TBA","30","0","0","Curtis Okamoto","OFFICE"
"PSCI-594z","Master's Thesis","P","0.0 units","Lecture","49026D","005","TBA","TBA","30","1","0","Curtis Okamoto","OFFICE"
"PSCI-664","Drug Discovery and Design","","4.0 units","Lecture","49030D","005","TBA","Tuesday","30","21","0","Clay Wang, Ian Haworth","OFFICE, OFFICE"
"PSCI-790","Research","","1.0-12.0 units","Lecture","49060D","005","TBA","TBA","30","18","0","Curtis Okamoto","OFFICE"
"PSCI-794a","Doctoral Dissertation","","2.0 units","Lecture","49070D","005","TBA","TBA","30","0","0","Curtis Okamoto","OFFICE"
"PSCI-794b","Doctoral Dissertation","P","2.0 units","Lecture","49071D","005","TBA","TBA","30","6","0","Curtis Okamoto","OFFICE"
"","","","","Lecture","49082D","005","TBA","TBA","20","0","0","Curtis Okamoto","TBA"
"PSCI-794c","Doctoral Dissertation","P","2.0 units","Lecture","49072D","005","TBA","TBA","30","2","0","Curtis Okamoto","OFFICE"
"PSCI-794d","Doctoral Dissertation","P","2.0 units","Lecture","49073D","005","TBA","TBA","30","3","0","Curtis Okamoto","OFFICE"
"PSCI-794z","Doctoral Dissertation","PC","0.0 units","Lecture","49074D","005","TBA","TBA","30","2","0","Curtis Okamoto","OFFICE"
