"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PSYC-100","Introduction to Psychology","","4.0 units","Lecture","52400R","001","9:30-10:50am","Tue, Thu","198","197","0","Ann Renken","SGM124"
"","","","","Discussion","52401R","001","8:30-9:20am","Tuesday","22","22","0","","SGM226"
"","","","","Discussion","52402R","001","12:00-12:50pm","Friday","22","21","0","","VKC105"
"","","","","Discussion","52403R","001","9:00-9:50am","Wednesday","22","22","0","","GFS104"
"","","","","Discussion","52404R","001","8:30-9:20am","Thursday","22","22","0","","SGM226"
"","","","","Discussion","52405R","001","11:00-11:50am","Wednesday","22","22","0","","GFS105"
"","","","","Discussion","52406R","001","1:00-1:50pm","Monday","22","22","0","","KAP113"
"","","","","Discussion","52407R","001","11:00-11:50am","Wednesday","22","22","0","","KAP145"
"","","","","Discussion","52408R","001","1:00-1:50pm","Monday","22","22","0","","VHE214"
"","","","","Discussion","52409R","001","12:00-12:50pm","Friday","22","22","0","","VKC106"
"","","","","Lecture","52410R","001","2:00-3:20pm","Mon, Wed","123","115","0","Stephen Madigan","SGM124"
"","","","","Discussion","52411R","001","9:00-9:50am","Wednesday","21","21","0","","GFS105"
"","","","","Discussion","52412R","001","9:00-9:50am","Tuesday","21","14","0","","KAP137"
"","","","","Discussion","52413R","001","12:00-12:50pm","Monday","22","22","0","","KAP113"
"","","","","Discussion","52414R","001","9:00-9:50am","Thursday","22","18","0","","KAP137"
"","","","","Discussion","52417R","001","11:00-11:50am","Friday","20","19","0","","KAP145"
"","","","","Discussion","52419R","001","12:00-12:50pm","Thursday","23","21","0","","KAP140"
"PSYC-201Lg","The Science of Happiness","","4.0 units","Lecture","52420R","001","2:00-3:20pm","Mon, Wed","225","223","0","John Monterosso","THH101"
"","","","","Lab","52422R","001","8:00-9:50am","Monday","25","24","0","","KAP166"
"","","","","Lab","52423R","001","8:00-9:50am","Wednesday","25","25","0","","KAP166"
"","","","","Lab","52424R","001","8:00-9:50am","Wednesday","25","25","0","","KAP167"
"","","","","Lab","52425R","001","10:00-11:50am","Monday","25","25","0","","SGM226"
"","","","","Lab","52426R","001","10:00-11:50am","Monday","25","25","0","","KAP145"
"","","","","Lab","52427R","001","10:00-11:50am","Friday","25","25","0","","GFS221"
"","","","","Lab","52428R","001","10:00-11:50am","Friday","25","25","0","","VHE214"
"","","","","Lab","52429R","001","12:00-1:50pm","Monday","25","25","0","","VHE210"
"","","","","Lab","52430R","001","12:00-1:50pm","Wednesday","25","24","0","","VHE210"
"","","","","Lecture","52744R","001","3:30-4:50pm","Mon, Wed","180","179","0","John Monterosso","THH101"
"","","","","Lab","52745R","001","12:00-1:50pm","Friday","20","20","0","","VKC161"
"","","","","Lab","52746R","001","12:00-1:50pm","Thursday","20","20","0","","KAP158"
"","","","","Lab","52747R","001","8:00-9:50am","Monday","20","20","0","","KAP134"
"","","","","Lab","52748R","001","8:00-9:50am","Monday","20","20","0","","KAP167"
"","","","","Lab","52749R","001","12:00-1:50pm","Wednesday","20","19","0","","VHE217"
"","","","","Lab","52750R","001","12:00-1:50pm","Wednesday","20","20","0","","WPH103"
"","","","","Lab","52751R","001","12:00-1:50pm","Tuesday","20","20","0","","KAP158"
"","","","","Lab","52752R","001","2:00-3:50pm","Tuesday","20","20","0","","KAP166"
"","","","","Lab","52753R","001","12:00-1:50pm","Wednesday","20","20","0","","VHE214"
"PSYC-240x","Scientific Inquiry and Reasoning","","4.0 units","Lecture","52658R","001","10:00-11:50am","Wed, Fri","35","10","0","Margaret Gatz","VPD106"
"PSYC-274L","Statistics I","P","4.0 units","Lecture","52450R","001","3:30-4:50pm","Tue, Thu","30","22","0","Ann Renken","THH114"
"","","","","Lab","52451R","001","10:00-11:50am","Thursday","17","13","0","","SGM631"
"","","","","Lab","52452R","001","2:00-3:50pm","Wednesday","18","9","0","","SGM631"
"","","","","Lab","52454R","001","4:00-5:50pm","Friday","15","0","0","",""
"","","","","Lecture","52455R","001","9:30-10:50am","Tue, Thu","38","38","0","David Walsh","SGM601"
"","","","","Lab","52456R","001","12:00-1:50pm","Thursday","17","16","0","","SGM631"
"","","","","Lab","52457R","001","2:00-3:50pm","Tuesday","16","11","0","","SGM631"
"","","","","Lab","52458R","001","10:00-11:50am","Monday","17","11","0","","KOH208"
"","","","","Lecture","52460R","001","12:30-1:50pm","Tue, Thu","37","37","0","David Walsh","SGM601"
"","","","","Lab","52461R","001","4:00-5:50pm","Tuesday","15","15","0","","SGM631"
"","","","","Lab","52462R","001","2:00-3:50pm","Friday","14","9","0","","SGM631"
"","","","","Lab","52463R","001","4:00-5:50pm","Thursday","14","13","0","","SGM631"
"","","","","Lecture","52470R","001","12:30-1:50pm","Tue, Thu","36","29","0","Rand Wilcox","MHP B7B"
"","","","","Lab","52471R","001","8:00-9:50am","Tuesday","18","13","0","","SGM631"
"","","","","Lab","52472R","001","12:00-1:50pm","Wednesday","18","16","0","","SGM631"
"","","","","Lab","52473R","001","2:00-3:50pm","Thursday","17","0","0","",""
"PSYC-275Lg","Language and Mind","","4.0 units","Lecture","38820R","001","2:00-3:20pm","Tue, Thu","120","85","0","Barry Schein, Toby Mintz","SGM124"
