"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PTE-411x","Introduction to Transport Processes in Porous Media","PM","3.0 units","Lecture","32200D","001","3:30-6:10pm","Wednesday","50","49","0","Kristian Jessen","OHE136"
"","","","","Lecture","32202D","014","3:30-6:10pm","Wednesday","20","6","0","Kristian Jessen","DEN@Viterbi"
"","","","","Lecture","32298D","001","2:00-4:40pm","Thursday","25","19","0","Kristian Jessen","KAP167"
"PTE-461","Formation Evaluation","","3.0 units","Lecture","32204D","001","11:00-1:40pm","Tuesday","70","61","0","Donald Hill","OHE136"
"","","","","Lecture","32206D","014","11:00-1:40pm","Tuesday","25","5","0","Donald Hill","DEN@Viterbi"
"","","","","Lecture","32299D","001","6:20-9:00pm","Monday","25","20","0","Donald Hill","KAP159"
"PTE-463L","Introduction to Transport Processes in Porous Media","P","3.0 units","Lecture","32208D","001","3:30-6:10pm","Wednesday","30","29","0","Kristian Jessen","OHE136"
"","","","","Lab","32210D","001","3:00-5:30pm","Monday","8","8","0","Kristian Jessen","PCE313"
"","","","","Lab","32280D","001","4:00-6:30pm","Friday","5","5","0","Kristian Jessen","PCE313"
"","","","","Lab","32288D","001","3:30-6:00pm","Tuesday","9","8","0","Kristian Jessen","PCE313"
"","","","","Lab","32290D","001","3:30-6:00pm","Thursday","8","8","0","Kristian Jessen","PCE313"
"PTE-465L","Drilling Technology and Subsurface Methods","P","3.0 units","Lecture","32212D","001","5:30-8:00pm","Tuesday","30","30","0","Bradford Pierce","KAP146"
"","","","","Lab","32214D","001","8:10-9:10pm","Tuesday","30","30","0","Bradford Pierce","PCE313"
"PTE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","32216D","001","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-500","Computational Reservoir Modeling","M","3.0 units","Lecture","32205D","048","3:30-6:10pm","Monday","76","33","0","Behnam Jafarpour","OHE136"
"","","","","Lecture","32207D","034","3:30-6:10pm","Monday","20","2","0","Behnam Jafarpour","DEN@Viterbi"
"PTE-503","Technology of Unconventional Oil &amp; Gas Resources Development","C","3.0 units","Lecture","32220D","034","5:00-7:40pm","Tuesday","20","4","0","Iraj Ershaghi","DEN@Viterbi"
"","","","","Lecture","32222D","048","5:00-7:40pm","Tuesday","76","64","0","Iraj Ershaghi","OHE136"
"PTE-507","Engineering and Economic Evaluation of Subsurface Reservoirs","P","3.0 units","Lecture","32276D","048","6:40-9:20pm","Thursday","85","72","0","Ehsan Tajer","OHE122"
"","","","","Lecture","32278D","034","6:40-9:20pm","Thursday","20","15","0","Ehsan Tajer","DEN@Viterbi"
"PTE-519","Integrated Physical and Cyber Security for Oil and Gas Operations","C","3.0 units","Lecture","32292D","048","12:30-3:10pm","Wednesday","76","20","0","Donald Paul","OHE136"
"","","","","Lecture","32294D","034","12:30-3:10pm","Wednesday","15","3","0","Donald Paul","DEN@Viterbi"
"PTE-542","Carbonate Rocks","","2.0 units","Lecture","32282D","048","12:30-2:10pm","Monday","76","47","0","George Chilingar","OHE136"
"","","","","Lecture","32284D","034","12:30-2:10pm","Monday","15","6","0","George Chilingar","DEN@Viterbi"
"PTE-582","Fluid Flow and Transport Processes in Porous Media","","3.0 units","Lecture","32268D","048","6:40-9:20pm","Wednesday","76","55","0","Victor Ziegler","OHE136"
"","","","","Lecture","32270D","034","6:40-9:20pm","Wednesday","18","16","0","Victor Ziegler","DEN@Viterbi"
"PTE-586","Intelligent and Collaborative Oilfield Systems Characterization and Management","C","3.0 units","Lecture","32272D","048","11:00-1:40pm","Thursday","76","41","0","Fred Aminzadeh","OHE136"
"","","","","Lecture","32274D","034","11:00-1:40pm","Thursday","25","7","0","Fred Aminzadeh","DEN@Viterbi"
"PTE-590","Directed Research","","1.0-12.0 units","Lecture","32246D","048","TBA","TBA","30","14","0","Iraj Ershaghi","OFFICE"
"PTE-594a","Master's Thesis","C","2.0 units","Lecture","32248D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-594z","Master's Thesis","PC","0.0 units","Lecture","32252D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-690","Directed Research","","1.0-4.0 units, max 8","Lecture","32254D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-790","Research","","1.0-12.0 units","Lecture","32256D","048","TBA","TBA","15","10","0","Iraj Ershaghi","OFFICE"
"PTE-794a","Doctoral Dissertation","","2.0 units","Lecture","32228D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32229D","048","TBA","TBA","15","2","0","Iraj Ershaghi","OFFICE"
"PTE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32262D","048","TBA","TBA","15","1","0","Iraj Ershaghi","OFFICE"
"PTE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32264D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32266D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
