"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PUBD-502","Historical and Comparative Approaches to Public Diplomacy","","4.0 units","Lecture","52802D","001","2:00-4:50pm","Tuesday","30","25","0","Nick Cull","ASC328"
"PUBD-504","Global Issues and Public Diplomacy","","4.0 units","Lecture","52804D","001","2:00-4:50pm","Wednesday","30","24","0","Robert Banks","ANN406"
"PUBD-518","International Exchanges and Public Diplomacy","","4.0 units","Lecture","52818D","001","2:00-4:50pm","Thursday","18","13","0","Robert Banks","ANN305"
"PUBD-519","News Media and the Foreign Policy Process","","4.0 units","Lecture","52819D","001","9:00-11:50am","Thursday","16","15","0","Philip Seib","ASC331"
"PUBD-520","Regional Studies in Public Diplomacy","","4.0 units, max 16"
"","Latin America","","4.0","Lecture","52821D","001","9:00-11:50am","Wednesday","16","7","0","Pamela Starr","ANN210"
"PUBD-590","Directed Research","","1.0-12.0 units","Lecture","52891D","001","TBA","TBA","10","0","0","Nick Cull","OFFICE"
"","","","","Lecture","52892D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52893D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52894D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52895D","001","TBA","TBA","10","0","0","","OFFICE"
"PUBD-596","Practicum in Public Diplomacy Research","","4.0 units","Lecture","52896D","001","TBA","TBA","15","5","0","Nick Cull","OFFICE"
"PUBD-599","Special Topics","","2.0-4.0 units, max 8"
"","Military Strategic Communication and Public Diplomacy","","4.0","Lecture","52898D","001","2:00-4:50pm","Wednesday","18","0","0","",""
