"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"RED-509","Market Analysis for Real Estate","P","4.0 units","Lecture","51600D","038","2:00-5:20pm","Tuesday","40","27","0","Raphael Bostic, Robert Saunders","RGL100"
"","","","","Lecture","51601D","038","6:00-9:30pm","Monday","32","11","0","Raphael Bostic, Robert Saunders","RGL209"
"RED-510","Real Estate Practice and Principles","","4.0 units","Lecture","51602R","038","10:00-11:50am","Mon, Wed","30","12","0","Mark Ruff","RGL209"
"RED-511","Foundations of Real Estate Analysis","P","4.0 units","Lecture","51603R","038","8:00-9:50am","Mon, Wed","30","20","0","John Loper","RGL209"
"RED-542","Finance of Real Estate Development","P","3.0 units","Lecture","51605D","038","6:00-8:50pm","Thursday","25","15","0","Allan Kotin, Alon Kraft","RGL209"
"","","","","Lab","51606R","038","4:00-5:50pm","Thursday","25","14","0","Iain Gulin","SOS B52"
"RED-544","Real Estate Capital Markets","P","2.0 units","Lecture","51607D","038","6:30-8:20pm","Wednesday","60","38","0","Shlomi Ronen","VPD112"
"RED-551","The Approval Process","","4.0 units","Lecture","51608D","038","9:00-11:50am","Thursday","32","22","0","Michael Keston","RGL209"
"RED-562","Legal Issues in Real Estate Development","","4.0 units","Lecture","51609D","038","8:00-11:50am","Monday","32","20","0","Keith Allen-Niesen","RGL219"
"RED-563","Introduction to the Asset Management of Real Estate","","2.0 units","Lecture","51610D","038","8:00-9:50am","Tuesday","26","24","0","Stanley Iezman","RGL100"
"RED-574","Building Typologies","","2.0 units","Lecture","51612D","038","4:00-5:50pm","Wednesday","36","31","0","Carl Meyer, Shawn Godkin","VPD106"
"","","","","Lecture","51613D","038","6:00-7:50pm","Wednesday","30","8","0","Carl Meyer, Shawn Godkin","RGL215"
"RED-590","Directed Research","","1.0-12.0 units","Lecture","51614D","038","TBA","TBA","10","0","0","Christian Redfearn","OFFICE"
"RED-598","Real Estate Product Development","","2.0-4.0 units, max 12","Lecture","51615D","038","6:00-7:50pm","Tuesday","25","15","0","Marcus Cook","VPD110"
"","","","","Lecture","51616D","038","6:00-7:50pm","Monday","40","13","0","Andrew Gross","VPD106"
