"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"REL-111g","The World of the Hebrew Bible","","4.0 units","Lecture","60000R","001","2:00-3:20pm","Mon, Wed","100","96","0","Bruce Zuckerman","ZHS159"
"","","","","Discussion","60001R","001","1:00-1:50pm","Monday","25","24","0","Elke Nash","THH106"
"","","","","Discussion","60002R","001","1:00-1:50pm","Wednesday","24","24","0","Neil Aitken","VHE206"
"","","","","Discussion","60003R","001","11:00-11:50am","Monday","25","23","0","Elke Nash","VKC260"
"","","","","Discussion","60029R","001","11:00-11:50am","Wednesday","25","25","0","Neil Aitken","SOS B37"
"REL-112g","Religions of Egypt and the Ancient Near East","","4.0 units","Lecture","60050R","001","11:00-12:20pm","Tue, Thu","51","50","0","Lynn Dodd","THH210"
"","","","","Discussion","60127R","001","2:00-2:50pm","Tuesday","26","24","0","Suraj Shankar","VKC155"
"","","","","Discussion","60128R","001","2:00-2:50pm","Thursday","26","26","0","Suraj Shankar","THH215"
"REL-125g","Introduction to Christianity","","4.0 units","Lecture","60014R","001","12:30-1:50pm","Tue, Thu","100","97","0","David Albertson","MRF340"
"","","","","Discussion","60015R","001","2:00-2:50pm","Monday","25","25","0","Ericka Swensson","VHE206"
"","","","","Discussion","60016R","001","3:00-3:50pm","Tuesday","25","23","0","Ericka Swensson","WPH107"
"","","","","Discussion","60017R","001","2:00-2:50pm","Wednesday","25","24","0","Ericka Swensson","VHE206"
"","","","","Discussion","60018R","001","2:00-2:50pm","Thursday","25","25","0","Ericka Swensson","GFS229"
"REL-137g","Introduction to Islam","","4.0 units","Lecture","60042R","001","11:00-12:20pm","Tue, Thu","115","115","0","Sherman Jackson","SGM101"
"","","","","Discussion","60043R","001","1:00-1:50pm","Tuesday","30","30","0","Maytha Alhassen","SOS B37"
"","","","","Discussion","60044R","001","1:00-1:50pm","Thursday","30","30","0","Sana Tayyen","SOS B37"
"","","","","Discussion","60045R","001","2:00-2:50pm","Tuesday","26","26","0","Maytha Alhassen","VKC261"
"","","","","Discussion","60046R","001","2:00-2:50pm","Thursday","29","28","0","Sana Tayyen","VKC256"
"REL-146g","American Spirituality: Radicals, Rebels and Freethinkers","","4.0 units","Lecture","60078R","001","11:00-12:20pm","Tue, Thu","100","97","0","Diane Winston","WPH B27"
"","","","","Discussion","60080R","001","9:00-9:50am","Tuesday","25","23","0","Christina Copland","THH121"
"","","","","Discussion","60081R","001","10:00-10:50am","Tuesday","26","25","0","Christina Copland","THH121"
"","","","","Discussion","60082R","001","9:00-9:50am","Thursday","25","24","0","David Neumann","THH121"
"","","","","Discussion","60083R","001","10:00-10:50am","Thursday","25","25","0","David Neumann","THH121"
"REL-301","Introduction to the Study of Religion","","4.0 units","Lecture","60055D","001","2:00-4:50pm","Thursday","19","0","0","Lori Meeks",""
"REL-325","Religious Experience in the Greco-Roman World","","4.0 units","Lecture","60063D","001","9:30-10:50am","Tue, Thu","2","0","0","Cavan Concannon",""
"REL-331","Religions of East Asia","","4.0 units","Lecture","60066R","001","2:00-4:50pm","Thursday","18","4","0","Rongdao Lai","VKC204"
"REL-339","Studies in the History of Christianity","","4.0 units","Lecture","60072R","001","12:30-1:50pm","Tue, Thu","19","5","0","Cavan Concannon","VPD107"
"REL-340","Introduction to Indian Philosophy","","4.0 units","Lecture","60084R","001","2:00-4:50pm","Tuesday","19","19","0","Rita Sherma","THH B10"
"REL-364","Religion and Ethics","","4.0 units","Lecture","60086R","001","11:00-12:20pm","Tue, Thu","19","8","0","David Albertson","ZHS360"
"REL-442","Religion and Science","","4.0 units","Lecture","60115R","001","2:00-3:20pm","Mon, Wed","10","4","0","Sheila Briggs","THH211"
"REL-462","Religion and Violence","","4.0 units","Lecture","60125R","001","2:00-4:50pm","Monday","19","6","0","James Heft","VKC257"
"REL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","60150D","001","TBA","TBA","10","8","0","","OFFICE"
"","","","","Lecture","60151D","001","TBA","TBA","20","0","0","","OFFICE"
"REL-491x","Undergraduate Honors Research","MC","4.0 units","Lecture","60155D","001","TBA","TBA","10","1","0","","OFFICE"
"REL-590","Directed Research","","1.0-12.0 units","Lecture","60160D","001","TBA","TBA","10","1","0","","OFFICE"
"REL-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
"REL-599","Special Topics","","2.0-4.0 units, max 8"
"","Readings in Chinese Buddhism","","4.0","Lecture","60166D","001","3:00-5:50pm","Wednesday","10","3","0","Rongdao Lai","THH221"
