"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"RSCI-520","Introduction to Risk Management for Health Care Providers","","2.0 units","Lecture","49120D","679","TBA","TBA","50","34","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-521","Seminars in Regulatory Science","","1.0 units, max 6","Lecture","49121D","695","TBA","TBA","50","2","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"","","","","Lecture","49122D","818","TBA","TBA","50","5","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson, Daryl Davies","OFFICE"
"","","","","Lecture","49123D","626","TBA","TBA","50","7","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-530","Translational Medicine: An Overview","","2.0 units","Lecture","49130D","695","TBA","TBA","50","29","0","Frances Richmond, Eunjoo Pacifici, Daryl Davies, Michael Jamieson","OFFICE"
"RSCI-533","Safety Evaluation during Drug Development","","3.0 units","Lecture","49133D","679","TBA","TBA","50","6","0","Frances Richmond, Eunjoo Pacifici, Daryl Davies, Michael Jamieson, Kathleen Rodgers","OFFICE"
"RSCI-540","Analysis of Food and Dietary Supplement Regulations","","3.0 units","Lecture","49140D","892","TBA","TBA","50","12","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-590","Directed Research","","1.0-12.0 units, max 12","Lecture","49109D","695","TBA","TBA","50","10","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-596","Internship for Curricular Practical Training in Regulatory Science","","1.0 units, max 4","Lecture","49119D","695","TBA","TBA","50","4","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"","","","","Lecture","49141D","624","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-605","Managing Organizations and Human Resources","","3.0 units","Lecture","49105D","695","TBA","TBA","50","17","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-606","Regulation of Emerging Technologies and Biological Products","","3.0 units","Lecture","49106D","679","TBA","TBA","50","9","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-790","Directed Research","","1.0-12.0 units, max 12","Lecture","49144D","695","TBA","TBA","50","8","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-794a","Doctoral Dissertation","","2.0 units","Lecture","49145D","695","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-794b","Doctoral Dissertation","P","2.0 units","Lecture","49146D","695","TBA","TBA","50","2","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-794c","Doctoral Dissertation","P","2.0 units","Lecture","49147D","695","TBA","TBA","50","1","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-794d","Doctoral Dissertation","P","2.0 units","Lecture","49148D","695","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"RSCI-794z","Doctoral Dissertation","P","0.0 units","Lecture","49149D","695","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
