"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SAE-496","Systems Engineering Through Motorsports","","3.0 units","Lecture","32386R","001","3:30-6:10pm","Thursday","20","20","0","Stan Settles","KAP158"
"SAE-541","Systems Engineering Theory and Practice","","3.0 units","Lecture","32311D","034","6:40-9:20pm","Tuesday","25","23","0","Frank Alvidrez","DEN@Viterbi"
"","","","","Lecture","32341D","048","6:40-9:20pm","Tuesday","12","10","0","Frank Alvidrez","RTH115"
"SAE-542","Advanced Topics in Systems Engineering","P","3.0 units","Lecture","32312D","034","6:40-9:20pm","Monday","20","18","0","George Friedman","DEN@Viterbi"
"","","","","Lecture","32342D","048","6:40-9:20pm","Monday","10","3","0","George Friedman","OHE120"
"SAE-547","Model-Based Systems Architecting and Engineering","","3.0 units","Lecture","32317D","034","6:40-9:20pm","Tuesday","24","21","0","Azad Madni, Michael Sievers","DEN@Viterbi"
"","","","","Lecture","32347D","048","6:40-9:20pm","Tuesday","8","6","0","Azad Madni, Michael Sievers","RTH105"
"SAE-549","Systems Architecting","","3.0 units","Lecture","32319D","034","3:30-6:10pm","Tuesday","30","26","0","Azad Madni","DEN@Viterbi"
"","","","","Lecture","32349D","048","3:30-6:10pm","Tuesday","20","13","0","Azad Madni","OHE100C"
"SAE-550","Systems Architecting and the Political Process","","3.0 units","Lecture","32320D","034","6:40-9:20pm","Monday","20","16","0","Ken Cureton","DEN@Viterbi"
"","","","","Lecture","32350D","048","6:40-9:20pm","Monday","8","2","0","Ken Cureton","RTH115"
"SAE-551","Lean Operations","","3.0 units","Lecture","32321D","034","5:10-7:50pm","Friday","18","15","0","Theodore Mayeshiba","DEN@Viterbi"
"","","","","Lecture","32351D","048","5:10-7:50pm","Friday","28","18","0","Theodore Mayeshiba","OHE120"
"SAE-590","Directed Research","","1.0-12.0 units","Lecture","32390D","048","TBA","TBA","10","0","0","","OFFICE"
"SAE-599","Special Topics","","2.0-4.0 units, max 8"
"","Resilient, Cyber Secure Systems &amp; Systems-of-Systems","","3.0","Lecture","32368D","034","6:40-9:20pm","Thursday","20","8","0","Ken Cureton","DEN@Viterbi"
"","Resilient, Cyber Secure Systems &amp; System-of-Systems","","3.0","Lecture","32399D","048","6:40-9:20pm","Thursday","10","2","0","Ken Cureton","RTH109"
