"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTR-100Lxg","The Universe","","4.0 units","Quiz","50811R","001","TBA","TBA","180","173","0","","OFFICE"
"","","","","Lecture","50810R","001","2:00-3:20pm","MWF","180","174","0","Edward Rhodes","SLH200"
"","","","","Lab","50812R","001","10:00-11:50am","Wednesday","16","14","0","Joseph Vandiver","SGM313"
"","","","","Lab","50813R","001","10:00-11:50am","Thursday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50814R","001","12:00-1:50pm","Wednesday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50815R","001","12:00-1:50pm","Thursday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50816R","001","2:00-3:50pm","Tuesday","16","16","0","Joseph Vandiver","SGM313"
"","","","","Lab","50817R","001","2:00-3:50pm","Thursday","16","14","0","Joseph Vandiver","SGM313"
"","","","","Lab","50818R","001","4:00-5:50pm","Wednesday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50819R","001","4:00-5:50pm","Thursday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50821R","001","10:00-11:50am","Tuesday","16","13","0","Joseph Vandiver","SGM313"
"","","","","Lab","50822R","001","10:00-11:50am","Friday","16","11","0","Joseph Vandiver","SGM313"
"","","","","Lab","50823R","001","12:00-1:50pm","Tuesday","16","16","0","Joseph Vandiver","SGM313"
"","","","","Lab","50824R","001","12:00-1:50pm","Friday","16","15","0","Joseph Vandiver","SGM313"
"BISC-101Lxg","Cellular and Molecular Biology","","4.0 units","Lecture","13117R","001","2:00-3:20pm","Tue, Thu","60","43","0","Raffaella Ghittoni","THH114"
"","","","","Lab","13102R","001","11:00-12:50pm","Tuesday","20","11","0","Raffaella Ghittoni","ZHS258"
"","","","","Lab","13103R","001","11:00-12:50pm","Wednesday","20","17","0","Raffaella Ghittoni","ZHS258"
"","","","","Lab","13105R","001","11:00-12:50pm","Friday","20","15","0","Raffaella Ghittoni","ZHS258"
"BISC-104Lxg","How the Body Works: Topics in Human Physiology","","4.0 units","Lecture","13001R","001","1:00-1:50pm","MWF","120","116","0","Bruce Yazejian, Chien-Ping Ko</a>","THH102"
"","","","","Lab","13120D","001","10:00-11:50am","Tuesday","20","20","0","Sarah Vargas","ZHS372"
"","","","","Lab","13121D","001","10:00-11:50am","Wednesday","20","19","0","Sarah Vargas","ZHS372"
"","","","","Lab","13122D","001","10:00-11:50am","Thursday","20","20","0","Damian Wang","ZHS372"
"","","","","Lab","13126D","001","2:00-3:50pm","Tuesday","20","18","0","Sarah Vargas","ZHS372"
"","","","","Lab","13127D","001","2:00-3:50pm","Wednesday","20","19","0","Damian Wang","ZHS372"
"","","","","Lab","13128D","001","2:00-3:50pm","Thursday","20","20","0","Damian Wang","ZHS372"
"BISC-120Lg","General Biology: Organismal Biology and Evolution","","4.0 units","Lecture","13003R","001","2:00-3:20pm","Tue, Thu","305","271","0","Andrew Gracey, Oliver Rizk","THH101"
"","","","","Lecture","13003R","001","2:00-3:20pm","Tue, Thu","305","271","0","Andrew Gracey, Oliver Rizk","THH101"
"","","","","Lecture","13003R","001","2:00-3:20pm","Tue, Thu","305","271","0","Andrew Gracey, Oliver Rizk","THH101"
"","","","","Lecture","13004R","001","9:00-9:50am","MWF","300","155","0","Suzanne Edmands, Wiebke Ziebis, Oliver Rizk","THH101"
"","","","","Lecture","13004R","001","9:00-9:50am","MWF","300","155","0","Suzanne Edmands, Wiebke Ziebis, Oliver Rizk","THH101"
