"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BISC-102Lxg","Humans and Their Environment","","4.0 units","Lecture","13000R","001","9:30-10:50am","Tue, Thu","180","104","0","Dale Kiefer, James Moffett</a>","SAL101"
"","","","","Lab","13106R","001","2:00-3:50pm","Tuesday","24","21","0","Yang Han","ZHS257"
"","","","","Lab","13107R","001","12:00-1:50pm","Tuesday","24","24","0","Yang Han","ZHS257"
"","","","","Lab","13108R","001","12:00-1:50pm","Thursday","24","21","0","Homera Zadran","ZHS257"
"","","","","Lab","13109R","001","2:00-3:50pm","Thursday","24","9","0","Homera Zadran","ZHS257"
"","","","","Lab","13111R","001","4:00-5:50pm","Tuesday","24","9","0","Yang Han","ZHS257"
"","","","","Lab","13113R","001","2:00-3:50pm","Wednesday","24","20","0","Homera Zadran","ZHS257"
"BISC-150Lxg","The Nature of Human Health and Disease","","4.0 units","Lecture","13007R","001","9:30-10:50am","Tue, Thu","120","117","0","Oliver Rizk, Christa Bancroft","ZHS159"
"","","","","Lab","13212D","001","12:00-1:50pm","Wednesday","14","14","0","Alvin Kung","ZHS458"
"","","","","Lab","13213D","001","10:00-11:50am","Wednesday","14","13","0","Anh Vu","ZHS458"
"","","","","Lab","13214D","001","10:00-11:50am","Monday","14","13","0","Anh Vu","ZHS458"
"","","","","Lab","13215D","001","12:00-1:50pm","Monday","14","12","0","Matthew Wong","ZHS458"
"","","","","Lab","13216D","001","12:00-1:50pm","Tuesday","14","13","0","Matthew Wong","ZHS458"
"","","","","Lab","13219D","001","2:00-3:50pm","Wednesday","14","13","0","Alvin Kung","ZHS458"
"","","","","Lab","13220D","001","2:00-3:50pm","Monday","14","13","0","Matthew Wong","ZHS458"
"","","","","Lab","13221D","001","2:00-3:50pm","Tuesday","14","14","0","Alvin Kung","ZHS458"
"","","","","Lab","13223D","001","8:00-9:50am","Wednesday","14","12","0","Anh Vu","ZHS458"
"BISC-230Lxg","Brain, Mind, and Machines: Topics in Neuroscience","","4.0 units","Lecture","13250R","001","3:30-4:50pm","Tue, Thu","60","59","0","Bruce Yazejian","ZHS252"
"","","","","Lab","13253D","001","10:00-11:50am","Monday","20","19","0","Bruce Yazejian","ZHS372"
"","","","","Lab","13254D","001","10:00-11:50am","Friday","20","20","0","Bruce Yazejian","ZHS372"
"","","","","Lab","13256D","001","3:00-4:50pm","Friday","20","20","0","Bruce Yazejian","ZHS372"
"CHEM-203Lxg","Chemistry in Life: AIDS Drug Discovery and Development","","4.0 units","Lecture-Discussion","17368D","001","11:00-12:20pm","Tue, Thu","310","310","0","Rebecca Broyer, Matthew Pratt</a>","SGM123"
"","","","","Lab","17370D","001","10:00-11:50am","Wednesday","27","27","0","","SGM307"
"","","","","Lab","17372D","001","10:00-11:50am","Friday","27","27","0","","SGM307"
"","","","","Lab","17374D","001","12:00-1:50pm","Wednesday","27","27","0","","SGM307"
"","","","","Lab","17376D","001","12:00-1:50pm","Friday","27","27","0","","SGM307"
"","","","","Lab","17378D","001","2:00-3:50pm","Tuesday","27","27","0","","SGM307"
"","","","","Lab","17380D","001","2:00-3:50pm","Wednesday","27","27","0","","SGM307"
"","","","","Lab","17382D","001","2:00-3:50pm","Thursday","27","27","0","","SGM307"
"","","","","Lab","17384D","001","2:00-3:50pm","Friday","40","40","0","","SGM307"
"","","","","Lab","17386D","001","4:00-5:50pm","Tuesday","27","27","0","","SGM307"
"","","","","Lab","17388D","001","4:00-5:50pm","Wednesday","27","27","0","","SGM307"
"","","","","Lab","17390D","001","4:00-5:50pm","Thursday","27","27","0","","SGM307"
"GEOL-108Lg","Crises of a Planet","","4.0 units","Lecture","24858R","001","11:00-12:20pm","Tue, Thu","180","178","0","Thorsten Becker","SAL101"
"","","","","Lab","24863R","001","8:00-9:50am","Wednesday","20","20","0","Jessica Donovan","ZHS B54"
"","","","","Lab","24865R","001","8:00-9:50am","Friday","20","19","0","Guang-Sin Lu, Jessica Donovan","ZHS B54"
"","","","","Lab","24866R","001","10:00-11:50am","Wednesday","21","21","0","Jessica Donovan","ZHS B54"
"","","","","Lab","24867R","001","10:00-11:50am","Friday","20","19","0","Guang-Sin Lu, Jessica Donovan","ZHS B54"
"","","","","Lab","24868R","001","12:00-1:50pm","Wednesday","20","19","0","Jessica Donovan","ZHS B54"
"","","","","Lab","24870R","001","12:00-1:50pm","Friday","20","20","0","Guang-Sin Lu, Jessica Donovan","ZHS B54"
"","","","","Lab","24872R","001","2:00-3:50pm","Tuesday","20","20","0","Jessica Donovan, Michael Kaplan","ZHS B54"
"","","","","Lab","24874R","001","2:00-3:50pm","Wednesday","20","20","0","Jessica Donovan, Michael Kaplan","ZHS B54"
"","","","","Lab","24880R","001","4:00-5:50pm","Tuesday","20","20","0","Jessica Donovan, Michael Kaplan","ZHS B54"
"GEOL-125Lg","Earth History: A Planet and Its Evolution","","4.0 units","Lecture","24890R","001","2:00-3:20pm","Tue, Thu","120","120","0","David Bottjer","SAL101"
"","","","","Lab","24892R","001","8:00-9:50am","Thursday","20","20","0","Nathan Carroll","ZHS B56"
"","","","","Lab","24894R","001","10:00-11:50am","Wednesday","21","21","0","Nathan Carroll","ZHS B56"
"","","","","Lab","24896R","001","10:00-11:50am","Thursday","21","21","0","Carlie Pietsch","ZHS B56"
"","","","","Lab","24898R","001","12:00-1:50pm","Tuesday","20","18","0","Carlie Pietsch","ZHS B56"
"","","","","Lab","24900R","001","12:00-1:50pm","Wednesday","20","20","0","Carlie Pietsch","ZHS B56"
"","","","","Lab","24902R","001","2:00-3:50pm","Wednesday","20","20","0","Nathan Carroll","ZHS B56"
"GEOL-150Lg","Climate Change","","4.0 units","Lecture","24920R","001","10:00-10:50am","MWF","180","78","0","Lowell Stott","SAL101"
"","","","","Lab","24924R","001","8:00-9:50am","Tuesday","1","0","0","",""
"","","","","Lab","24926R","001","8:00-9:50am","Thursday","20","0","0","",""
"","","","","Lab","24928R","001","10:00-11:50am","Tuesday","20","15","0","Jun Shao","ZHS B54"
"","","","","Lab","24930R","001","10:00-11:50am","Thursday","20","10","0","Jun Shao",""
"","","","","Lab","24931R","001","12:00-1:50pm","Tuesday","20","8","0","Jianghao Wang","ZHS B54"
"","","","","Lab","24932R","001","12:00-1:50pm","Thursday","20","0","0","",""
"","","","","Lab","24934R","001","2:00-3:50pm","Thursday","20","10","0","Jianghao Wang","ZHS B54"
"","","","","Lab","24935R","001","2:00-3:50pm","Friday","20","16","0","Jun Shao","ZHS B54"
"","","","","Lab","24936R","001","4:00-5:50pm","Wednesday","20","19","0","Jianghao Wang","ZHS B54"
"GEOL-240Lg","Earthquakes","","4.0 units","Lecture","24950D","001","12:30-1:50pm","Tue, Thu","240","213","0","James Dolan","SAL101"
"","","","","Lab","24952R","001","8:00-9:50am","Tuesday","20","17","0","Jessica Grenader","ZHS B63"
"","","","","Lab","24954R","001","8:00-9:50am","Wednesday","20","17","0","Jessica Grenader","ZHS B63"
"","","","","Lab","24956R","001","8:00-9:50am","Friday","21","12","0","Xin Liu","ZHS B63"
"","","","","Lab","24958R","001","10:00-11:50am","Tuesday","20","20","0","Jessica Grenader","ZHS B63"
"","","","","Lab","24960R","001","10:00-11:50am","Wednesday","20","20","0","Yaman Ozakin","ZHS B63"
"","","","","Lab","24962R","001","10:00-11:50am","Friday","20","17","0","Alexandra Hatem","ZHS B63"
"","","","","Lab","24964R","001","12:00-1:50pm","Wednesday","20","18","0","Yaman Ozakin","ZHS B63"
"","","","","Lab","24966R","001","12:00-1:50pm","Friday","20","17","0","Alexandra Hatem","ZHS B63"
"","","","","Lab","24968R","001","2:00-3:50pm","Tuesday","20","20","0","Yaman Ozakin","ZHS B63"
"","","","","Lab","24970R","001","2:00-3:50pm","Thursday","20","19","0","Xin Liu","ZHS B63"
"","","","","Lab","24972R","001","2:00-3:50pm","Friday","20","18","0","Alexandra Hatem","ZHS B63"
"","","","","Lab","24974R","001","4:00-5:50pm","Thursday","20","18","0","Xin Liu","ZHS B63"
"GEOL-241Lg","Energy Systems","","4.0 units","Lecture","24975R","001","9:30-10:50am","Tue, Thu","159","128","0","Joshua West","MHP101"
"","","","","Lab","24977R","001","8:00-9:50am","Wednesday","23","23","0","Jessica Stellmann","ZHS B65"
"","","","","Lab","24979R","001","10:00-11:50am","Wednesday","23","22","0","Jessica Stellmann","ZHS B65"
"","","","","Lab","24981R","001","12:00-1:50pm","Tuesday","22","21","0","John Fleming","ZHS B65"
"","","","","Lab","24983R","001","12:00-1:50pm","Thursday","21","21","0","John Fleming","ZHS B65"
"","","","","Lab","24987R","001","2:00-3:50pm","Tuesday","22","21","0","John Fleming","ZHS B65"
"","","","","Lab","24989R","001","2:00-3:50pm","Thursday","21","20","0","Jessica Stellmann","ZHS B65"
"HBIO-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Mon, Wed","240","235","0","Craig Stanford","SGM123"
"","","","","Lab","38512R","001","8:00-9:50am","Monday","20","20","0","","AHF B10"
"","","","","Lab","38513R","001","8:00-9:50am","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38514R","001","8:00-9:50am","Wednesday","20","20","0","","GFS220"
"","","","","Lab","38515R","001","10:00-11:50am","Monday","20","20","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Wednesday","20","20","0","Stephanie Bogart","GFS220"
"","","","","Lab","38518R","001","12:00-1:50pm","Monday","20","20","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Wednesday","21","21","0","","GFS220"
"","","","","Lab","38537R","001","8:00-9:50am","Friday","20","17","0","Stephanie Bogart","AHF B10"
"","","","","Lab","38538R","001","10:00-11:50am","Friday","20","19","0","","AHF B10"
"","","","","Lab","38539R","001","12:00-1:50pm","Friday","20","18","0","Stephanie Bogart","AHF B10"
