"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101gm","Race and Class in Los Angeles","","4.0 units","Lecture","10310D","001","12:30-1:50pm","Tue, Thu","140","140","0","Chrisshonna Nieva","THH201"
"","","","","Discussion","10311R","001","10:00-10:50am","Monday","25","22","0","Luis Rodriguez","THH B9"
"","","","","Discussion","10312R","001","11:00-11:50am","Friday","25","24","0","Luis Rodriguez","THH217"
"","","","","Discussion","10313R","001","12:00-12:50pm","Friday","25","21","0","Luis Rodriguez","THH217"
"","","","","Discussion","10314D","001","10:00-10:50am","Thursday","26","25","0","Rebekah Garrison","VKC252"
"","","","","Discussion","10316R","001","10:00-10:50am","Tuesday","25","24","0","Rebekah Garrison","VKC252"
"","","","","Discussion","10317R","001","2:00-2:50pm","Monday","26","24","0","Luis Rodriguez","THH106"
"AMST-252gm","Black Social Movements in the U.S.","","4.0 units","Lecture","10381D","001","10:00-11:50am","Mon, Wed","144","114","0","Francille Wilson","GFS106"
"","","","","Discussion","10382R","001","10:00-10:50am","Friday","24","22","0","Joshua Mitchell, Francille Wilson","THH213"
"","","","","Discussion","10383R","001","11:00-11:50am","Tuesday","24","23","0","Stephanie Sparling, Francille Wilson","THH B10"
"","","","","Discussion","10384R","001","11:00-11:50am","Friday","24","14","0","Joshua Mitchell, Francille Wilson","THH213"
"","","","","Discussion","10385R","001","12:00-12:50pm","Thursday","24","14","0","Sabrina Howard, Francille Wilson","VKC257"
"","","","","Discussion","10386R","001","12:00-12:50pm","Tuesday","23","17","0","Stephanie Sparling, Francille Wilson","VKC257"
"","","","","Discussion","10387R","001","9:00-9:50am","Thursday","24","24","0","Sabrina Howard, Francille Wilson","VKC160"
"AMST-274gm","Exploring Ethnicity Through Film","","4.0 units","Discussion","10391R","001","4:00-4:50pm","Thursday","25","25","0","Haven Perez","WPH107"
"","","","","Discussion","10397R","001","3:00-3:50pm","Tuesday","26","26","0","Haven Perez","SGM226"
"","","","","Lecture","10390D","001","12:30-1:50pm","Tue, Thu","192","192","0","Lanita Jacobs","THH101"
"","","","","Discussion","10392R","001","9:00-9:50am","Friday","25","24","0","Jih-Fei Cheng","KAP165"
