"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SLL-120","Beginning Russian I","","4.0 units","Lecture","60202D","001","10:00-10:50am","MTuWTh","18","4","0","Daria Ivanova","THH107"
"","","","","Lecture","60204D","001","3:00-4:50pm","Tue, Thu","15","9","0","Laurel Schmuck","SOS B43"
"SLL-150","Beginning Russian II","P","4.0 units","Lecture","60208R","001","11:00-11:50am","MTuWTh","15","9","0","Ksenia Radchenko","THH113"
"SLL-199","Chess and Critical Thinking","","2.0 units","Lecture","60212R","001","5:00-6:50pm","Tuesday","25","21","0","John Peters III","THH118"
"","","","","Lecture","60214R","001","5:00-6:50pm","Thursday","25","15","0","John Peters III","THH118"
"SLL-220","Intermediate Russian I","P","4.0 units","Lecture","60216R","001","12:00-12:50pm","MTuWTh","20","9","0","Tatiana Akishina","THH113"
"SLL-250","Intermediate Russian II","P","4.0 units","Lecture","60218D","001","10:00-11:50am","Mon, Wed","12","4","0","Inessa Gelfenboym","WPH603"
"SLL-299","Chess - Advanced Thinking Techniques","P","2.0 units","Lecture","60222D","001","2:00-4:50pm","Thursday","18","0","0","John Peters III",""
"SLL-330g","Russian Thought and Civilization","","4.0 units","Lecture","60228R","001","9:30-10:50am","Tue, Thu","93","90","0","Marcus Levitt","WPH B27"
"","","","","Discussion","60288R","001","12:00-12:50pm","Tuesday","25","22","0","","MHP102"
"","","","","Discussion","60290R","001","1:00-1:50pm","Tuesday","25","23","0","","MHP102"
"","","","","Discussion","60292R","001","10:00-10:50am","Wednesday","25","22","0","","KAP158"
"","","","","Discussion","60294R","001","11:00-11:50am","Wednesday","25","23","0","","KAP158"
"SLL-340","Intercultural Communication in Russian","P","4.0 units","Lecture","60230D","001","TBA","TBA","12","2","0","Tatiana Akishina","OFFICE"
"SLL-465","Seminar in Russian Studies","P","4.0 units, max 12","Lecture","60232D","001","9:30-10:50am","Tue, Thu","12","2","0","John Bowlt","WPH603"
"SLL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","60236D","001","TBA","TBA","8","1","0","","OFFICE"
"SLL-500","Topics in Advanced Russian","","2.0 units, max 8","Lecture","60240D","001","TBA","TBA","6","2","0","Tatiana Akishina","OFFICE"
"SLL-501","Proseminar in Russian Literature","","3.0 units","Lecture","60244D","001","2:00-4:50pm","Tuesday","8","2","0","Sarah Pratt","SOS B51"
"SLL-512","History of the Russian Language","","3.0 units","Lecture","60248D","001","2:00-4:50pm","Wednesday","10","2","0","Roumyana Pancheva","THH111"
"SLL-590","Directed Research","","1.0-12.0 units","Lecture","60256D","001","TBA","TBA","5","2","0","Sarah Pratt","OFFICE"
"SLL-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
"SLL-665","Seminar in Russian Culture and the Arts","","3.0 units, max 9","Lecture","60272D","001","2:00-4:50pm","Thursday","8","2","0","Anna Krakus","THH221"
"SLL-790","Research","","1.0-12.0 units","Lecture","60276D","001","TBA","TBA","5","1","0","","OFFICE"
"SLL-794a","Doctoral Dissertation","","2.0 units","Lecture","60278D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794b","Doctoral Dissertation","P","2.0 units","Lecture","60280D","001","TBA","TBA","5","1","0","","OFFICE"
"SLL-794c","Doctoral Dissertation","P","2.0 units","Lecture","60282D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794d","Doctoral Dissertation","P","2.0 units","Lecture","60284D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794z","Doctoral Dissertation","P","0.0 units","Lecture","60286D","001","TBA","TBA","10","0","0","","OFFICE"
