"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SOCI-142gm","Diversity and Racial Conflict","","4.0 units","Lecture","61400D","001","3:30-4:50pm","Tue, Thu","100","96","0","Leland Saito","THH102"
"","","","","Discussion","61402D","001","3:30-4:20pm","Wednesday","25","24","0","","SOS B47"
"","","","","Discussion","61403D","001","5:00-5:50pm","Wednesday","25","23","0","","THH217"
"","","","","Discussion","61404D","001","12:00-12:50pm","Thursday","25","25","0","","THH110"
"","","","","Discussion","61405D","001","12:00-12:50pm","Tuesday","25","24","0","","THH110"
"SOCI-150gm","Social Problems","","4.0 units","Lecture","61410D","001","2:00-3:20pm","Mon, Wed","103","103","0","Ann Owens","GFS106"
"","","","","Discussion","61412D","001","3:30-4:20pm","Tuesday","26","25","0","","SOS B48"
"","","","","Discussion","61413D","001","4:00-4:50pm","Wednesday","27","27","0","Haven Perez","THH217"
"","","","","Discussion","61414D","001","1:00-1:50pm","Tuesday","25","25","0","","THH B9"
"","","","","Discussion","61415D","001","4:00-4:50pm","Monday","26","26","0","Haven Perez","THH217"
"SOCI-155gm","Immigrant America","","4.0 units","Lecture","61420D","001","10:00-11:50am","Mon, Wed","51","51","0","Jody Agius Vallejo","LVL16"
"","","","","Discussion","61421D","001","3:30-4:20pm","Monday","25","25","0","","GFS222"
"","","","","Discussion","61422D","001","12:00-12:50pm","Tuesday","26","26","0","","MRF229"
"SOCI-169gm","Changing Family Forms","","4.0 units","Lecture","61425R","001","10:00-11:50am","Mon, Wed","100","100","0","Tim Biblarz","THH102"
"","","","","Discussion","61426R","001","3:30-4:20pm","Monday","25","25","0","","KAP164"
"","","","","Discussion","61427R","001","4:00-4:50pm","Wednesday","25","25","0","","KAP165"
"","","","","Discussion","61428R","001","4:00-4:50pm","Tuesday","25","25","0","","KAP145"
"","","","","Discussion","61429R","001","3:30-4:20pm","Tuesday","25","25","0","","VKC160"
"SOCI-200m","Introduction to Sociology","","4.0 units","Lecture","61440D","001","3:30-4:50pm","Tue, Thu","48","46","0","Charles Potts","SLH102"
"","","","","Discussion","61442D","001","4:00-4:50pm","Wednesday","26","21","0","","THH106"
