"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SOWK-350","Adolescent Gang Intervention","","4.0 units","Lecture","60401R","001","10:00-11:50am","Mon, Wed","22","15","0","Robert Hernandez","MRF303"
"SOWK-503","Human Behavior and the Social Environment I","","3.0 units","Lecture","60408D","001","8:00-10:50am","Tuesday","1","23","0","Annalisa Enrile","MRF204"
"","","","","Lecture","60409D","001","8:00-10:50am","Tuesday","1","23","0","Alan Gordon","MRF229"
"","","","","Lecture","60410D","001","4:10-7:00pm","Tuesday","24","23","0","Dawn Joosten","MRF204"
"","","","","Lecture","60411D","001","8:00-10:50am","Tuesday","1","23","0","Kim Finney","MRF338"
"","","","","Lecture","60412D","274","8:00-10:50am","Tuesday","1","21","0","George Orras","OCAC"
"","","","","Lecture","60413D","001","1:00-3:50pm","Tuesday","1","23","0","Alice Cepeda","MRF330"
"","","","","Lecture","60414D","001","1:00-3:50pm","Tuesday","24","24","0","Sandra Williams","MRF229"
"","","","","Lecture","60415D","001","4:10-7:00pm","Tuesday","23","22","0","Carlos Moran","WPH B30"
"","","","","Lecture","60416D","274","1:00-3:50pm","Tuesday","22","19","0","Russell Vergara","OCAC"
"","","","","Lecture","60417D","001","8:00-10:50am","Friday","22","12","0","Sandra Williams","MRF229"
"","","","","Lecture","60418D","143","6:00-8:50pm","Monday","22","0","0","",""
"","","","","Lecture","60419D","274","9:00-11:50am","Friday","1","21","0","Iris Gonzalez","OCAC"
"","","","","Lecture","60420D","374","6:00-8:50pm","Monday","1","24","0","Raymond Lamb","SCC"
"","","","","Lecture","60697D","001","4:10-7:00pm","Thursday","22","22","0","Martha Lyon-Levine","MRF303"
"","","","","Lecture","60784D","143","6:00-8:50pm","Tuesday","1","22","0","Amelia Roeschlein","SDAC"
"","","","","Lecture","60791D","001","1:00-3:50pm","Tuesday","1","23","0","Rafael Angulo","MRF102"
"","","","","Lecture","60793D","274","1:00-3:50pm","Friday","22","17","0","Kristen Zaleski","OCAC"
"","","","","Lecture","60825D","274","1:00-3:50pm","Saturday","1","19","0","Russell Vergara","OCAC"
"","","","","Lecture","60890D","143","8:00-10:50am","Tuesday","22","17","0","Ruth Supranovich","SDAC"
"","","","","Lecture","60990D","143","6:00-8:50pm","Wednesday","22","16","0","Terence Fitzgerald","SDAC"
"","","","","Lecture","60992D","001","7:10-10:00pm","Tuesday","1","22","0","Sabrina Ullah","MRF330"
"","","","","Lecture","60993D","001","1:00-3:50pm","Tuesday","1","23","0","Alan Gordon","SWC106"
"","","","","Lecture","60994D","001","7:10-10:00pm","Tuesday","1","22","0","Wilhelmina De Castro","VKC257"
"","","","","Lecture","60995D","001","7:10-10:00pm","Thursday","22","21","0","Wilhelmina De Castro","MRF320"
"","","","","Lecture","60996D","001","9:00-11:50am","Saturday","1","23","0","Raymond Lamb","CITY A"
"","","","","Lecture","61003D","143","8:00-10:50am","Tuesday","1","21","0","Eric Frank","SDAC"
"","","","","Lecture","61020D","274","9:00-11:50am","Saturday","22","18","0","Theresa Thomsen","OCAC"
"","","","","Lecture","67000D","835","7:00-8:15am","Monday","1","9","0","Anne Blair","VAC"
"","","","","Lecture","67001D","835","8:45-10:00am","Monday","1","9","0","Anne Blair","VAC"
"","","","","Lecture","67002D","835","4:45-6:00pm","Monday","1","9","0","Stacy Townes","VAC"
"","","","","Lecture","67003D","835","6:30-7:45pm","Monday","1","7","0","Stacy Townes","VAC"
"","","","","Lecture","67004D","835","7:00-8:15am","Tuesday","1","4","0","Latonya Huey","VAC"
"","","","","Lecture","67005D","835","8:45-10:00am","Tuesday","1","10","0","Latonya Huey","VAC"
"","","","","Lecture","67006D","835","10:15-11:30am","Tuesday","1","8","0","Amy Alexander","VAC"
"","","","","Lecture","67007D","835","12:00-1:15pm","Tuesday","1","10","0","Amy Alexander","VAC"
"","","","","Lecture","67008D","835","4:00-5:15pm","Tuesday","1","11","0","Christina Paddock","VAC"
"","","","","Lecture","67009D","835","5:45-7:00pm","Tuesday","1","6","0","Christina Paddock","VAC"
"","","","","Lecture","67010D","835","10:15-11:30am","Wednesday","1","10","0","Shawnmari Kaiser","VAC"
"","","","","Lecture","67011D","835","12:00-1:15pm","Wednesday","1","7","0","Shawnmari Kaiser","VAC"
"","","","","Lecture","67012D","835","4:00-5:15pm","Wednesday","1","7","0","Christopher Atkins","VAC"
"","","","","Lecture","67013D","835","5:45-7:00pm","Wednesday","1","10","0","Christopher Atkins","VAC"
"","","","","Lecture","67014D","835","4:45-6:00pm","Wednesday","1","8","0","Cynthia Rollo-Carlson","VAC"
"","","","","Lecture","67015D","835","6:30-7:45pm","Wednesday","1","9","0","Cynthia Rollo-Carlson","VAC"
"","","","","Lecture","67016D","835","7:00-8:15am","Thursday","1","10","0","Samantha D'Auria","VAC"
"","","","","Lecture","67017D","835","8:45-10:00am","Thursday","1","7","0","Samantha D'Auria","VAC"
"","","","","Lecture","67018D","835","1:30-2:45pm","Thursday","1","9","0","June Wiley","VAC"
"","","","","Lecture","67019D","835","3:15-4:30pm","Thursday","1","10","0","June Wiley","VAC"
"","","","","Lecture","67020D","835","4:00-5:15pm","Thursday","1","8","0","Cynthia Rollo-Carlson","VAC"
"","","","","Lecture","67021D","835","5:45-7:00pm","Thursday","1","9","0","Cynthia Rollo-Carlson","VAC"
"","","","","Lecture","67022D","835","7:00-8:15am","Friday","1","11","0","Sherry Blair","VAC"
"","","","","Lecture","67023D","835","8:45-10:00am","Friday","1","8","0","Sherry Blair","VAC"
"","","","","Lecture","67024D","835","8:00-9:15am","Saturday","1","10","0","Jennell Maze","VAC"
"","","","","Lecture","67025D","835","9:45-11:00am","Saturday","11","11","0","Jennell Maze","VAC"
"","","","","Lecture","67101D","735","7:00-8:15am","Monday","12","12","0","Dana Caballero","VAC"
"","","","","Lecture","67102D","735","8:45-10:00am","Monday","12","7","0","Dana Caballero","VAC"
"","","","","Lecture","67103D","735","8:30-9:45am","Monday","12","7","0","Shawnmari Kaiser","VAC"
"","","","","Lecture","67104D","735","10:15-11:30am","Monday","12","10","0","Shawnmari Kaiser","VAC"
"","","","","Lecture","67105D","735","4:45-6:00pm","Monday","12","9","0","Samih Samaha","VAC"
"","","","","Lecture","67106D","735","6:30-7:45pm","Monday","12","10","0","Samih Samaha","VAC"
"","","","","Lecture","67107D","735","7:00-8:15am","Tuesday","12","12","0","Tyan Parker Dominguez","VAC"
"","","","","Lecture","67108D","735","8:45-10:00am","Tuesday","12","8","0","Tyan Parker Dominguez","VAC"
