"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SPAN-120","Spanish I","","4.0 units","Lecture","62001D","001","9:00-9:50am","MTuWTh","19","17","0","Vanessa Ovalle","VKC209"
"","","","","Lecture","62003D","001","3:00-3:50pm","MTuWTh","19","15","0","Martin Ocon-Gamarra","VKC105"
"","","","","Lecture","62005D","001","8:00-9:50am","Mon, Wed","19","18","0","David Zarazua","VKC105"
"","","","","Lecture","62007D","001","10:00-10:50am","MTuWTh","19","19","0","Consuelo Siguenza-Ortiz","VKC105"
"","","","","Lecture","62009D","001","11:00-11:50am","MTuWTh","19","19","0","Cesar Perez Sanchez","VKC105"
"","","","","Lecture","62011D","001","12:00-12:50pm","MTuWTh","19","14","0","Sarah Skillen","VKC105"
"","","","","Lecture","62013D","001","1:00-1:50pm","MTuWTh","19","18","0","Martin Ocon-Gamarra","VKC105"
"SPAN-150","Spanish II","P","4.0 units","Lecture","62027D","001","6:00-7:50pm","Mon, Wed","19","16","0","Carolina Castillo Larrea","VKC105"
"","","","","Lecture","62029D","001","4:00-5:50pm","Mon, Wed","19","18","0","Carolina Castillo Larrea","VKC105"
"","","","","Lecture","62031D","001","10:00-10:50am","MTuWTh","19","19","0","Marie Enright","VKC106"
"","","","","Lecture","62033D","001","10:00-11:50am","Mon, Wed","19","19","0","Martin Ocon-Gamarra","THH121"
"","","","","Lecture","62035D","001","8:00-9:50am","Tue, Thu","19","18","0","Nathalie Bragadir","VKC105"
"","","","","Lecture","62037D","001","8:00-9:50am","Tue, Thu","19","19","0","Martin Ocon-Gamarra","VKC259"
"","","","","Lecture","62039D","001","10:00-11:50am","Mon, Wed","19","18","0","Jaclyn Cohen-Steinberg","THH217"
"","","","","Lecture","62041D","001","10:00-11:50am","Tue, Thu","19","19","0","Sarah Portnoy","THH217"
"","","","","Lecture","62043D","001","11:00-11:50am","MTuWTh","19","19","0","Marie Enright","VKC106"
"","","","","Lecture","62045D","001","12:00-12:50pm","MTuWTh","19","19","0","Consuelo Siguenza-Ortiz","VKC106"
"","","","","Lecture","62047D","001","12:00-1:50pm","Mon, Wed","19","19","0","Vianey Cabrera","THH217"
"","","","","Lecture","62049D","001","1:00-1:50pm","MTuWTh","19","19","0","Marie Enright","VKC106"
"","","","","Lecture","62051D","001","2:00-3:50pm","Mon, Wed","19","19","0","Gayle Vierma","THH213"
"","","","","Lecture","62053D","001","2:00-3:50pm","Tue, Thu","19","18","0","Nathalie Bragadir","THH214"
"","","","","Lecture","62055D","001","9:00-9:50am","MTuWTh","19","19","0","Consuelo Siguenza-Ortiz","VKC106"
"","","","","Lecture","62057D","001","9:00-9:50am","MTuWTh","19","18","0","Anahit Hakoupian","VKC161"
"","","","","Lecture","62059D","001","12:00-1:50pm","Mon, Wed","19","17","0","Jaclyn Cohen-Steinberg","WPH203"
"","","","","Lecture","62061D","001","2:00-2:50pm","MTuWTh","19","18","0","Alfredo Garcia Pardo","VKC105"
"","","","","Lecture","62063D","001","1:00-1:50pm","MTuWTh","19","19","0","Consuelo Siguenza-Ortiz","THH113"
"","","","","Lecture","62064D","001","1:00-1:50pm","MTuWTh","14","14","0","Gayle Vierma","VKC204"
"SPAN-220","Spanish III","P","4.0 units","Lecture","62067D","001","8:00-9:50am","Mon, Wed","19","18","0","Lori Mesrobian","VKC107"
"","","","","Lecture","62069D","001","8:00-9:50am","Tue, Thu","19","18","0","Lori Mesrobian","VKC107"
"","","","","Lecture","62071D","001","11:00-11:50am","MTuWTh","19","18","0","Maria Windeler","VKC107"
"","","","","Lecture","62073D","001","8:00-9:50am","Mon, Wed","19","19","0","Jaclyn Cohen-Steinberg","VKC108"
